dates,start,visitor,pts_visitor,home,pts_home,ot,attendance,arena,urls,id
"Tue, Oct 28, 2014",8:00p,Orlando Magic,84,New Orleans Pelicans,101,,"17,097",Smoothie King Center,https://www.basketball-reference.com/boxscores/pbp/201410280NOP.html,201410280NOP
"Tue, Oct 28, 2014",8:00p,Dallas Mavericks,100,San Antonio Spurs,101,,"19,615",AT&T Center,https://www.basketball-reference.com/boxscores/pbp/201410280SAS.html,201410280SAS
"Tue, Oct 28, 2014",10:30p,Houston Rockets,108,Los Angeles Lakers,90,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201410280LAL.html,201410280LAL
"Wed, Oct 29, 2014",7:00p,Milwaukee Bucks,106,Charlotte Hornets,108,OT,"19,439",Time Warner Cable Arena,https://www.basketball-reference.com/boxscores/pbp/201410290CHO.html,201410290CHO
"Wed, Oct 29, 2014",7:00p,Philadelphia 76ers,91,Indiana Pacers,103,,"18,165",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/201410290IND.html,201410290IND
"Wed, Oct 29, 2014",7:30p,Atlanta Hawks,102,Toronto Raptors,109,,"19,800",Air Canada Centre,https://www.basketball-reference.com/boxscores/pbp/201410290TOR.html,201410290TOR
"Wed, Oct 29, 2014",7:30p,Washington Wizards,95,Miami Heat,107,,"19,744",AmericanAirlines Arena,https://www.basketball-reference.com/boxscores/pbp/201410290MIA.html,201410290MIA
"Wed, Oct 29, 2014",7:30p,Brooklyn Nets,105,Boston Celtics,121,,"18,624",TD Garden,https://www.basketball-reference.com/boxscores/pbp/201410290BOS.html,201410290BOS
"Wed, Oct 29, 2014",8:00p,Chicago Bulls,104,New York Knicks,80,,"19,812",Madison Square Garden (IV),https://www.basketball-reference.com/boxscores/pbp/201410290NYK.html,201410290NYK
"Wed, Oct 29, 2014",8:00p,Minnesota Timberwolves,101,Memphis Grizzlies,105,,"17,731",FedEx Forum,https://www.basketball-reference.com/boxscores/pbp/201410290MEM.html,201410290MEM
"Wed, Oct 29, 2014",9:00p,Detroit Pistons,79,Denver Nuggets,89,,"17,136",Pepsi Center,https://www.basketball-reference.com/boxscores/pbp/201410290DEN.html,201410290DEN
"Wed, Oct 29, 2014",9:00p,Houston Rockets,104,Utah Jazz,93,,"19,911",EnergySolutions Arena,https://www.basketball-reference.com/boxscores/pbp/201410290UTA.html,201410290UTA
"Wed, Oct 29, 2014",10:00p,Los Angeles Lakers,99,Phoenix Suns,119,,"17,523",US Airways Center,https://www.basketball-reference.com/boxscores/pbp/201410290PHO.html,201410290PHO
"Wed, Oct 29, 2014",10:00p,Golden State Warriors,95,Sacramento Kings,77,,"17,317",Sleep Train Arena,https://www.basketball-reference.com/boxscores/pbp/201410290SAC.html,201410290SAC
"Wed, Oct 29, 2014",10:30p,Oklahoma City Thunder,89,Portland Trail Blazers,106,,"19,441",Moda Center,https://www.basketball-reference.com/boxscores/pbp/201410290POR.html,201410290POR
"Thu, Oct 30, 2014",7:00p,Washington Wizards,105,Orlando Magic,98,,"18,846",Amway Center,https://www.basketball-reference.com/boxscores/pbp/201410300ORL.html,201410300ORL
"Thu, Oct 30, 2014",8:00p,New York Knicks,95,Cleveland Cavaliers,90,,"20,562",Quicken Loans Arena,https://www.basketball-reference.com/boxscores/pbp/201410300CLE.html,201410300CLE
"Thu, Oct 30, 2014",8:00p,Detroit Pistons,91,Minnesota Timberwolves,97,,"18,296",Target Center,https://www.basketball-reference.com/boxscores/pbp/201410300MIN.html,201410300MIN
"Thu, Oct 30, 2014",8:30p,Utah Jazz,102,Dallas Mavericks,120,,"19,697",American Airlines Center,https://www.basketball-reference.com/boxscores/pbp/201410300DAL.html,201410300DAL
"Thu, Oct 30, 2014",10:30p,Oklahoma City Thunder,90,Los Angeles Clippers,93,,"19,060",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201410300LAC.html,201410300LAC
"Fri, Oct 31, 2014",7:00p,Memphis Grizzlies,97,Indiana Pacers,89,,"14,441",Bankers Life Fieldhouse,https://www.basketball-reference.com/boxscores/pbp/201410310IND.html,201410310IND
"Fri, Oct 31, 2014",8:00p,Cleveland Cavaliers,114,Chicago Bulls,108,OT,"22,879",United Center,https://www.basketball-reference.com/boxscores/pbp/201410310CHI.html,201410310CHI
"Fri, Oct 31, 2014",8:30p,Philadelphia 76ers,81,Milwaukee Bucks,93,,"18,717",BMO Harris Bradley Center,https://www.basketball-reference.com/boxscores/pbp/201410310MIL.html,201410310MIL
"Fri, Oct 31, 2014",10:00p,San Antonio Spurs,89,Phoenix Suns,94,,"15,050",US Airways Center,https://www.basketball-reference.com/boxscores/pbp/201410310PHO.html,201410310PHO
"Fri, Oct 31, 2014",10:00p,Portland Trail Blazers,94,Sacramento Kings,103,,"14,648",Sleep Train Arena,https://www.basketball-reference.com/boxscores/pbp/201410310SAC.html,201410310SAC
"Fri, Oct 31, 2014",10:30p,Los Angeles Clippers,118,Los Angeles Lakers,111,,"18,997",STAPLES Center,https://www.basketball-reference.com/boxscores/pbp/201410310LAL.html,201410310LAL
"Sat, Nov 1, 2014",7:00p,Memphis Grizzlies,71,Charlotte Hornets,69,,"18,133",Time Warner Cable Arena,https://www.basketball-reference.com/boxscores/pbp/201411010CHO.html,201411010CHO
"Sat, Nov 1, 2014",7:00p,Dallas Mavericks,109,New Orleans Pelicans,104,,"14,547",Smoothie King Center,https://www.basketball-reference.com/boxscores/pbp/201411010NOP.html,201411010NOP
"Sat, Nov 1, 2014",7:00p,Toronto Raptors,108,Orlando Magic,95,,"16,141",Amway Center,https://www.basketball-reference.com/boxscores/pbp/201411010ORL.html,201411010ORL
"Sat, Nov 1, 2014",7:00p,Miami Heat,114,Philadelphia 76ers,96,,"19,753",Wells Fargo Center,https://www.basketball-reference.com/boxscores/pbp/201411010PHI.html,201411010PHI
"Sat, Nov 1, 2014",7:00p,Milwaukee Bucks,97,Washington Wizards,108,,"17,992",Verizon Center,https://www.basketball-reference.com/boxscores/pbp/201411010WAS.html,201411010WAS
"Sat, Nov 1, 2014",7:30p,Indiana Pacers,92,Atlanta Hawks,102,,"19,118",Philips Arena,https://www.basketball-reference.com/boxscores/pbp/201411010ATL.html,201411010ATL
"Sat, Nov 1, 2014",7:30p,Brooklyn Nets,102,Detroit Pistons,90,,"19,904",The Palace of Auburn Hills,https://www.basketball-reference.com/boxscores/pbp/201411010DET.html,201411010DET
"Sat, Nov 1, 2014",8:00p,Boston Celtics,90,Houston Rockets,104,,"18,309",Toyota Center,https://www.basketball-reference.com/boxscores/pbp/201411010HOU.html,201411010HOU
