time,away_description,away_change,score,home_change,home_description
11:43.0, , ,0-0, ,T. Young misses 2-pt jump shot from 18 ft
11:40.0,Defensive rebound by J. Embiid, ,0-0, , 
11:29.0,Turnover by M. Fultz (bad pass; steal by B. Bogdanović), ,0-0, , 
11:26.0, , ,0-0, ,Turnover by T. Young (bad pass; steal by M. Fultz)
11:23.0,B. Simmons makes 2-pt dunk from 1 ft,+2,2-0, , 
11:08.0, , ,2-0, ,M. Turner misses 2-pt hook shot from 6 ft
11:05.0,Defensive rebound by B. Simmons, ,2-0, , 
11:01.0,M. Fultz misses 2-pt layup from 1 ft, ,2-0, , 
10:58.0, , ,2-0, ,Defensive rebound by T. Young
10:45.0, , ,2-0, ,Turnover by T. Young (traveling)
10:38.0,Personal foul by B. Bogdanović (drawn by B. Simmons), ,2-0, , 
10:28.0,J. Embiid makes 2-pt dunk from 2 ft,+2,4-0, , 
10:12.0, , ,4-0, ,M. Turner misses 2-pt layup from 5 ft
10:11.0,Defensive rebound by Team, ,4-0, , 
10:00.0,M. Fultz makes 2-pt layup from 2 ft,+2,6-0, , 
9:42.0, , ,6-2,+2,V. Oladipo makes 2-pt jump shot from 19 ft
9:21.0,J. Embiid makes 2-pt layup from 1 ft,+2,8-2, , 
9:14.0, , ,8-2, ,Turnover by T. Young (lost ball; steal by J. Embiid)
9:08.0,D. Šarić makes 2-pt layup from 4 ft (assist by B. Simmons),+2,10-2, , 
8:55.0, , ,10-2, ,D. Collison misses 2-pt jump shot from 17 ft
8:52.0, , ,10-2, ,Offensive rebound by T. Young
8:38.0, , ,10-2, ,Turnover by Team (shot clock)
8:30.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by B. Simmons),+3,13-2, , 
8:21.0, , ,13-2, ,Indiana full timeout
8:12.0, , ,13-2, ,Turnover by D. Collison (bad pass; steal by M. Fultz)
8:09.0,R. Covington misses 3-pt jump shot from 25 ft, ,13-2, , 
8:05.0, , ,13-2, ,Defensive rebound by M. Turner
7:53.0, , ,13-2, ,V. Oladipo misses 2-pt jump shot from 19 ft
7:50.0,Defensive rebound by B. Simmons, ,13-2, , 
7:31.0,Turnover by J. Embiid (bad pass; steal by V. Oladipo), ,13-2, , 
7:29.0, , ,13-4,+2,V. Oladipo makes 2-pt layup from 1 ft
7:19.0,B. Simmons makes 2-pt jump shot from 7 ft,+2,15-4, , 
7:06.0, , ,15-4, ,V. Oladipo misses 3-pt jump shot from 27 ft
7:02.0,Defensive rebound by J. Embiid, ,15-4, , 
6:56.0,J. Embiid misses 3-pt jump shot from 26 ft, ,15-4, , 
6:53.0,Offensive rebound by Team, ,15-4, , 
6:53.0,A. Johnson enters the game for J. Embiid, ,15-4, , 
6:53.0,J. Redick enters the game for M. Fultz, ,15-4, , 
6:53.0, , ,15-4, ,D. Sabonis enters the game for T. Young
6:46.0,B. Simmons misses 2-pt jump shot from 9 ft, ,15-4, , 
6:43.0, , ,15-4, ,Defensive rebound by V. Oladipo
6:33.0, , ,15-4, ,D. Sabonis misses 2-pt hook shot from 4 ft
6:31.0,Defensive rebound by D. Šarić, ,15-4, , 
6:24.0,A. Johnson makes 2-pt layup at rim (assist by D. Šarić),+2,17-4, , 
6:06.0, , ,17-4, ,D. Collison misses 2-pt jump shot from 17 ft
6:02.0,Defensive rebound by A. Johnson, ,17-4, , 
5:55.0,B. Simmons makes 2-pt dunk from 1 ft,+2,19-4, , 
5:43.0, , ,19-6,+2,V. Oladipo makes 2-pt layup at rim (assist by D. Sabonis)
5:43.0, , ,19-6, ,Shooting foul by A. Johnson (drawn by V. Oladipo)
5:43.0, , ,19-6, ,T. Evans enters the game for B. Bogdanović
5:43.0, , ,19-6, ,C. Joseph enters the game for D. Collison
5:43.0, , ,19-7,+1,V. Oladipo makes free throw 1 of 1
5:35.0,Turnover by A. Johnson (bad pass; steal by M. Turner), ,19-7, , 
5:30.0, , ,19-7, ,T. Evans misses 2-pt layup at rim
5:30.0,Defensive rebound by Team, ,19-7, , 
5:14.0,A. Johnson misses 2-pt jump shot from 7 ft, ,19-7, , 
5:11.0, , ,19-7, ,Defensive rebound by D. Sabonis
4:59.0, , ,19-7, ,Shooting foul by B. Simmons (drawn by D. Sabonis)
4:59.0, , ,19-8,+1,D. Sabonis makes free throw 1 of 2
4:59.0,W. Chandler enters the game for R. Covington, ,19-8, , 
4:59.0, , ,19-9,+1,D. Sabonis makes free throw 2 of 2
4:42.0,Turnover by A. Johnson (bad pass), ,19-9, , 
4:36.0, , ,19-12,+3,V. Oladipo makes 3-pt jump shot from 27 ft (assist by C. Joseph)
4:23.0,Shooting foul by C. Joseph (drawn by J. Redick), ,19-12, , 
4:23.0,J. Redick makes free throw 1 of 2,+1,20-12, , 
4:23.0,J. Redick makes free throw 2 of 2,+1,21-12, , 
4:23.0,J. Embiid enters the game for A. Johnson, ,21-12, , 
4:08.0, , ,21-12, ,V. Oladipo misses 2-pt jump shot from 10 ft
4:04.0,Defensive rebound by J. Embiid, ,21-12, , 
3:59.0,D. Šarić misses 2-pt layup from 6 ft (block by V. Oladipo), ,21-12, , 
3:59.0, , ,21-12, ,Defensive rebound by Team
3:47.0, , ,21-14,+2,D. Sabonis makes 2-pt layup at rim (assist by C. Joseph)
3:41.0,Philadelphia full timeout, ,21-14, , 
3:36.0,B. Simmons makes 2-pt dunk from 1 ft (assist by J. Redick),+2,23-14, , 
3:11.0, , ,23-17,+3,V. Oladipo makes 3-pt jump shot from 26 ft
2:59.0,Turnover by J. Redick (bad pass; steal by C. Joseph), ,23-17, , 
2:51.0, , ,23-19,+2,V. Oladipo makes 2-pt layup from 1 ft (assist by C. Joseph)
2:45.0,W. Chandler misses 3-pt jump shot from 29 ft, ,23-19, , 
2:44.0, , ,23-19, ,Defensive rebound by Team
2:44.0,Loose ball foul by J. Embiid (drawn by C. Joseph), ,23-19, , 
2:44.0,R. Covington enters the game for D. Šarić, ,23-19, , 
2:44.0,M. Fultz enters the game for B. Simmons, ,23-19, , 
2:33.0, , ,23-19, ,M. Turner misses 2-pt hook shot from 6 ft (block by R. Covington)
2:30.0,Defensive rebound by M. Fultz, ,23-19, , 
2:20.0,Shooting foul by M. Turner (drawn by J. Embiid), ,23-19, , 
2:20.0, , ,23-19, ,D. McDermott enters the game for V. Oladipo
2:20.0, , ,23-19, ,K. O'Quinn enters the game for M. Turner
2:20.0,J. Embiid misses free throw 1 of 2, ,23-19, , 
2:20.0,Offensive rebound by Team, ,23-19, , 
2:20.0,J. Embiid makes free throw 2 of 2,+1,24-19, , 
2:04.0, , ,24-19, ,Def 3 sec tech foul by Team
2:04.0, , ,24-19, ,D. McDermott misses technical free throw
2:04.0, , ,24-19, ,Offensive rebound by Team
1:56.0, , ,24-19, ,K. O'Quinn misses 2-pt jump shot from 19 ft
1:53.0,Defensive rebound by M. Fultz, ,24-19, , 
1:40.0,Personal foul by K. O'Quinn (drawn by J. Embiid), ,24-19, , 
1:27.0,J. Embiid makes 2-pt layup from 2 ft,+2,26-19, , 
1:12.0, , ,26-19, ,K. O'Quinn misses 3-pt jump shot from 23 ft
1:08.0,Defensive rebound by W. Chandler, ,26-19, , 
1:04.0,M. Fultz misses 2-pt layup from 2 ft, ,26-19, , 
0:59.0, , ,26-19, ,Defensive rebound by K. O'Quinn
0:57.0, , ,26-21,+2,T. Evans makes 2-pt layup at rim (assist by K. O'Quinn)
0:39.0,Shooting foul by D. Sabonis (drawn by M. Fultz), ,26-21, , 
0:39.0,M. Fultz misses free throw 1 of 2, ,26-21, , 
0:39.0,Offensive rebound by Team, ,26-21, , 
0:39.0, , ,26-21, ,B. Bogdanović enters the game for K. O'Quinn
0:39.0,M. Fultz makes free throw 2 of 2,+1,27-21, , 
0:23.0, , ,27-21, ,D. Sabonis misses 2-pt layup from 1 ft (block by J. Embiid)
0:23.0, , ,27-21, ,Offensive rebound by D. Sabonis
0:22.0, , ,27-23,+2,D. Sabonis makes 2-pt layup from 2 ft
0:02.0,W. Chandler makes 2-pt layup from 1 ft,+2,29-23, , 
0:00.0, , ,29-23, ,C. Joseph misses 3-pt jump shot from 56 ft
0:00.0, , ,29-23, ,Offensive rebound by Team
11:51.0,Offensive foul by J. Redick (drawn by C. Joseph), ,29-23, , 
11:51.0,Turnover by J. Redick (offensive foul), ,29-23, , 
11:40.0, , ,29-23, ,T. Evans misses 2-pt layup from 1 ft
11:40.0,Defensive rebound by Team, ,29-23, , 
11:27.0,J. Embiid makes 2-pt layup from 2 ft (assist by R. Covington),+2,31-23, , 
11:11.0, , ,31-23, ,D. Sabonis misses 2-pt hook shot from 6 ft
11:10.0,Defensive rebound by J. Embiid, ,31-23, , 
11:02.0,Personal foul by D. Sabonis (drawn by J. Embiid), ,31-23, , 
10:48.0,J. Embiid misses 2-pt layup from 1 ft, ,31-23, , 
10:47.0, , ,31-23, ,Defensive rebound by T. Evans
10:40.0, , ,31-23, ,B. Bogdanović misses 2-pt jump shot from 9 ft
10:37.0,Defensive rebound by J. Embiid, ,31-23, , 
10:26.0,Turnover by J. Embiid (out of bounds lost ball), ,31-23, , 
10:13.0, , ,31-23, ,D. McDermott misses 2-pt jump shot from 15 ft
10:12.0,Defensive rebound by R. Covington, ,31-23, , 
10:03.0,J. Redick makes 2-pt jump shot from 21 ft (assist by M. Fultz),+2,33-23, , 
9:48.0, , ,33-23, ,Personal foul by M. Fultz (drawn by B. Bogdanović)
9:44.0, , ,33-25,+2,C. Joseph makes 2-pt jump shot from 19 ft
9:28.0,J. Redick misses 3-pt jump shot from 26 ft, ,33-25, , 
9:25.0, , ,33-25, ,Defensive rebound by T. Evans
9:17.0, , ,33-25, ,T. Evans misses 2-pt layup from 1 ft
9:13.0, , ,33-25, ,Offensive rebound by D. Sabonis
9:13.0, , ,33-27,+2,D. Sabonis makes 2-pt layup from 1 ft
9:03.0,L. Shamet misses 3-pt jump shot from 28 ft, ,33-27, , 
9:03.0, , ,33-27, ,Defensive rebound by D. Sabonis
8:43.0, , ,33-30,+3,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Sabonis)
8:23.0,J. Embiid misses 2-pt jump shot from 15 ft, ,33-30, , 
8:21.0, , ,33-30, ,Defensive rebound by D. McDermott
8:14.0, , ,33-32,+2,T. Evans makes 2-pt jump shot from 20 ft
8:13.0,Philadelphia full timeout, ,33-32, , 
8:13.0,W. Chandler enters the game for R. Covington, ,33-32, , 
8:13.0,D. Šarić enters the game for J. Embiid, ,33-32, , 
8:13.0,B. Simmons enters the game for J. Redick, ,33-32, , 
8:03.0,M. Fultz misses 2-pt jump shot from 18 ft, ,33-32, , 
8:00.0, , ,33-32, ,Defensive rebound by D. Sabonis
7:48.0, , ,33-34,+2,T. Evans makes 2-pt jump shot from 18 ft
7:26.0,Turnover by W. Chandler (bad pass; steal by C. Joseph), ,33-34, , 
7:16.0, , ,33-36,+2,D. Sabonis makes 2-pt jump shot from 5 ft (assist by T. Evans)
6:59.0,L. Shamet misses 2-pt jump shot from 10 ft, ,33-36, , 
6:56.0, , ,33-36, ,Defensive rebound by B. Bogdanović
6:45.0, , ,33-36, ,T. Evans misses 3-pt jump shot from 27 ft
6:44.0,Defensive rebound by Team, ,33-36, , 
6:44.0, , ,33-36, ,V. Oladipo enters the game for B. Bogdanović
6:44.0, , ,33-36, ,T. Young enters the game for D. McDermott
6:35.0,W. Chandler misses 3-pt jump shot from 26 ft, ,33-36, , 
6:31.0, , ,33-36, ,Defensive rebound by C. Joseph
6:28.0, , ,33-36, ,V. Oladipo misses 3-pt jump shot from 26 ft
6:25.0,Defensive rebound by W. Chandler, ,33-36, , 
6:19.0,L. Shamet makes 3-pt jump shot from 24 ft (assist by B. Simmons),+3,36-36, , 
5:54.0, , ,36-38,+2,V. Oladipo makes 2-pt layup at rim
5:34.0,D. Šarić misses 3-pt jump shot from 28 ft, ,36-38, , 
5:32.0, , ,36-38, ,Defensive rebound by V. Oladipo
5:27.0, , ,36-38, ,Personal foul by L. Shamet (drawn by C. Joseph)
5:27.0, , ,36-38, ,M. Turner enters the game for D. Sabonis
5:24.0, , ,36-38, ,Shooting foul by L. Shamet (drawn by V. Oladipo)
5:24.0, , ,36-38, ,V. Oladipo misses free throw 1 of 2
5:24.0, , ,36-38, ,Offensive rebound by Team
5:24.0, , ,36-39,+1,V. Oladipo makes free throw 2 of 2
5:10.0,B. Simmons misses 2-pt dunk from 1 ft (block by V. Oladipo), ,36-39, , 
5:07.0, , ,36-39, ,Defensive rebound by Team
5:07.0,J. Embiid enters the game for M. Fultz, ,36-39, , 
4:51.0, , ,36-39, ,C. Joseph misses 3-pt jump shot from 27 ft
4:48.0,Defensive rebound by W. Chandler, ,36-39, , 
4:36.0,D. Šarić misses 3-pt jump shot from 27 ft, ,36-39, , 
4:33.0, , ,36-39, ,Defensive rebound by M. Turner
4:21.0, , ,36-39, ,V. Oladipo misses 2-pt layup from 1 ft
4:18.0,Defensive rebound by D. Šarić, ,36-39, , 
4:14.0,Turnover by B. Simmons (bad pass; steal by T. Young), ,36-39, , 
4:10.0, , ,36-41,+2,M. Turner makes 2-pt dunk at rim (assist by T. Evans)
3:54.0,Personal foul by C. Joseph (drawn by L. Shamet), ,36-41, , 
3:54.0,R. Covington enters the game for W. Chandler, ,36-41, , 
3:54.0,J. Redick enters the game for L. Shamet, ,36-41, , 
3:54.0, , ,36-41, ,B. Bogdanović enters the game for T. Evans
3:54.0, , ,36-41, ,D. Collison enters the game for C. Joseph
3:52.0,D. Šarić misses 2-pt layup at rim (block by M. Turner), ,36-41, , 
3:49.0, , ,36-41, ,Defensive rebound by V. Oladipo
3:45.0, , ,36-41, ,V. Oladipo misses 3-pt jump shot from 26 ft
3:41.0,Defensive rebound by B. Simmons, ,36-41, , 
3:35.0,J. Embiid makes 3-pt jump shot from 23 ft (assist by J. Redick),+3,39-41, , 
3:20.0, , ,39-41, ,T. Young misses 3-pt jump shot from 27 ft
3:15.0,Defensive rebound by R. Covington, ,39-41, , 
