time,away_description,away_change,score,home_change,home_description
11:38.0, , ,0-0, ,R. Rubio misses 3-pt jump shot from 23 ft
11:36.0,Defensive rebound by P. George, ,0-0, , 
11:34.0,Turnover by P. George (bad pass), ,0-0, , 
11:28.0, , ,0-0, ,Turnover by J. Ingles (bad pass; steal by P. George)
11:23.0,J. Grant makes 2-pt dunk from 1 ft (assist by P. George),+2,2-0, , 
11:14.0, , ,2-0, ,Personal foul by T. Ferguson (drawn by D. Mitchell)
11:08.0, , ,2-0, ,J. Ingles misses 3-pt jump shot from 25 ft
11:04.0, , ,2-0, ,Offensive rebound by D. Mitchell
10:56.0, , ,2-0, ,Personal foul by P. George (drawn by R. Rubio)
10:48.0, , ,2-3,+3,D. Favors makes 3-pt jump shot from 23 ft (assist by R. Rubio)
10:30.0,P. George makes 2-pt jump shot from 9 ft,+2,4-3, , 
10:21.0, , ,4-3, ,R. Rubio misses 2-pt layup from 3 ft
10:20.0, , ,4-3, ,Offensive rebound by R. Gobert
10:19.0, , ,4-3, ,Personal foul by J. Grant (drawn by R. Gobert)
10:17.0, , ,4-3, ,Offensive foul by D. Mitchell (drawn by T. Ferguson)
10:17.0, , ,4-3, ,Turnover by D. Mitchell (offensive foul)
10:09.0,S. Adams misses 2-pt jump shot from 8 ft, ,4-3, , 
10:05.0, , ,4-3, ,Defensive rebound by R. Rubio
9:51.0, , ,4-3, ,Turnover by J. Ingles (bad pass; steal by P. George)
9:46.0,P. George misses 2-pt layup from 3 ft, ,4-3, , 
9:45.0, , ,4-3, ,Defensive rebound by D. Favors
9:38.0, , ,4-5,+2,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Favors)
9:30.0,Personal foul by J. Ingles (drawn by P. George), ,4-5, , 
9:28.0,Shooting foul by R. Gobert (drawn by J. Grant), ,4-5, , 
9:28.0,J. Grant makes free throw 1 of 2,+1,5-5, , 
9:28.0,J. Grant makes free throw 2 of 2,+1,6-5, , 
9:15.0, , ,6-7,+2,D. Favors makes 2-pt layup from 2 ft (assist by R. Rubio)
8:57.0,S. Adams misses 2-pt layup from 1 ft, ,6-7, , 
8:56.0,Offensive rebound by S. Adams, ,6-7, , 
8:56.0,S. Adams makes 2-pt layup from 1 ft,+2,8-7, , 
8:45.0, , ,8-10,+3,J. Ingles makes 3-pt jump shot from 23 ft (assist by R. Rubio)
8:27.0,S. Adams misses 2-pt layup from 3 ft, ,8-10, , 
8:25.0, , ,8-10, ,Defensive rebound by R. Gobert
8:14.0, , ,8-12,+2,R. Rubio makes 2-pt jump shot from 15 ft
7:49.0,Turnover by R. Westbrook (bad pass; steal by R. Rubio), ,8-12, , 
7:41.0, , ,8-15,+3,D. Mitchell makes 3-pt jump shot from 23 ft (assist by J. Ingles)
7:29.0,J. Grant makes 3-pt jump shot from 25 ft (assist by P. George),+3,11-15, , 
7:12.0, , ,11-17,+2,D. Favors makes 2-pt dunk from 2 ft (assist by R. Rubio)
7:12.0,Oklahoma City full timeout, ,11-17, , 
7:12.0, , ,11-17, ,J. Crowder enters the game for D. Favors
7:12.0, , ,11-17, ,K. Korver enters the game for J. Ingles
6:54.0,Shooting foul by J. Crowder (drawn by S. Adams), ,11-17, , 
6:54.0,S. Adams misses free throw 1 of 2, ,11-17, , 
6:54.0,Offensive rebound by Team, ,11-17, , 
6:54.0,S. Adams misses free throw 2 of 2, ,11-17, , 
6:52.0, , ,11-17, ,Defensive rebound by R. Gobert
6:43.0, , ,11-17, ,Personal foul by T. Ferguson (drawn by D. Mitchell)
6:43.0,D. Schröder enters the game for T. Ferguson, ,11-17, , 
6:38.0, , ,11-17, ,K. Korver misses 3-pt jump shot from 25 ft
6:34.0,Defensive rebound by R. Westbrook, ,11-17, , 
6:26.0,R. Westbrook misses 2-pt jump shot from 10 ft, ,11-17, , 
6:24.0, , ,11-17, ,Defensive rebound by R. Gobert
6:10.0, , ,11-19,+2,R. Rubio makes 2-pt jump shot from 11 ft
5:58.0,J. Grant makes 2-pt jump shot from 7 ft,+2,13-19, , 
5:35.0, , ,13-19, ,R. Gobert misses 2-pt dunk from 2 ft
5:33.0,Defensive rebound by R. Westbrook, ,13-19, , 
5:27.0,Turnover by R. Westbrook (bad pass; steal by K. Korver), ,13-19, , 
5:22.0, , ,13-19, ,J. Crowder misses 3-pt jump shot from 23 ft
5:20.0,Defensive rebound by P. George, ,13-19, , 
5:04.0,R. Westbrook makes 2-pt jump shot from 16 ft,+2,15-19, , 
4:42.0, , ,15-19, ,D. Mitchell misses 3-pt jump shot from 27 ft
4:36.0,Defensive rebound by R. Westbrook, ,15-19, , 
4:30.0,D. Schröder makes 2-pt layup from 2 ft (assist by R. Westbrook),+2,17-19, , 
4:14.0, , ,17-19, ,R. Gobert misses 2-pt dunk from 4 ft (block by J. Grant)
4:14.0, , ,17-19, ,Offensive rebound by Team
4:12.0, , ,17-21,+2,K. Korver makes 2-pt jump shot from 23 ft (assist by D. Mitchell)
3:54.0,Turnover by J. Grant (bad pass; steal by R. Rubio), ,17-21, , 
3:49.0, , ,17-21, ,D. Mitchell misses 2-pt layup from 3 ft (block by P. George)
3:46.0,Defensive rebound by P. George, ,17-21, , 
3:42.0,J. Grant makes 2-pt layup from 2 ft (assist by P. George),+2,19-21, , 
3:21.0, , ,19-23,+2,J. Crowder makes 2-pt layup from 1 ft (assist by R. Rubio)
3:06.0,S. Adams misses 2-pt jump shot from 7 ft, ,19-23, , 
3:04.0, , ,19-23, ,Defensive rebound by D. Mitchell
2:55.0, , ,19-25,+2,J. Crowder makes 2-pt layup from 1 ft (assist by K. Korver)
2:46.0,J. Grant makes 2-pt dunk from 2 ft (assist by R. Westbrook),+2,21-25, , 
2:46.0, , ,21-25, ,Utah full timeout
2:46.0,Á. Abrines enters the game for R. Westbrook, ,21-25, , 
2:46.0, , ,21-25, ,D. Exum enters the game for R. Gobert
2:46.0, , ,21-25, ,D. Favors enters the game for D. Mitchell
2:46.0, , ,21-25, ,J. Ingles enters the game for R. Rubio
2:30.0, , ,21-27,+2,K. Korver makes 2-pt jump shot from 23 ft (assist by D. Exum)
2:10.0,D. Schröder makes 2-pt jump shot from 9 ft,+2,23-27, , 
2:00.0, , ,23-27, ,K. Korver misses 3-pt jump shot from 26 ft
1:57.0,Defensive rebound by P. George, ,23-27, , 
1:50.0,Á. Abrines misses 3-pt jump shot from 24 ft, ,23-27, , 
1:45.0, , ,23-27, ,Defensive rebound by J. Crowder
1:39.0, , ,23-27, ,Shooting foul by Á. Abrines (drawn by D. Exum)
1:39.0, , ,23-28,+1,D. Exum makes free throw 1 of 2
1:39.0,N. Noel enters the game for S. Adams, ,23-28, , 
1:39.0, , ,23-29,+1,D. Exum makes free throw 2 of 2
1:24.0, , ,23-29, ,Violation by Team (kicked ball)
1:19.0,Personal foul by D. Exum (drawn by D. Schröder), ,23-29, , 
1:13.0,Turnover by P. George (bad pass; steal by D. Exum), ,23-29, , 
1:10.0, , ,23-32,+3,J. Ingles makes 3-pt jump shot from 24 ft (assist by J. Crowder)
0:55.0,Shooting foul by J. Crowder (drawn by P. George), ,23-32, , 
0:55.0,P. George makes free throw 1 of 2,+1,24-32, , 
0:55.0, , ,24-32, ,T. Sefolosha enters the game for J. Crowder
0:55.0,P. George makes free throw 2 of 2,+1,25-32, , 
0:33.0, , ,25-32, ,Turnover by D. Exum (bad pass; steal by J. Grant)
0:29.0,Shooting foul by T. Sefolosha (drawn by P. George), ,25-32, , 
0:29.0,P. George makes free throw 1 of 2,+1,26-32, , 
0:29.0,P. George misses free throw 2 of 2, ,26-32, , 
0:28.0, , ,26-32, ,Defensive rebound by D. Favors
0:05.0, , ,26-32, ,D. Exum misses 3-pt jump shot from 25 ft
0:01.0,Defensive rebound by Á. Abrines, ,26-32, , 
0:00.0,Á. Abrines misses 3-pt jump shot from 55 ft, ,26-32, , 
0:00.0,Offensive rebound by Team, ,26-32, , 
11:50.0,D. Schröder makes 2-pt layup from 3 ft,+2,28-32, , 
11:38.0, , ,28-32, ,D. Favors misses 2-pt jump shot from 6 ft (block by N. Noel)
11:34.0,Defensive rebound by H. Diallo, ,28-32, , 
11:27.0,Turnover by D. Schröder (bad pass; steal by D. Favors), ,28-32, , 
11:06.0, , ,28-34,+2,J. Ingles makes 2-pt layup from 3 ft (assist by D. Favors)
10:50.0,Á. Abrines makes 3-pt jump shot from 24 ft (assist by N. Noel),+3,31-34, , 
10:41.0, , ,31-34, ,Personal foul by D. Schröder (drawn by D. Exum)
10:33.0, , ,31-36,+2,D. Favors makes 2-pt layup from 6 ft (assist by J. Ingles)
10:20.0,D. Schröder misses 2-pt jump shot from 19 ft, ,31-36, , 
10:18.0, , ,31-36, ,Defensive rebound by T. Sefolosha
10:06.0, , ,31-36, ,D. Exum misses 2-pt jump shot from 7 ft
10:05.0, , ,31-36, ,Offensive rebound by D. Exum
9:51.0, , ,31-36, ,J. Ingles misses 2-pt jump shot from 24 ft
