time,away_description,away_change,score,home_change,home_description
11:42.0,Violation by Team (kicked ball), ,0-0, , 
11:34.0, , ,0-0, ,R. Westbrook misses 2-pt layup from 1 ft
11:31.0,Defensive rebound by W. Matthews, ,0-0, , 
11:27.0,Personal foul by T. Ferguson (drawn by D. Jordan), ,0-0, , 
11:17.0,W. Matthews misses 2-pt jump shot from 6 ft, ,0-0, , 
11:15.0, , ,0-0, ,Defensive rebound by R. Westbrook
11:10.0, , ,0-2,+2,P. George makes 2-pt layup from 1 ft
11:02.0,Turnover by L. Dončić (bad pass; steal by P. George), ,0-2, , 
11:00.0, , ,0-4,+2,P. George makes 2-pt dunk from 1 ft
10:38.0,L. Dončić misses 3-pt jump shot from 24 ft, ,0-4, , 
10:35.0, , ,0-4, ,Defensive rebound by R. Westbrook
10:30.0, , ,0-4, ,P. George misses 3-pt jump shot from 25 ft
10:27.0,Defensive rebound by D. Jordan, ,0-4, , 
10:16.0,Shooting foul by R. Westbrook (drawn by D. Smith), ,0-4, , 
10:16.0,D. Smith makes free throw 1 of 2,+1,1-4, , 
10:16.0,D. Smith makes free throw 2 of 2,+1,2-4, , 
10:03.0, , ,2-4, ,Shooting foul by W. Matthews (drawn by P. George)
10:03.0, , ,2-5,+1,P. George makes free throw 1 of 2
10:03.0, , ,2-6,+1,P. George makes free throw 2 of 2
9:53.0,D. Smith misses 3-pt jump shot from 25 ft, ,2-6, , 
9:50.0, , ,2-6, ,Defensive rebound by J. Grant
9:37.0, , ,2-8,+2,R. Westbrook makes 2-pt dunk from 1 ft (assist by S. Adams)
9:10.0,W. Matthews misses 3-pt jump shot from 26 ft, ,2-8, , 
9:06.0, , ,2-8, ,Defensive rebound by S. Adams
8:57.0, , ,2-8, ,R. Westbrook misses 2-pt jump shot from 14 ft
8:55.0,Defensive rebound by D. Jordan, ,2-8, , 
8:44.0,D. Smith misses 2-pt layup from 3 ft, ,2-8, , 
8:42.0, , ,2-8, ,Defensive rebound by S. Adams
8:40.0, , ,2-8, ,Shooting foul by D. Jordan (drawn by T. Ferguson)
8:40.0, , ,2-9,+1,T. Ferguson makes free throw 1 of 2
8:40.0,Dallas full timeout, ,2-9, , 
8:40.0, , ,2-9, ,T. Ferguson misses free throw 2 of 2
8:37.0,Defensive rebound by H. Barnes, ,2-9, , 
8:21.0,L. Dončić makes 3-pt jump shot from 24 ft (assist by D. Smith),+3,5-9, , 
8:02.0, , ,5-9, ,P. George misses 2-pt layup from 3 ft
8:00.0,Defensive rebound by D. Jordan, ,5-9, , 
7:43.0,Turnover by D. Smith (bad pass; steal by P. George), ,5-9, , 
7:39.0, , ,5-9, ,Shooting foul by D. Smith (drawn by S. Adams)
7:39.0, , ,5-9, ,S. Adams misses free throw 1 of 2
7:39.0, , ,5-9, ,Offensive rebound by Team
7:39.0, , ,5-9, ,S. Adams misses free throw 2 of 2
7:37.0,Defensive rebound by D. Jordan, ,5-9, , 
7:15.0,Turnover by Team (shot clock), ,5-9, , 
7:04.0, , ,5-9, ,Shooting foul by H. Barnes (drawn by J. Grant)
7:04.0, , ,5-10,+1,J. Grant makes free throw 1 of 2
7:04.0, , ,5-11,+1,J. Grant makes free throw 2 of 2
6:55.0, , ,5-11, ,Violation by Team (kicked ball)
6:50.0,Turnover by L. Dončić (bad pass; steal by P. George), ,5-11, , 
6:44.0, , ,5-14,+3,P. George makes 3-pt jump shot from 26 ft (assist by S. Adams)
