time,away_description,away_change,score,home_change,home_description
11:45.0,J. Allen misses 2-pt jump shot from 7 ft, ,0-0, , 
11:43.0, , ,0-0, ,Defensive rebound by S. Ibaka
11:26.0, , ,0-0, ,K. Leonard misses 2-pt jump shot from 16 ft
11:23.0,Defensive rebound by D. Russell, ,0-0, , 
11:18.0,D. Russell misses 3-pt jump shot from 26 ft, ,0-0, , 
11:16.0, , ,0-0, ,Defensive rebound by S. Ibaka
11:02.0, , ,0-3,+3,K. Lowry makes 3-pt jump shot from 24 ft (assist by P. Siakam)
10:51.0,D. Russell misses 2-pt layup from 1 ft, ,0-3, , 
10:48.0, , ,0-3, ,Defensive rebound by P. Siakam
10:40.0, , ,0-3, ,Shooting foul by T. Graham (drawn by P. Siakam)
10:40.0, , ,0-4,+1,P. Siakam makes free throw 1 of 2
10:40.0, , ,0-5,+1,P. Siakam makes free throw 2 of 2
10:30.0,J. Allen misses 2-pt dunk from 1 ft, ,0-5, , 
10:29.0,Offensive rebound by D. Russell, ,0-5, , 
10:27.0,D. Russell makes 3-pt jump shot from 27 ft,+3,3-5, , 
10:09.0, , ,3-5, ,P. Siakam misses 2-pt jump shot from 2 ft
10:06.0, , ,3-5, ,Offensive rebound by P. Siakam
10:06.0, , ,3-5, ,P. Siakam misses 2-pt layup at rim
10:06.0,Defensive rebound by R. Kurucs, ,3-5, , 
10:01.0,D. Russell misses 2-pt jump shot from 13 ft, ,3-5, , 
9:57.0, , ,3-5, ,Defensive rebound by K. Leonard
9:52.0, , ,3-5, ,K. Leonard misses 2-pt jump shot from 19 ft
9:52.0,Defensive rebound by J. Allen, ,3-5, , 
9:42.0,J. Harris misses 2-pt jump shot from 19 ft, ,3-5, , 
9:37.0,Offensive rebound by R. Kurucs, ,3-5, , 
9:37.0,R. Kurucs makes 2-pt layup from 1 ft,+2,5-5, , 
9:25.0, , ,5-7,+2,S. Ibaka makes 2-pt jump shot from 20 ft (assist by K. Lowry)
9:06.0,D. Russell makes 3-pt jump shot from 27 ft (assist by J. Harris),+3,8-7, , 
8:55.0, , ,8-7, ,K. Lowry misses 3-pt jump shot from 27 ft
8:52.0,Defensive rebound by J. Allen, ,8-7, , 
8:44.0,D. Russell makes 2-pt jump shot from 10 ft,+2,10-7, , 
8:26.0, , ,10-7, ,D. Green misses 2-pt jump shot from 11 ft
8:23.0,Defensive rebound by J. Allen, ,10-7, , 
8:12.0,D. Russell misses 2-pt jump shot from 16 ft, ,10-7, , 
8:10.0, , ,10-7, ,Defensive rebound by K. Lowry
8:03.0, , ,10-9,+2,K. Leonard makes 2-pt dunk from 1 ft (assist by K. Lowry)
7:53.0,J. Harris misses 3-pt jump shot from 27 ft, ,10-9, , 
7:53.0, , ,10-9, ,Defensive rebound by Team
7:40.0, , ,10-9, ,S. Ibaka misses 3-pt jump shot from 26 ft
7:37.0,Defensive rebound by D. Russell, ,10-9, , 
7:25.0,J. Allen makes 2-pt layup from 2 ft (assist by D. Russell),+2,12-9, , 
7:16.0, , ,12-11,+2,K. Leonard makes 2-pt layup from 1 ft (assist by K. Lowry)
7:06.0,T. Graham misses 3-pt jump shot from 25 ft, ,12-11, , 
7:04.0, , ,12-11, ,Defensive rebound by S. Ibaka
6:54.0, , ,12-13,+2,K. Leonard makes 2-pt jump shot from 16 ft
6:42.0,D. Russell makes 2-pt layup at rim,+2,14-13, , 
6:25.0, , ,14-15,+2,K. Leonard makes 2-pt jump shot from 13 ft
6:25.0,Brooklyn full timeout, ,14-15, , 
6:13.0,T. Graham misses 3-pt jump shot from 26 ft, ,14-15, , 
6:11.0, , ,14-15, ,Defensive rebound by D. Green
6:04.0, , ,14-15, ,K. Leonard misses 3-pt jump shot from 27 ft
6:02.0,Defensive rebound by D. Russell, ,14-15, , 
5:57.0,T. Graham makes 2-pt layup from 1 ft (assist by D. Russell),+2,16-15, , 
5:34.0, , ,16-15, ,K. Leonard misses 2-pt jump shot from 11 ft
5:32.0,Defensive rebound by J. Harris, ,16-15, , 
5:27.0,J. Harris makes 3-pt jump shot from 26 ft (assist by D. Russell),+3,19-15, , 
5:11.0, , ,19-17,+2,S. Ibaka makes 2-pt jump shot from 17 ft (assist by D. Green)
4:59.0,D. Russell makes 2-pt jump shot from 13 ft,+2,21-17, , 
4:40.0, , ,21-17, ,P. Siakam misses 2-pt hook shot from 6 ft
4:38.0,Defensive rebound by D. Russell, ,21-17, , 
4:33.0,Personal foul by P. Siakam (drawn by J. Allen), ,21-17, , 
4:33.0,D. Carroll enters the game for R. Kurucs, ,21-17, , 
4:33.0,S. Dinwiddie enters the game for D. Russell, ,21-17, , 
4:33.0, , ,21-17, ,F. VanVleet enters the game for K. Lowry
4:25.0,Turnover by J. Harris (bad pass; steal by K. Leonard), ,21-17, , 
4:21.0, , ,21-20,+3,F. VanVleet makes 3-pt jump shot from 25 ft (assist by K. Leonard)
4:02.0,S. Dinwiddie misses 2-pt jump shot from 15 ft, ,21-20, , 
4:00.0, , ,21-20, ,Defensive rebound by P. Siakam
3:54.0, , ,21-20, ,Turnover by P. Siakam (bad pass; steal by J. Allen)
3:48.0,D. Carroll misses 2-pt layup from 4 ft, ,21-20, , 
3:48.0, , ,21-20, ,Defensive rebound by Team
3:48.0,Loose ball foul by J. Allen (drawn by D. Green), ,21-20, , 
3:48.0,E. Davis enters the game for J. Allen, ,21-20, , 
3:48.0,S. Napier enters the game for T. Graham, ,21-20, , 
3:29.0, , ,21-23,+3,F. VanVleet makes 3-pt jump shot from 25 ft (assist by D. Green)
3:01.0,S. Dinwiddie misses 2-pt jump shot from 16 ft, ,21-23, , 
2:58.0, , ,21-23, ,Defensive rebound by K. Leonard
2:53.0, , ,21-23, ,Shooting foul by J. Harris (drawn by D. Green)
2:53.0, , ,21-23, ,Toronto full timeout
2:53.0,D. Russell enters the game for J. Harris, ,21-23, , 
2:53.0, , ,21-23, ,O. Anunoby enters the game for K. Leonard
2:53.0, , ,21-23, ,N. Powell enters the game for P. Siakam
2:53.0, , ,21-24,+1,D. Green makes free throw 1 of 2
2:53.0, , ,21-25,+1,D. Green makes free throw 2 of 2
2:42.0,Turnover by S. Napier (bad pass), ,21-25, , 
2:18.0, , ,21-25, ,Turnover by S. Ibaka (lost ball; steal by S. Dinwiddie)
2:09.0,S. Napier makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),+3,24-25, , 
1:52.0, , ,24-25, ,S. Ibaka misses 2-pt layup from 2 ft
1:50.0,Defensive rebound by E. Davis, ,24-25, , 
1:46.0,D. Carroll misses 2-pt jump shot from 22 ft, ,24-25, , 
1:44.0, , ,24-25, ,Defensive rebound by D. Green
1:39.0, , ,24-25, ,F. VanVleet misses 2-pt layup from 1 ft
1:37.0,Defensive rebound by D. Russell, ,24-25, , 
1:31.0,S. Napier makes 2-pt layup from 2 ft (assist by D. Russell),+2,26-25, , 
1:16.0, , ,26-25, ,Turnover by S. Ibaka (traveling)
1:16.0, , ,26-25, ,K. Lowry enters the game for D. Green
1:16.0, , ,26-25, ,G. Monroe enters the game for S. Ibaka
1:05.0,D. Carroll makes 3-pt jump shot from 26 ft (assist by D. Russell),+3,29-25, , 
