time,away_description,away_change,score,home_change,home_description
11:48.0,D. Miller misses 3-pt jump shot from 26 ft (block by K. Faried), ,0-0, , 
11:47.0, , ,0-0, ,Defensive rebound by P. Tucker
11:33.0, , ,0-3,+3,E. Gordon makes 3-pt jump shot from 23 ft (assist by J. Harden)
11:27.0,Turnover by S. Hill (lost ball; steal by C. Paul), ,0-3, , 
11:17.0, , ,0-3, ,J. Harden misses 2-pt jump shot from 8 ft
11:17.0, , ,0-3, ,Offensive rebound by K. Faried
11:16.0, , ,0-3, ,K. Faried misses 2-pt layup from 1 ft
11:15.0, , ,0-3, ,Offensive rebound by K. Faried
11:15.0, , ,0-5,+2,K. Faried makes 2-pt layup from 1 ft
11:00.0,S. Hill makes 3-pt jump shot from 23 ft (assist by J. Holiday),+3,3-5, , 
10:31.0, , ,3-5, ,J. Harden misses 3-pt jump shot from 26 ft (block by J. Holiday)
10:29.0,Defensive rebound by J. Holiday, ,3-5, , 
10:18.0,Turnover by J. Okafor (lost ball; steal by J. Harden), ,3-5, , 
10:05.0, , ,3-8,+3,E. Gordon makes 3-pt jump shot from 26 ft (assist by J. Harden)
9:43.0,F. Jackson misses 2-pt jump shot from 7 ft, ,3-8, , 
9:42.0,Offensive rebound by J. Okafor, ,3-8, , 
9:41.0,J. Okafor makes 2-pt layup at rim,+2,5-8, , 
9:29.0, , ,5-8, ,C. Paul misses 3-pt jump shot from 25 ft
9:29.0,Defensive rebound by S. Hill, ,5-8, , 
9:15.0,J. Okafor makes 2-pt hook shot from 5 ft (assist by S. Hill),+2,7-8, , 
8:58.0, , ,7-8, ,E. Gordon misses 3-pt jump shot from 26 ft
8:57.0, , ,7-8, ,Offensive rebound by K. Faried
8:55.0, , ,7-8, ,K. Faried misses 2-pt layup from 1 ft
8:50.0, , ,7-8, ,Offensive rebound by Team
8:44.0, , ,7-8, ,K. Faried misses 2-pt layup from 5 ft (block by J. Okafor)
8:39.0,Defensive rebound by Team, ,7-8, , 
8:33.0,Turnover by F. Jackson (bad pass; steal by J. Harden), ,7-8, , 
8:27.0, , ,7-11,+3,P. Tucker makes 3-pt jump shot from 24 ft (assist by C. Paul)
8:16.0,Personal foul by K. Faried (drawn by F. Jackson), ,7-11, , 
