time,away_description,away_change,score,home_change,home_description
11:40.0,Turnover by B. Lopez (bad pass; steal by T. Ariza), ,0-0, , 
11:32.0, , ,0-2,+2,T. Ariza makes 2-pt layup from 2 ft
11:19.0,Turnover by K. Middleton (bad pass; steal by O. Porter), ,0-2, , 
11:15.0, , ,0-4,+2,T. Satoranský makes 2-pt dunk at rim (assist by B. Beal)
11:15.0, , ,0-4, ,Shooting foul by B. Lopez (drawn by T. Satoranský)
11:15.0,Milwaukee full timeout, ,0-4, , 
11:15.0, , ,0-5,+1,T. Satoranský makes free throw 1 of 1
10:59.0,G. Antetokounmpo makes 2-pt dunk at rim,+2,2-5, , 
10:44.0, , ,2-5, ,T. Ariza misses 2-pt jump shot from 15 ft
10:39.0, , ,2-5, ,Offensive rebound by T. Bryant
10:39.0, , ,2-7,+2,T. Bryant makes 2-pt dunk at rim
10:37.0,Personal foul by T. Ariza (drawn by K. Middleton), ,2-7, , 
10:27.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),+2,4-7, , 
10:27.0, , ,4-7, ,O. Porter misses 2-pt jump shot from 15 ft
10:27.0,Defensive rebound by M. Brogdon, ,4-7, , 
10:04.0,M. Brogdon misses 2-pt layup from 3 ft (block by B. Beal), ,4-7, , 
10:03.0, , ,4-7, ,Defensive rebound by B. Beal
10:01.0, , ,4-7, ,Turnover by B. Beal (bad pass; steal by B. Lopez)
9:53.0,M. Brogdon makes 3-pt jump shot from 24 ft,+3,7-7, , 
9:38.0, , ,7-9,+2,O. Porter makes 2-pt jump shot from 9 ft (assist by T. Satoranský)
9:29.0,K. Middleton makes 2-pt layup from 3 ft (assist by G. Antetokounmpo),+2,9-9, , 
9:15.0, , ,9-9, ,T. Bryant misses 2-pt jump shot from 16 ft
9:13.0,Defensive rebound by K. Middleton, ,9-9, , 
9:06.0,G. Antetokounmpo makes 2-pt layup from 1 ft,+2,11-9, , 
9:06.0,Shooting foul by T. Satoranský (drawn by G. Antetokounmpo), ,11-9, , 
9:06.0,G. Antetokounmpo makes free throw 1 of 1,+1,12-9, , 
8:54.0, , ,12-9, ,T. Bryant misses 2-pt jump shot from 20 ft
8:51.0,Defensive rebound by M. Brogdon, ,12-9, , 
8:38.0,K. Middleton makes 3-pt jump shot from 26 ft (assist by T. Snell),+3,15-9, , 
8:26.0, , ,15-9, ,T. Satoranský misses 2-pt jump shot from 13 ft
8:26.0,Defensive rebound by K. Middleton, ,15-9, , 
8:19.0,Turnover by K. Middleton (bad pass; steal by O. Porter), ,15-9, , 
8:07.0, , ,15-11,+2,B. Beal makes 2-pt layup from 3 ft (assist by T. Satoranský)
7:55.0,T. Snell makes 2-pt layup from 1 ft (assist by M. Brogdon),+2,17-11, , 
7:47.0, , ,17-11, ,O. Porter misses 2-pt jump shot from 18 ft
7:44.0,Defensive rebound by M. Brogdon, ,17-11, , 
7:39.0,M. Brogdon misses 2-pt layup from 1 ft, ,17-11, , 
7:36.0, , ,17-11, ,Defensive rebound by T. Satoranský
7:32.0, , ,17-11, ,B. Beal misses 2-pt jump shot from 17 ft
7:28.0,Defensive rebound by K. Middleton, ,17-11, , 
7:16.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by K. Middleton),+3,20-11, , 
7:12.0, , ,20-11, ,Washington full timeout
7:12.0,S. Brown enters the game for T. Snell, ,20-11, , 
6:53.0, , ,20-11, ,Turnover by T. Bryant (lost ball; steal by B. Lopez)
6:48.0,K. Middleton misses 3-pt jump shot from 26 ft, ,20-11, , 
6:42.0, , ,20-11, ,Defensive rebound by T. Ariza
6:38.0, , ,20-13,+2,B. Beal makes 2-pt jump shot from 14 ft
6:25.0,Shooting foul by T. Bryant (drawn by G. Antetokounmpo), ,20-13, , 
6:25.0,G. Antetokounmpo makes free throw 1 of 2,+1,21-13, , 
6:25.0, , ,21-13, ,J. Green enters the game for T. Bryant
6:25.0,G. Antetokounmpo makes free throw 2 of 2,+1,22-13, , 
6:10.0, , ,22-15,+2,T. Satoranský makes 2-pt dunk at rim (assist by J. Green)
5:59.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by M. Brogdon),+3,25-15, , 
5:49.0, , ,25-15, ,B. Beal misses 3-pt jump shot from 26 ft
5:45.0,Defensive rebound by G. Antetokounmpo, ,25-15, , 
5:40.0,K. Middleton misses 3-pt jump shot from 25 ft, ,25-15, , 
5:35.0,Offensive rebound by M. Brogdon, ,25-15, , 
5:34.0,M. Brogdon misses 2-pt layup from 1 ft, ,25-15, , 
