time,away_description,away_change,score,home_change,home_description
11:55.0, , ,0-2,+2,R. Kurucs makes 2-pt layup from 1 ft
11:35.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),+2,2-2, , 
11:15.0, , ,2-2, ,D. Russell misses 2-pt jump shot from 16 ft
11:10.0, , ,2-2, ,Offensive rebound by J. Allen
11:10.0, , ,2-4,+2,J. Allen makes 2-pt dunk at rim
10:58.0,B. Lopez misses 3-pt jump shot from 25 ft, ,2-4, , 
10:55.0, , ,2-4, ,Defensive rebound by R. Kurucs
10:54.0, , ,2-4, ,Turnover by R. Kurucs (lost ball; steal by E. Bledsoe)
10:48.0,K. Middleton misses 3-pt jump shot from 24 ft, ,2-4, , 
10:47.0, , ,2-4, ,Defensive rebound by J. Allen
10:34.0, , ,2-4, ,Shooting foul by E. Bledsoe (drawn by S. Napier)
10:34.0, , ,2-5,+1,S. Napier makes free throw 1 of 3
10:34.0, , ,2-6,+1,S. Napier makes free throw 2 of 3
10:34.0, , ,2-7,+1,S. Napier makes free throw 3 of 3
10:25.0,E. Bledsoe misses 2-pt jump shot from 11 ft, ,2-7, , 
10:22.0,Offensive rebound by G. Antetokounmpo, ,2-7, , 
10:20.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by J. Allen), ,2-7, , 
10:20.0, , ,2-7, ,Defensive rebound by T. Graham
10:15.0, , ,2-7, ,S. Napier misses 3-pt jump shot from 24 ft
10:11.0,Defensive rebound by K. Middleton, ,2-7, , 
10:09.0,Shooting foul by T. Graham (drawn by G. Antetokounmpo), ,2-7, , 
10:09.0,G. Antetokounmpo makes free throw 1 of 2,+1,3-7, , 
10:09.0,G. Antetokounmpo makes free throw 2 of 2,+1,4-7, , 
9:55.0, , ,4-7, ,D. Russell misses 2-pt jump shot from 12 ft
9:51.0,Defensive rebound by G. Antetokounmpo, ,4-7, , 
9:45.0,M. Brogdon misses 2-pt layup from 2 ft (block by J. Allen), ,4-7, , 
9:43.0, , ,4-7, ,Defensive rebound by J. Allen
9:35.0, , ,4-7, ,T. Graham misses 3-pt jump shot from 25 ft
9:31.0,Defensive rebound by G. Antetokounmpo, ,4-7, , 
9:24.0,G. Antetokounmpo misses 2-pt layup from 1 ft (block by T. Graham), ,4-7, , 
9:24.0,Offensive rebound by Team, ,4-7, , 
9:10.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft, ,4-7, , 
9:09.0,Offensive rebound by Team, ,4-7, , 
9:09.0,Turnover by Team (shot clock), ,4-7, , 
8:57.0, , ,4-7, ,Turnover by J. Allen (bad pass; steal by E. Bledsoe)
8:54.0,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by B. Lopez),+2,6-7, , 
8:54.0,Shooting foul by J. Allen (drawn by G. Antetokounmpo), ,6-7, , 
8:54.0,G. Antetokounmpo makes free throw 1 of 1,+1,7-7, , 
8:42.0, , ,7-7, ,R. Kurucs misses 2-pt layup from 3 ft (block by K. Middleton)
8:40.0,Defensive rebound by K. Middleton, ,7-7, , 
8:35.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),+2,9-7, , 
8:27.0, , ,9-7, ,D. Russell misses 2-pt jump shot from 12 ft
8:27.0,Defensive rebound by B. Lopez, ,9-7, , 
8:19.0,Shooting foul by R. Kurucs (drawn by E. Bledsoe), ,9-7, , 
8:19.0, , ,9-7, ,Brooklyn full timeout
8:19.0,E. Bledsoe makes free throw 1 of 2,+1,10-7, , 
8:19.0,E. Bledsoe makes free throw 2 of 2,+1,11-7, , 
8:05.0, , ,11-9,+2,J. Allen makes 2-pt dunk from 2 ft (assist by S. Napier)
7:51.0,M. Brogdon makes 3-pt jump shot from 26 ft,+3,14-9, , 
7:41.0, , ,14-9, ,Turnover by D. Russell (bad pass; steal by E. Bledsoe)
