time,away_description,away_change,score,home_change,home_description
11:38.0, , ,0-0, ,B. Adebayo misses 2-pt layup from 1 ft
11:35.0,Defensive rebound by N. Batum, ,0-0, , 
11:31.0,M. Bridges misses 2-pt jump shot from 3 ft, ,0-0, , 
11:26.0, , ,0-0, ,Defensive rebound by D. Jones
11:12.0, , ,0-0, ,D. Waiters misses 2-pt jump shot from 19 ft
11:10.0,Defensive rebound by M. Williams, ,0-0, , 
10:56.0,K. Walker misses 3-pt jump shot from 24 ft, ,0-0, , 
10:53.0, , ,0-0, ,Defensive rebound by J. Richardson
10:45.0, , ,0-0, ,J. Richardson misses 3-pt jump shot from 23 ft
10:43.0,Defensive rebound by M. Bridges, ,0-0, , 
10:37.0,Turnover by K. Walker (bad pass; steal by B. Adebayo), ,0-0, , 
10:33.0, , ,0-0, ,Shooting foul by K. Walker (drawn by D. Jones)
10:33.0, , ,0-1,+1,D. Jones makes free throw 1 of 2
10:33.0, , ,0-1, ,D. Jones misses free throw 2 of 2
10:29.0, , ,0-1, ,Offensive rebound by J. Richardson
10:17.0, , ,0-1, ,B. Adebayo misses 2-pt jump shot from 10 ft
10:15.0,Defensive rebound by B. Biyombo, ,0-1, , 
10:03.0,Shooting foul by D. Jones (drawn by N. Batum), ,0-1, , 
10:03.0,N. Batum makes free throw 1 of 2,+1,1-1, , 
10:03.0,N. Batum makes free throw 2 of 2,+1,2-1, , 
9:51.0, , ,2-3,+2,B. Adebayo makes 2-pt layup from 4 ft (assist by J. Richardson)
9:51.0, , ,2-3, ,Shooting foul by B. Biyombo (drawn by B. Adebayo)
9:51.0, , ,2-4,+1,B. Adebayo makes free throw 1 of 1
9:43.0,Turnover by B. Biyombo (off goaltending), ,2-4, , 
9:35.0, , ,2-4, ,D. Waiters misses 2-pt layup from 3 ft
9:32.0,Defensive rebound by M. Bridges, ,2-4, , 
9:26.0,M. Bridges makes 2-pt layup from 1 ft,+2,4-4, , 
9:09.0, , ,4-6,+2,B. Adebayo makes 2-pt jump shot from 11 ft (assist by K. Olynyk)
8:51.0,Personal foul by D. Waiters (drawn by M. Williams), ,4-6, , 
