time,away_description,away_change,score,home_change,home_description
11:43.0, , ,0-2,+2,M. Morris makes 2-pt jump shot from 16 ft
11:24.0,D. Fox misses 2-pt layup from 1 ft, ,0-2, , 
11:22.0,Offensive rebound by R. Holmes, ,0-2, , 
11:22.0,R. Holmes makes 2-pt layup at rim,+2,2-2, , 
11:12.0, , ,2-2, ,R. Barrett misses 2-pt jump shot from 18 ft
11:10.0,Defensive rebound by R. Holmes, ,2-2, , 
10:58.0,D. Fox misses 3-pt jump shot from 23 ft, ,2-2, , 
10:56.0, , ,2-2, ,Defensive rebound by F. Ntilikina
10:50.0, , ,2-5,+3,M. Morris makes 3-pt jump shot from 25 ft (assist by R. Barrett)
10:27.0,D. Fox misses 3-pt jump shot from 24 ft, ,2-5, , 
10:25.0, , ,2-5, ,Defensive rebound by B. Portis
10:19.0, , ,2-7,+2,J. Randle makes 2-pt layup from 2 ft
10:04.0,Personal foul by F. Ntilikina (drawn by R. Holmes), ,2-7, , 
9:54.0,B. Hield makes 2-pt jump shot from 17 ft,+2,4-7, , 
9:32.0, , ,4-7, ,B. Portis misses 2-pt jump shot from 6 ft
9:31.0,Defensive rebound by N. Bjelica, ,4-7, , 
9:26.0,Shooting foul by J. Randle (drawn by D. Fox), ,4-7, , 
9:26.0,D. Fox makes free throw 1 of 2,+1,5-7, , 
9:26.0,D. Fox misses free throw 2 of 2, ,5-7, , 
9:25.0, , ,5-7, ,Defensive rebound by B. Portis
9:16.0, , ,5-7, ,J. Randle misses 2-pt jump shot from 11 ft
9:15.0,Defensive rebound by N. Bjelica, ,5-7, , 
9:09.0,B. Hield makes 3-pt jump shot from 26 ft,+3,8-7, , 
8:52.0, , ,8-7, ,M. Morris misses 2-pt jump shot from 17 ft
8:50.0,Defensive rebound by B. Hield, ,8-7, , 
8:37.0,Turnover by B. Hield (bad pass; steal by B. Portis), ,8-7, , 
8:34.0, , ,8-7, ,Turnover by B. Portis (lost ball; steal by B. Hield)
8:32.0,Turnover by N. Bjelica (bad pass), ,8-7, , 
8:11.0, , ,8-9,+2,F. Ntilikina makes 2-pt layup from 1 ft (assist by J. Randle)
8:11.0,Violation by Team (def goaltending), ,8-9, , 
7:51.0,H. Barnes makes 2-pt layup from 1 ft (assist by R. Holmes),+2,10-9, , 
7:39.0, , ,10-9, ,Offensive foul by B. Portis (drawn by N. Bjelica)
7:39.0, , ,10-9, ,Turnover by B. Portis (offensive foul)
7:33.0,Shooting foul by F. Ntilikina (drawn by D. Fox), ,10-9, , 
7:33.0,D. Fox makes free throw 1 of 2,+1,11-9, , 
7:33.0, , ,11-9, ,W. Ellington enters the game for F. Ntilikina
7:33.0,D. Fox makes free throw 2 of 2,+1,12-9, , 
7:24.0, , ,12-9, ,B. Portis misses 2-pt jump shot from 22 ft
7:22.0,Defensive rebound by B. Hield, ,12-9, , 
7:08.0,B. Hield makes 3-pt jump shot from 26 ft (assist by N. Bjelica),+3,15-9, , 
7:01.0, , ,15-9, ,New York full timeout
6:47.0, , ,15-9, ,Shooting foul by N. Bjelica (drawn by M. Morris)
6:47.0, , ,15-10,+1,M. Morris makes free throw 1 of 2
6:47.0, , ,15-11,+1,M. Morris makes free throw 2 of 2
6:35.0,N. Bjelica makes 3-pt jump shot from 23 ft (assist by D. Fox),+3,18-11, , 
6:21.0, , ,18-11, ,J. Randle misses 2-pt jump shot from 19 ft
6:19.0,Defensive rebound by N. Bjelica, ,18-11, , 
6:08.0,D. Fox makes 2-pt jump shot from 11 ft,+2,20-11, , 
5:49.0, , ,20-11, ,B. Portis misses 2-pt jump shot from 16 ft
5:47.0,Defensive rebound by R. Holmes, ,20-11, , 
5:41.0,B. Hield misses 3-pt jump shot from 25 ft, ,20-11, , 
5:40.0, , ,20-11, ,Defensive rebound by J. Randle
5:26.0, , ,20-11, ,B. Portis misses 2-pt layup from 4 ft (block by R. Holmes)
5:24.0,Defensive rebound by B. Hield, ,20-11, , 
5:13.0,D. Fox misses 2-pt jump shot from 16 ft, ,20-11, , 
5:11.0, , ,20-11, ,Defensive rebound by J. Randle
5:11.0,T. Ariza enters the game for H. Barnes, ,20-11, , 
5:11.0, , ,20-11, ,K. Knox enters the game for B. Portis
5:11.0, , ,20-11, ,M. Robinson enters the game for J. Randle
5:01.0, , ,20-14,+3,W. Ellington makes 3-pt jump shot from 25 ft (assist by K. Knox)
4:41.0,Def 3 sec tech foul by Team, ,20-14, , 
4:41.0,B. Hield misses technical free throw, ,20-14, , 
4:41.0,Offensive rebound by Team, ,20-14, , 
4:29.0,D. Fox misses 2-pt jump shot from 13 ft, ,20-14, , 
4:27.0,Offensive rebound by N. Bjelica, ,20-14, , 
4:27.0,N. Bjelica makes 2-pt layup at rim,+2,22-14, , 
4:18.0, , ,22-14, ,R. Barrett misses 2-pt jump shot from 6 ft
4:16.0,Defensive rebound by T. Ariza, ,22-14, , 
4:10.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by B. Hield),+3,25-14, , 
4:02.0, , ,25-14, ,New York full timeout
4:02.0,H. Barnes enters the game for N. Bjelica, ,25-14, , 
3:50.0, , ,25-16,+2,M. Morris makes 2-pt jump shot from 19 ft
3:24.0,D. Fox makes 2-pt jump shot from 10 ft,+2,27-16, , 
3:11.0, , ,27-16, ,Shooting foul by D. Fox (drawn by R. Barrett)
3:11.0, , ,27-16, ,R. Barrett misses free throw 1 of 2
3:11.0, , ,27-16, ,Offensive rebound by Team
3:11.0,B. Bogdanović enters the game for B. Hield, ,27-16, , 
3:11.0, , ,27-16, ,R. Barrett misses free throw 2 of 2
3:09.0, , ,27-16, ,Offensive rebound by R. Barrett
3:05.0, , ,27-16, ,K. Knox misses 3-pt jump shot from 26 ft
3:03.0,Defensive rebound by B. Bogdanović, ,27-16, , 
2:53.0,Personal foul by M. Robinson (drawn by D. Fox), ,27-16, , 
2:48.0,T. Ariza misses 3-pt jump shot from 22 ft, ,27-16, , 
2:46.0, , ,27-16, ,Defensive rebound by K. Knox
2:37.0, , ,27-19,+3,R. Barrett makes 3-pt jump shot from 25 ft (assist by M. Morris)
2:20.0,H. Barnes misses 3-pt jump shot from 23 ft, ,27-19, , 
2:18.0,Offensive rebound by R. Holmes, ,27-19, , 
2:11.0,D. Fox makes 2-pt jump shot from 13 ft,+2,29-19, , 
1:48.0, , ,29-19, ,M. Morris misses 2-pt jump shot from 10 ft
1:46.0,Defensive rebound by T. Ariza, ,29-19, , 
1:39.0,T. Ariza misses 3-pt jump shot from 25 ft, ,29-19, , 
1:37.0, , ,29-19, ,Defensive rebound by M. Morris
1:26.0, , ,29-19, ,R. Barrett misses 2-pt layup from 1 ft
1:25.0, , ,29-19, ,Offensive rebound by Team
1:25.0,D. Dedmon enters the game for R. Holmes, ,29-19, , 
1:23.0, , ,29-21,+2,M. Robinson makes 2-pt dunk at rim (assist by R. Barrett)
1:13.0,D. Fox misses 2-pt layup from 5 ft (block by R. Barrett), ,29-21, , 
1:12.0,Offensive rebound by Team, ,29-21, , 
1:05.0,Offensive foul by D. Dedmon (drawn by M. Robinson), ,29-21, , 
1:05.0,Turnover by D. Dedmon (offensive foul), ,29-21, , 
1:05.0,C. Joseph enters the game for D. Fox, ,29-21, , 
1:05.0, , ,29-21, ,J. Randle enters the game for M. Morris
0:47.0, , ,29-23,+2,J. Randle makes 2-pt jump shot from 10 ft
0:32.0,B. Bogdanović makes 3-pt jump shot from 22 ft (assist by C. Joseph),+3,32-23, , 
0:12.0, , ,32-23, ,Turnover by R. Barrett (bad pass; steal by H. Barnes)
0:00.0,T. Ariza misses 3-pt jump shot from 23 ft, ,32-23, , 
0:00.0,Offensive rebound by Team, ,32-23, , 
11:49.0,Offensive foul by B. Bogdanović (drawn by W. Ellington), ,32-23, , 
11:49.0,Turnover by B. Bogdanović (offensive foul), ,32-23, , 
11:37.0, , ,32-23, ,W. Ellington misses 3-pt jump shot from 26 ft
11:35.0,Defensive rebound by T. Ariza, ,32-23, , 
