time,away_description,away_change,score,home_change,home_description
11:42.0,H. Whiteside makes 2-pt layup from 1 ft (assist by D. Lillard),+2,2-0, , 
11:27.0, , ,2-0, ,D. DeRozan misses 2-pt jump shot from 18 ft
11:25.0,Defensive rebound by R. Hood, ,2-0, , 
11:10.0,H. Whiteside makes 2-pt hook shot from 4 ft,+2,4-0, , 
10:57.0, , ,4-0, ,L. Aldridge misses 3-pt jump shot from 26 ft
10:53.0,Defensive rebound by N. Little, ,4-0, , 
10:32.0,R. Hood misses 3-pt jump shot from 27 ft, ,4-0, , 
10:27.0, , ,4-0, ,Defensive rebound by T. Lyles
10:09.0, , ,4-3,+3,T. Lyles makes 3-pt jump shot from 23 ft (assist by D. DeRozan)
9:46.0,N. Little misses 2-pt jump shot from 10 ft, ,4-3, , 
9:44.0, , ,4-3, ,Defensive rebound by L. Aldridge
9:30.0, , ,4-3, ,B. Forbes misses 2-pt jump shot from 19 ft
9:26.0,Defensive rebound by C. McCollum, ,4-3, , 
9:16.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by D. Lillard),+3,7-3, , 
8:50.0, , ,7-3, ,L. Aldridge misses 2-pt jump shot from 19 ft
8:48.0,Defensive rebound by C. McCollum, ,7-3, , 
8:41.0,H. Whiteside makes 2-pt jump shot from 13 ft (assist by C. McCollum),+2,9-3, , 
8:19.0, , ,9-5,+2,L. Aldridge makes 2-pt jump shot from 9 ft
8:04.0,Turnover by R. Hood (lost ball; steal by L. Aldridge), ,9-5, , 
8:01.0, , ,9-5, ,Shooting foul by D. Lillard (drawn by B. Forbes)
8:01.0, , ,9-6,+1,B. Forbes makes free throw 1 of 2
8:01.0, , ,9-7,+1,B. Forbes makes free throw 2 of 2
7:50.0,D. Lillard misses 3-pt jump shot from 26 ft, ,9-7, , 
7:48.0, , ,9-7, ,Defensive rebound by L. Aldridge
7:41.0, , ,9-7, ,T. Lyles misses 3-pt jump shot from 24 ft
