time,away_description,away_change,score,home_change,home_description
11:36.0, , ,0-0, ,K. Leonard misses 2-pt layup from 2 ft
11:32.0, , ,0-0, ,Offensive rebound by I. Zubac
11:32.0, , ,0-2,+2,I. Zubac makes 2-pt layup at rim
11:18.0,J. Crowder makes 3-pt jump shot from 23 ft (assist by J. Morant),+3,3-2, , 
11:10.0, , ,3-2, ,Personal foul by J. Crowder (drawn by K. Leonard)
10:58.0, , ,3-2, ,K. Leonard misses 2-pt jump shot from 16 ft
10:56.0,Defensive rebound by J. Crowder, ,3-2, , 
10:50.0,Personal foul by D. Walton (drawn by J. Crowder), ,3-2, , 
10:41.0,Shooting foul by I. Zubac (drawn by J. Morant), ,3-2, , 
10:41.0,J. Morant makes free throw 1 of 2,+1,4-2, , 
10:41.0,J. Morant misses free throw 2 of 2, ,4-2, , 
10:36.0,Offensive rebound by J. Valančiūnas, ,4-2, , 
10:26.0,D. Brooks misses 2-pt layup from 1 ft, ,4-2, , 
10:24.0, , ,4-2, ,Defensive rebound by I. Zubac
10:16.0, , ,4-4,+2,L. Shamet makes 2-pt jump shot from 2 ft
10:06.0,D. Brooks makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),+3,7-4, , 
9:50.0, , ,7-6,+2,I. Zubac makes 2-pt jump shot from 19 ft (assist by K. Leonard)
9:25.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by J. Morant),+3,10-6, , 
9:16.0, , ,10-6, ,K. Leonard misses 3-pt jump shot from 27 ft
9:12.0,Defensive rebound by J. Valančiūnas, ,10-6, , 
9:05.0,J. Valančiūnas misses 3-pt jump shot from 27 ft, ,10-6, , 
9:02.0, , ,10-6, ,Defensive rebound by K. Leonard
8:58.0, , ,10-6, ,K. Leonard misses 2-pt jump shot from 17 ft
8:54.0,Defensive rebound by J. Valančiūnas, ,10-6, , 
8:49.0,Turnover by D. Brooks (lost ball), ,10-6, , 
8:49.0,Loose ball foul by D. Brooks (drawn by L. Shamet), ,10-6, , 
8:39.0, , ,10-6, ,K. Leonard misses 2-pt jump shot from 14 ft
8:36.0,Defensive rebound by J. Jackson, ,10-6, , 
8:30.0,D. Brooks misses 3-pt jump shot from 25 ft, ,10-6, , 
8:27.0, , ,10-6, ,Defensive rebound by K. Leonard
8:22.0, , ,10-6, ,L. Shamet misses 3-pt jump shot from 23 ft
8:17.0, , ,10-6, ,Offensive rebound by I. Zubac
8:15.0, , ,10-6, ,M. Harkless misses 3-pt jump shot from 25 ft
8:11.0,Defensive rebound by J. Valančiūnas, ,10-6, , 
8:00.0,J. Jackson makes 2-pt hook shot from 4 ft,+2,12-6, , 
7:43.0, , ,12-6, ,D. Walton misses 3-pt jump shot from 26 ft
7:43.0,Defensive rebound by J. Valančiūnas, ,12-6, , 
7:39.0,J. Morant makes 2-pt dunk from 1 ft (assist by J. Crowder),+2,14-6, , 
7:19.0, , ,14-6, ,Shooting foul by J. Morant (drawn by K. Leonard)
7:19.0, , ,14-7,+1,K. Leonard makes free throw 1 of 2
7:19.0, , ,14-8,+1,K. Leonard makes free throw 2 of 2
7:11.0,Shooting foul by M. Harkless (drawn by J. Morant), ,14-8, , 
7:11.0,J. Morant makes free throw 1 of 2,+1,15-8, , 
7:11.0,J. Morant makes free throw 2 of 2,+1,16-8, , 
7:01.0, , ,16-10,+2,K. Leonard makes 2-pt layup from 2 ft
6:41.0,Turnover by J. Morant (bad pass; steal by K. Leonard), ,16-10, , 
6:29.0, , ,16-12,+2,L. Shamet makes 2-pt jump shot from 10 ft
6:28.0,Memphis full timeout, ,16-12, , 
6:28.0,B. Clarke enters the game for J. Morant, ,16-12, , 
6:28.0,T. Jones enters the game for J. Valančiūnas, ,16-12, , 
6:14.0,J. Crowder makes 3-pt jump shot from 28 ft (assist by T. Jones),+3,19-12, , 
5:57.0, , ,19-12, ,L. Shamet misses 3-pt jump shot from 25 ft
5:54.0, , ,19-12, ,Offensive rebound by M. Harkless
5:53.0, , ,19-12, ,Turnover by M. Harkless (bad pass; steal by T. Jones)
5:43.0,J. Jackson makes 2-pt hook shot from 2 ft (assist by J. Crowder),+2,21-12, , 
5:28.0, , ,21-12, ,K. Leonard misses 2-pt layup from 4 ft (block by J. Jackson)
5:28.0,Defensive rebound by Team, ,21-12, , 
5:28.0, , ,21-12, ,L. Williams enters the game for D. Walton
5:08.0,D. Brooks makes 2-pt jump shot from 15 ft (assist by J. Crowder),+2,23-12, , 
4:58.0, , ,23-14,+2,L. Williams makes 2-pt layup from 2 ft
4:52.0,D. Brooks makes 3-pt jump shot from 26 ft,+3,26-14, , 
4:44.0, , ,26-14, ,Turnover by L. Williams (bad pass)
4:44.0, , ,26-14, ,J. Green enters the game for M. Harkless
4:44.0, , ,26-14, ,M. Harrell enters the game for I. Zubac
4:36.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by T. Jones),+3,29-14, , 
4:17.0, , ,29-14, ,K. Leonard misses 2-pt jump shot from 11 ft
4:12.0,Defensive rebound by B. Clarke, ,29-14, , 
4:09.0,D. Brooks makes 3-pt jump shot from 25 ft (assist by J. Crowder),+3,32-14, , 
3:57.0, , ,32-16,+2,K. Leonard makes 2-pt jump shot from 16 ft (assist by L. Williams)
