time,away_description,away_change,score,home_change,home_description
11:58.0, , ,0-0, ,Violation by Team (jump ball)
11:48.0,Shooting foul by A. Drummond (drawn by K. Love), ,0-0, , 
11:48.0,K. Love makes free throw 1 of 2,+1,1-0, , 
11:48.0,K. Love misses free throw 2 of 2, ,1-0, , 
11:45.0, , ,1-0, ,Defensive rebound by A. Drummond
11:37.0, , ,1-0, ,Personal foul by C. Osman (drawn by T. Snell)
11:26.0, , ,1-0, ,S. Doumbouya misses 2-pt jump shot from 8 ft
11:19.0, , ,1-0, ,Offensive rebound by A. Drummond
11:19.0, , ,1-0, ,A. Drummond misses 2-pt layup at rim
11:18.0,Defensive rebound by C. Sexton, ,1-0, , 
11:16.0,Offensive foul by T. Thompson (drawn by S. Doumbouya), ,1-0, , 
11:16.0,Turnover by T. Thompson (offensive foul), ,1-0, , 
10:53.0, , ,1-3,+3,S. Mykhailiuk makes 3-pt jump shot from 25 ft (assist by B. Brown)
10:38.0,C. Sexton misses 2-pt jump shot from 15 ft (block by B. Brown), ,1-3, , 
10:35.0, , ,1-3, ,Defensive rebound by A. Drummond
10:27.0, , ,1-3, ,Shooting foul by C. Sexton (drawn by B. Brown)
10:27.0, , ,1-4,+1,B. Brown makes free throw 1 of 2
10:27.0, , ,1-5,+1,B. Brown makes free throw 2 of 2
10:16.0,D. Garland misses 2-pt jump shot from 16 ft, ,1-5, , 
10:12.0, , ,1-5, ,Defensive rebound by B. Brown
10:05.0, , ,1-5, ,A. Drummond misses 2-pt layup from 3 ft
10:04.0, , ,1-5, ,Offensive rebound by A. Drummond
10:02.0, , ,1-5, ,A. Drummond misses 2-pt layup from 2 ft (block by C. Sexton)
10:02.0, , ,1-5, ,Offensive rebound by A. Drummond
9:57.0, , ,1-7,+2,A. Drummond makes 2-pt layup from 2 ft
9:42.0,C. Sexton makes 2-pt layup from 4 ft,+2,3-7, , 
9:23.0, , ,3-9,+2,S. Doumbouya makes 2-pt jump shot from 8 ft
9:13.0,C. Sexton makes 2-pt jump shot from 12 ft,+2,5-9, , 
9:01.0, , ,5-9, ,A. Drummond misses 2-pt layup from 2 ft
9:00.0,Defensive rebound by K. Love, ,5-9, , 
8:54.0,Turnover by D. Garland (lost ball; steal by B. Brown), ,5-9, , 
8:49.0, , ,5-9, ,T. Snell misses 3-pt jump shot from 24 ft
8:46.0, , ,5-9, ,Offensive rebound by A. Drummond
8:46.0, , ,5-11,+2,A. Drummond makes 2-pt jump shot from 6 ft
8:33.0,Personal foul by B. Brown (drawn by T. Thompson), ,5-11, , 
8:29.0,Turnover by K. Love (bad pass), ,5-11, , 
8:08.0, , ,5-14,+3,S. Doumbouya makes 3-pt jump shot from 25 ft (assist by A. Drummond)
7:47.0,C. Osman makes 2-pt hook shot from 6 ft,+2,7-14, , 
7:36.0, , ,7-14, ,B. Brown misses 2-pt dunk from 2 ft
7:34.0,Defensive rebound by T. Thompson, ,7-14, , 
7:33.0,C. Sexton misses 2-pt layup from 3 ft, ,7-14, , 
7:30.0,Offensive rebound by T. Thompson, ,7-14, , 
7:30.0,T. Thompson makes 2-pt dunk from 1 ft,+2,9-14, , 
7:15.0, , ,9-16,+2,T. Snell makes 2-pt layup from 6 ft
6:59.0,Personal foul by S. Doumbouya (drawn by K. Love), ,9-16, , 
6:59.0, , ,9-16, ,Detroit full timeout
6:59.0,B. Knight enters the game for D. Garland, ,9-16, , 
6:59.0,A. McKinnie enters the game for C. Osman, ,9-16, , 
6:48.0,T. Thompson makes 2-pt layup from 3 ft,+2,11-16, , 
6:34.0, , ,11-16, ,Shooting foul by A. McKinnie (drawn by A. Drummond)
6:34.0, , ,11-17,+1,A. Drummond makes free throw 1 of 2
6:34.0, , ,11-18,+1,A. Drummond makes free throw 2 of 2
6:10.0,B. Knight misses 2-pt jump shot from 16 ft, ,11-18, , 
6:05.0,Offensive rebound by T. Thompson, ,11-18, , 
6:05.0,T. Thompson makes 2-pt layup from 1 ft,+2,13-18, , 
5:54.0, , ,13-18, ,B. Brown misses 2-pt layup from 4 ft
5:51.0,Defensive rebound by C. Sexton, ,13-18, , 
5:48.0,C. Sexton misses 2-pt layup from 5 ft (block by B. Brown), ,13-18, , 
5:48.0,Offensive rebound by Team, ,13-18, , 
5:48.0, , ,13-18, ,L. Galloway enters the game for B. Brown
5:48.0, , ,13-18, ,D. Rose enters the game for T. Snell
5:48.0, , ,13-18, ,Violation by Team (delay of game)
5:34.0,K. Love misses 3-pt jump shot from 28 ft, ,13-18, , 
5:31.0, , ,13-18, ,Defensive rebound by A. Drummond
5:17.0, , ,13-18, ,D. Rose misses 2-pt jump shot from 15 ft
5:13.0,Defensive rebound by B. Knight, ,13-18, , 
5:02.0,T. Thompson makes 2-pt hook shot from 6 ft (assist by B. Knight),+2,15-18, , 
4:49.0, , ,15-18, ,Turnover by A. Drummond (out of bounds lost ball)
4:29.0,K. Love misses 2-pt layup from 4 ft, ,15-18, , 
4:27.0, , ,15-18, ,Defensive rebound by A. Drummond
4:19.0, , ,15-18, ,S. Doumbouya misses 2-pt jump shot from 6 ft
4:17.0,Defensive rebound by K. Love, ,15-18, , 
4:00.0,Personal foul by S. Doumbouya (drawn by C. Sexton), ,15-18, , 
4:00.0, , ,15-18, ,T. Maker enters the game for S. Doumbouya
4:00.0, , ,15-18, ,C. Wood enters the game for A. Drummond
3:53.0,K. Love makes 2-pt jump shot from 17 ft,+2,17-18, , 
3:40.0, , ,17-18, ,Shooting foul by K. Love (drawn by T. Maker)
3:40.0, , ,17-18, ,T. Maker misses free throw 1 of 2
3:40.0, , ,17-18, ,Offensive rebound by Team
3:40.0,D. Garland enters the game for C. Sexton, ,17-18, , 
3:40.0,A. Žižić enters the game for T. Thompson, ,17-18, , 
3:40.0, , ,17-19,+1,T. Maker makes free throw 2 of 2
3:27.0,K. Love misses 2-pt jump shot from 6 ft (block by T. Maker), ,17-19, , 
3:27.0,Offensive rebound by Team, ,17-19, , 
3:27.0,C. Osman enters the game for K. Love, ,17-19, , 
3:22.0,B. Knight misses 3-pt jump shot from 23 ft, ,17-19, , 
3:18.0, , ,17-19, ,Defensive rebound by T. Maker
3:12.0, , ,17-21,+2,D. Rose makes 2-pt layup from 3 ft
3:03.0,Personal foul by C. Wood (drawn by C. Osman), ,17-21, , 
3:03.0,C. Osman misses free throw 1 of 2, ,17-21, , 
3:03.0,Offensive rebound by Team, ,17-21, , 
3:03.0,C. Osman makes free throw 2 of 2,+1,18-21, , 
2:49.0, , ,18-21, ,T. Maker misses 2-pt hook shot from 9 ft
2:47.0,Defensive rebound by A. Žižić, ,18-21, , 
2:37.0,A. Žižić misses 2-pt hook shot from 7 ft, ,18-21, , 
2:35.0, , ,18-21, ,Defensive rebound by T. Maker
2:28.0, , ,18-23,+2,L. Galloway makes 2-pt layup from 3 ft (assist by D. Rose)
2:20.0,A. McKinnie misses 2-pt layup from 1 ft (block by C. Wood), ,18-23, , 
2:19.0,Offensive rebound by Team, ,18-23, , 
2:19.0,Cleveland full timeout, ,18-23, , 
