time,away_description,away_change,score,home_change,home_description
11:44.0, , ,0-0, ,J. Valančiūnas misses 2-pt jump shot from 13 ft
11:40.0,Defensive rebound by A. Burks, ,0-0, , 
11:31.0,A. Burks misses 2-pt jump shot from 20 ft, ,0-0, , 
11:27.0, , ,0-0, ,Defensive rebound by J. Valančiūnas
11:12.0, , ,0-0, ,D. Brooks misses 2-pt jump shot from 13 ft
11:10.0,Defensive rebound by D. Russell, ,0-0, , 
11:02.0,O. Spellman makes 3-pt jump shot from 23 ft (assist by D. Green),+3,3-0, , 
10:47.0, , ,3-0, ,J. Jackson misses 3-pt jump shot from 26 ft (block by D. Green)
10:43.0,Defensive rebound by G. Robinson, ,3-0, , 
10:33.0,D. Russell misses 2-pt jump shot from 13 ft (block by J. Jackson), ,3-0, , 
10:31.0, , ,3-0, ,Defensive rebound by J. Jackson
10:31.0, , ,3-0, ,Personal take foul by D. Green (drawn by J. Morant)
10:24.0, , ,3-0, ,Turnover by J. Morant (bad pass; steal by O. Spellman)
10:09.0,A. Burks makes 3-pt jump shot from 28 ft (assist by O. Spellman),+3,6-0, , 
9:55.0, , ,6-0, ,J. Jackson misses 3-pt jump shot from 23 ft
9:50.0,Defensive rebound by D. Russell, ,6-0, , 
9:48.0,G. Robinson misses 3-pt jump shot from 26 ft, ,6-0, , 
9:45.0, , ,6-0, ,Defensive rebound by J. Valančiūnas
9:40.0, , ,6-2,+2,J. Morant makes 2-pt layup from 1 ft
9:19.0,D. Green makes 3-pt jump shot from 25 ft (assist by O. Spellman),+3,9-2, , 
8:58.0, , ,9-2, ,J. Morant misses 2-pt layup from 1 ft (block by O. Spellman)
8:56.0,Defensive rebound by O. Spellman, ,9-2, , 
8:52.0,Turnover by D. Green (bad pass), ,9-2, , 
8:38.0, , ,9-5,+3,J. Morant makes 3-pt jump shot from 25 ft (assist by J. Crowder)
8:23.0,D. Green misses 2-pt jump shot from 17 ft, ,9-5, , 
8:19.0, , ,9-5, ,Defensive rebound by J. Morant
8:13.0, , ,9-5, ,J. Morant misses 2-pt layup from 4 ft
8:12.0, , ,9-5, ,Offensive rebound by J. Valančiūnas
8:12.0, , ,9-5, ,Shooting foul by G. Robinson (drawn by J. Valančiūnas)
8:12.0, , ,9-6,+1,J. Valančiūnas makes free throw 1 of 2
8:12.0, , ,9-7,+1,J. Valančiūnas makes free throw 2 of 2
8:02.0,D. Russell misses 3-pt jump shot from 31 ft, ,9-7, , 
7:59.0,Offensive rebound by D. Green, ,9-7, , 
7:58.0,Turnover by D. Green (bad pass; steal by J. Crowder), ,9-7, , 
