time,away_description,away_change,score,home_change,home_description
11:43.0,I. Thomas misses 3-pt jump shot from 25 ft, ,0-0, , 
11:38.0, , ,0-0, ,Defensive rebound by D. Gafford
11:27.0, , ,0-2,+2,D. Gafford makes 2-pt dunk from 1 ft (assist by K. Dunn)
11:11.0,T. Bryant makes 3-pt jump shot from 26 ft (assist by B. Beal),+3,3-2, , 
10:52.0, , ,3-2, ,T. Satoranský misses 3-pt jump shot from 24 ft
10:49.0,Defensive rebound by T. Bryant, ,3-2, , 
10:41.0,Turnover by I. Mahinmi (bad pass; steal by D. Gafford), ,3-2, , 
10:39.0, , ,3-2, ,Chicago full timeout
10:39.0, , ,3-2, ,L. Kornet enters the game for D. Gafford
10:20.0, , ,3-2, ,T. Satoranský misses 2-pt jump shot from 2 ft
10:18.0,Defensive rebound by B. Beal, ,3-2, , 
9:59.0,Shooting foul by T. Satoranský (drawn by B. Beal), ,3-2, , 
9:59.0,B. Beal makes free throw 1 of 2,+1,4-2, , 
9:59.0,B. Beal makes free throw 2 of 2,+1,5-2, , 
9:45.0, , ,5-4,+2,Z. LaVine makes 2-pt layup from 2 ft (assist by L. Kornet)
9:34.0,Shooting foul by L. Kornet (drawn by I. Mahinmi), ,5-4, , 
9:34.0,I. Mahinmi misses free throw 1 of 2, ,5-4, , 
9:34.0,Offensive rebound by Team, ,5-4, , 
9:34.0,I. Mahinmi makes free throw 2 of 2,+1,6-4, , 
9:11.0, , ,6-6,+2,L. Markkanen makes 2-pt dunk from 1 ft (assist by T. Satoranský)
8:55.0,T. Bryant makes 2-pt layup from 2 ft (assist by B. Beal),+2,8-6, , 
8:44.0, , ,8-6, ,L. Markkanen misses 3-pt jump shot from 26 ft
8:42.0,Defensive rebound by G. Payton, ,8-6, , 
8:37.0,B. Beal makes 3-pt jump shot from 25 ft (assist by G. Payton),+3,11-6, , 
8:25.0, , ,11-9,+3,L. Kornet makes 3-pt jump shot from 24 ft (assist by Z. LaVine)
8:11.0,B. Beal misses 2-pt jump shot from 8 ft, ,11-9, , 
8:06.0, , ,11-9, ,Defensive rebound by L. Kornet
7:56.0, , ,11-11,+2,L. Kornet makes 2-pt hook shot from 3 ft (assist by T. Satoranský)
7:30.0,I. Thomas makes 2-pt jump shot from 9 ft,+2,13-11, , 
7:23.0, , ,13-11, ,Z. LaVine misses 3-pt jump shot from 23 ft
7:19.0, , ,13-11, ,Offensive rebound by K. Dunn
7:18.0, , ,13-13,+2,Z. LaVine makes 2-pt dunk from 2 ft (assist by K. Dunn)
6:57.0,I. Thomas misses 2-pt jump shot from 8 ft, ,13-13, , 
6:55.0,Offensive rebound by T. Bryant, ,13-13, , 
6:46.0,B. Beal makes 2-pt layup from 1 ft,+2,15-13, , 
6:38.0, , ,15-13, ,T. Satoranský misses 3-pt jump shot from 25 ft
6:36.0,Defensive rebound by T. Bryant, ,15-13, , 
6:22.0,B. Beal makes 2-pt jump shot from 12 ft (assist by I. Thomas),+2,17-13, , 
6:06.0, , ,17-16,+3,L. Markkanen makes 3-pt jump shot from 26 ft (assist by Z. LaVine)
6:06.0,T. Brown enters the game for G. Payton, ,17-16, , 
6:06.0, , ,17-16, ,C. White enters the game for T. Satoranský
5:40.0,T. Bryant misses 2-pt jump shot from 16 ft, ,17-16, , 
5:40.0, , ,17-16, ,Defensive rebound by C. White
5:40.0, , ,17-16, ,Turnover by C. White (bad pass)
5:33.0,Personal foul by Z. LaVine (drawn by I. Mahinmi), ,17-16, , 
5:20.0,I. Thomas misses 2-pt layup from 3 ft (block by K. Dunn), ,17-16, , 
5:17.0, , ,17-16, ,Defensive rebound by Z. LaVine
5:13.0, , ,17-16, ,C. White misses 3-pt jump shot from 23 ft
5:11.0,Defensive rebound by Team, ,17-16, , 
5:11.0, , ,17-16, ,Loose ball foul by C. White (drawn by T. Brown)
5:04.0,B. Beal makes 2-pt layup from 1 ft,+2,19-16, , 
4:52.0, , ,19-16, ,Z. LaVine misses 2-pt layup from 2 ft (block by I. Mahinmi)
4:52.0,Defensive rebound by I. Mahinmi, ,19-16, , 
4:48.0,I. Thomas makes 3-pt jump shot from 26 ft (assist by B. Beal),+3,22-16, , 
4:46.0, , ,22-16, ,Chicago full timeout
4:46.0,D. Bertāns enters the game for B. Beal, ,22-16, , 
4:46.0,J. McRae enters the game for T. Bryant, ,22-16, , 
4:46.0, , ,22-16, ,T. Young enters the game for L. Markkanen
4:22.0, , ,22-18,+2,T. Young makes 2-pt layup from 3 ft
4:10.0,J. McRae misses 3-pt jump shot from 25 ft, ,22-18, , 
4:06.0, , ,22-18, ,Defensive rebound by C. White
3:58.0, , ,22-20,+2,Z. LaVine makes 2-pt dunk from 1 ft
3:42.0,Turnover by D. Bertāns (bad pass), ,22-20, , 
3:42.0,A. Pasečņiks enters the game for I. Mahinmi, ,22-20, , 
3:42.0,I. Smith enters the game for I. Thomas, ,22-20, , 
3:42.0, , ,22-20, ,R. Arcidiacono enters the game for K. Dunn
3:28.0, , ,22-20, ,Z. LaVine misses 3-pt jump shot from 25 ft
3:25.0, , ,22-20, ,Offensive rebound by T. Young
3:19.0, , ,22-20, ,R. Arcidiacono misses 3-pt jump shot from 25 ft
3:17.0,Defensive rebound by I. Smith, ,22-20, , 
3:11.0,J. McRae misses 3-pt jump shot from 25 ft, ,22-20, , 
3:06.0, , ,22-20, ,Defensive rebound by Z. LaVine
2:54.0, , ,22-22,+2,T. Young makes 2-pt hook shot from 8 ft
2:41.0,Turnover by D. Bertāns (bad pass; steal by L. Kornet), ,22-22, , 
2:36.0, , ,22-22, ,T. Young misses 2-pt layup from 1 ft
2:33.0, , ,22-22, ,Offensive rebound by T. Young
2:31.0, , ,22-22, ,C. White misses 3-pt jump shot from 23 ft
2:28.0,Defensive rebound by T. Brown, ,22-22, , 
2:21.0,A. Pasečņiks misses 2-pt hook shot from 3 ft, ,22-22, , 
2:19.0, , ,22-22, ,Defensive rebound by Z. LaVine
2:13.0, , ,22-24,+2,C. White makes 2-pt layup from 2 ft
2:07.0,J. McRae makes 2-pt layup from 1 ft (assist by I. Smith),+2,24-24, , 
1:55.0, , ,24-24, ,L. Kornet misses 3-pt jump shot from 23 ft
1:53.0,Defensive rebound by I. Smith, ,24-24, , 
1:36.0,D. Bertāns misses 2-pt jump shot from 7 ft, ,24-24, , 
1:33.0, , ,24-24, ,Defensive rebound by T. Young
1:19.0, , ,24-24, ,Turnover by T. Young (lost ball; steal by A. Pasečņiks)
1:16.0,J. McRae makes 2-pt layup from 1 ft (assist by I. Smith),+2,26-24, , 
0:59.0, , ,26-24, ,Personal foul by J. McRae (drawn by L. Kornet)
0:59.0, , ,26-24, ,C. Hutchison enters the game for L. Kornet
0:59.0, , ,26-24, ,L. Markkanen enters the game for Z. LaVine
0:48.0, , ,26-24, ,L. Markkanen misses 2-pt layup from 2 ft (block by I. Smith)
0:45.0,Defensive rebound by J. McRae, ,26-24, , 
0:42.0,J. McRae misses 2-pt layup from 2 ft, ,26-24, , 
0:39.0,Offensive rebound by A. Pasečņiks, ,26-24, , 
0:33.0,Turnover by A. Pasečņiks (lost ball; steal by T. Young), ,26-24, , 
0:21.0, , ,26-24, ,L. Markkanen misses 2-pt jump shot from 6 ft (block by A. Pasečņiks)
0:18.0,Defensive rebound by J. McRae, ,26-24, , 
0:00.0,J. McRae misses 2-pt jump shot from 22 ft, ,26-24, , 
0:00.0, , ,26-24, ,Defensive rebound by L. Markkanen
11:45.0, , ,26-26,+2,C. Hutchison makes 2-pt dunk from 2 ft (assist by L. Markkanen)
11:35.0,D. Bertāns misses 3-pt jump shot from 27 ft, ,26-26, , 
11:32.0, , ,26-26, ,Defensive rebound by R. Arcidiacono
11:10.0, , ,26-28,+2,C. Hutchison makes 2-pt layup from 2 ft (assist by C. White)
10:56.0,J. McRae makes 2-pt layup from 2 ft (assist by A. Pasečņiks),+2,28-28, , 
10:37.0, , ,28-28, ,Shooting foul by D. Bertāns (drawn by T. Young)
10:37.0, , ,28-28, ,T. Young misses free throw 1 of 2
10:37.0, , ,28-28, ,Offensive rebound by Team
10:37.0, , ,28-28, ,T. Young misses free throw 2 of 2
10:31.0,Defensive rebound by D. Bertāns, ,28-28, , 
10:23.0,Personal foul by L. Markkanen (drawn by A. Pasečņiks), ,28-28, , 
10:08.0,J. McRae misses 3-pt jump shot from 23 ft, ,28-28, , 
10:08.0,Offensive rebound by Team, ,28-28, , 
10:08.0,Turnover by Team (shot clock), ,28-28, , 
9:49.0, , ,28-28, ,Turnover by L. Markkanen (bad pass; steal by A. Pasečņiks)
9:44.0,Shooting foul by C. Hutchison (drawn by J. McRae), ,28-28, , 
9:44.0,J. McRae makes free throw 1 of 2,+1,29-28, , 
9:44.0,J. McRae makes free throw 2 of 2,+1,30-28, , 
9:29.0, , ,30-28, ,Turnover by L. Markkanen (bad pass; steal by A. Pasečņiks)
9:20.0,Shooting foul by R. Arcidiacono (drawn by I. Smith), ,30-28, , 
9:20.0,I. Smith makes free throw 1 of 2,+1,31-28, , 
9:20.0,I. Smith misses free throw 2 of 2, ,31-28, , 
9:16.0, , ,31-28, ,Defensive rebound by T. Young
9:03.0, , ,31-28, ,Turnover by T. Young (bad pass; steal by T. Brown)
8:56.0,A. Pasečņiks makes 2-pt layup from 2 ft (assist by D. Bertāns),+2,33-28, , 
8:52.0, , ,33-28, ,Chicago full timeout
8:52.0, , ,33-28, ,K. Dunn enters the game for R. Arcidiacono
8:52.0, , ,33-28, ,L. Kornet enters the game for L. Markkanen
