time,away_description,away_change,score,home_change,home_description
11:35.0, , ,0-0, ,J. Crowder misses 3-pt jump shot from 31 ft
11:32.0,Defensive rebound by S. Ibaka, ,0-0, , 
11:29.0,P. Beverley makes 3-pt jump shot from 28 ft,+3,3-0, , 
11:02.0, , ,3-3,+3,C. Paul makes 3-pt jump shot from 27 ft (assist by D. Booker)
10:43.0,K. Leonard misses 2-pt jump shot from 16 ft, ,3-3, , 
10:40.0, , ,3-3, ,Defensive rebound by C. Paul
10:24.0, , ,3-5,+2,D. Ayton makes 2-pt layup from 2 ft (assist by J. Crowder)
10:08.0,P. George makes 2-pt jump shot from 18 ft (assist by K. Leonard),+2,5-5, , 
9:54.0, , ,5-5, ,Turnover by C. Paul (traveling)
9:44.0,Personal foul by C. Paul (drawn by K. Leonard), ,5-5, , 
9:31.0,N. Batum misses 3-pt jump shot from 26 ft, ,5-5, , 
9:28.0, , ,5-5, ,Defensive rebound by C. Paul
9:17.0, , ,5-5, ,Turnover by M. Bridges (bad pass)
9:05.0,N. Batum makes 3-pt jump shot from 23 ft (assist by K. Leonard),+3,8-5, , 
8:52.0, , ,8-5, ,D. Ayton misses 2-pt jump shot from 17 ft
8:50.0,Defensive rebound by P. George, ,8-5, , 
8:46.0,Shooting foul by M. Bridges (drawn by P. George), ,8-5, , 
8:46.0,P. George makes free throw 1 of 2,+1,9-5, , 
8:46.0,P. George makes free throw 2 of 2,+1,10-5, , 
8:34.0, , ,10-7,+2,C. Paul makes 2-pt jump shot from 21 ft
8:15.0,Turnover by P. George (lost ball; steal by D. Ayton), ,10-7, , 
8:08.0, , ,10-7, ,C. Paul misses 2-pt jump shot from 11 ft
8:04.0,Defensive rebound by S. Ibaka, ,10-7, , 
8:02.0,P. George misses 3-pt jump shot from 27 ft, ,10-7, , 
7:58.0, , ,10-7, ,Defensive rebound by C. Paul
7:43.0, , ,10-7, ,D. Ayton misses 2-pt jump shot from 14 ft
7:40.0,Defensive rebound by P. Beverley, ,10-7, , 
7:32.0,P. George makes 3-pt jump shot from 26 ft (assist by N. Batum),+3,13-7, , 
7:19.0, , ,13-7, ,M. Bridges misses 3-pt jump shot from 26 ft
7:16.0,Defensive rebound by K. Leonard, ,13-7, , 
7:06.0,N. Batum makes 3-pt jump shot from 26 ft (assist by P. George),+3,16-7, , 
