time,away_description,away_change,score,home_change,home_description
11:45.0,Turnover by D. Russell (bad pass; steal by N. Jokić), ,0-0, , 
11:42.0, , ,0-0, ,Shooting foul by M. Beasley (drawn by G. Harris)
11:42.0, , ,0-1,+1,G. Harris makes free throw 1 of 2
11:42.0, , ,0-2,+1,G. Harris makes free throw 2 of 2
11:29.0,D. Russell misses 2-pt jump shot from 14 ft, ,0-2, , 
11:26.0, , ,0-2, ,Defensive rebound by P. Millsap
11:19.0, , ,0-4,+2,P. Millsap makes 2-pt layup from 4 ft
11:04.0,M. Beasley misses 3-pt jump shot from 22 ft, ,0-4, , 
11:01.0,Offensive rebound by E. Davis, ,0-4, , 
10:48.0,E. Davis misses 2-pt layup from 3 ft, ,0-4, , 
10:46.0, , ,0-4, ,Defensive rebound by N. Jokić
10:39.0, , ,0-4, ,P. Millsap misses 2-pt layup from 4 ft
10:37.0,Defensive rebound by J. Hernangómez, ,0-4, , 
10:29.0,J. Culver makes 2-pt jump shot from 5 ft (assist by D. Russell),+2,2-4, , 
10:08.0, , ,2-6,+2,P. Millsap makes 2-pt jump shot from 10 ft
9:51.0,J. Hernangómez makes 3-pt jump shot from 22 ft (assist by D. Russell),+3,5-6, , 
9:31.0, , ,5-6, ,Shooting foul by E. Davis (drawn by J. Murray)
9:31.0, , ,5-7,+1,J. Murray makes free throw 1 of 2
9:31.0, , ,5-8,+1,J. Murray makes free throw 2 of 2
9:22.0,J. Hernangómez misses 2-pt jump shot from 4 ft, ,5-8, , 
9:20.0, , ,5-8, ,Defensive rebound by N. Jokić
9:13.0, , ,5-10,+2,G. Harris makes 2-pt jump shot from 5 ft (assist by N. Jokić)
9:05.0,J. Hernangómez makes 3-pt jump shot from 25 ft (assist by M. Beasley),+3,8-10, , 
8:46.0, , ,8-10, ,Shooting foul by J. Culver (drawn by J. Murray)
8:46.0, , ,8-11,+1,J. Murray makes free throw 1 of 2
8:46.0, , ,8-12,+1,J. Murray makes free throw 2 of 2
8:35.0,M. Beasley makes 2-pt jump shot from 16 ft (assist by D. Russell),+2,10-12, , 
8:13.0, , ,10-15,+3,J. Murray makes 3-pt jump shot from 26 ft (assist by W. Barton)
8:03.0,Personal foul by P. Millsap (drawn by J. Hernangómez), ,10-15, , 
7:56.0,Turnover by J. Culver (out of bounds lost ball), ,10-15, , 
7:42.0, , ,10-17,+2,J. Murray makes 2-pt jump shot from 9 ft
7:32.0,Turnover by M. Beasley (lost ball; steal by W. Barton), ,10-17, , 
7:29.0, , ,10-19,+2,W. Barton makes 2-pt dunk at rim
7:29.0,Minnesota full timeout, ,10-19, , 
7:07.0,D. Russell misses 2-pt jump shot from 11 ft, ,10-19, , 
7:00.0,Offensive rebound by J. Culver, ,10-19, , 
6:56.0,J. Culver misses 2-pt layup from 3 ft, ,10-19, , 
6:56.0, , ,10-19, ,Defensive rebound by Team
6:41.0, , ,10-19, ,G. Harris misses 2-pt jump shot from 7 ft
6:39.0, , ,10-19, ,Offensive rebound by N. Jokić
6:39.0, , ,10-19, ,N. Jokić misses 2-pt layup from 3 ft
6:36.0,Defensive rebound by J. Culver, ,10-19, , 
6:36.0,Personal foul by N. Jokić (drawn by J. Culver), ,10-19, , 
6:36.0,N. Reid enters the game for E. Davis, ,10-19, , 
6:27.0,D. Russell misses 2-pt jump shot from 19 ft, ,10-19, , 
6:25.0, , ,10-19, ,Defensive rebound by N. Jokić
6:20.0, , ,10-19, ,Turnover by N. Jokić (bad pass; steal by D. Russell)
6:14.0,J. Hernangómez makes 2-pt dunk from 2 ft (assist by M. Beasley),+2,12-19, , 
6:07.0, , ,12-19, ,Personal foul by N. Reid (drawn by N. Jokić)
6:01.0, , ,12-21,+2,N. Jokić makes 2-pt jump shot from 12 ft (assist by G. Harris)
5:49.0,J. Hernangómez misses 3-pt jump shot from 25 ft, ,12-21, , 
5:46.0, , ,12-21, ,Defensive rebound by W. Barton
5:37.0, , ,12-23,+2,P. Millsap makes 2-pt layup from 3 ft (assist by W. Barton)
5:24.0,Shooting foul by J. Murray (drawn by D. Russell), ,12-23, , 
5:24.0,D. Russell misses free throw 1 of 2, ,12-23, , 
5:24.0,Offensive rebound by Team, ,12-23, , 
5:24.0,A. Edwards enters the game for J. Culver, ,12-23, , 
5:24.0, , ,12-23, ,M. Morris enters the game for J. Murray
5:24.0,D. Russell makes free throw 2 of 2,+1,13-23, , 
5:04.0, , ,13-25,+2,N. Jokić makes 2-pt layup from 2 ft
4:50.0,Turnover by N. Reid (lost ball; steal by N. Jokić), ,13-25, , 
4:46.0, , ,13-25, ,G. Harris misses 2-pt layup from 3 ft
4:45.0, , ,13-25, ,Offensive rebound by Team
4:45.0,R. Rubio enters the game for D. Russell, ,13-25, , 
4:38.0, , ,13-28,+3,W. Barton makes 3-pt jump shot from 25 ft (assist by N. Jokić)
4:20.0,M. Beasley misses 3-pt jump shot from 25 ft, ,13-28, , 
4:19.0, , ,13-28, ,Defensive rebound by W. Barton
4:03.0, , ,13-28, ,Turnover by W. Barton (bad pass; steal by J. Hernangómez)
4:00.0,M. Beasley misses 2-pt layup from 3 ft, ,13-28, , 
3:55.0,Offensive rebound by J. Hernangómez, ,13-28, , 
3:55.0,J. Hernangómez makes 2-pt layup at rim,+2,15-28, , 
3:50.0, , ,15-28, ,Turnover by N. Jokić (out of bounds lost ball)
3:50.0,J. Layman enters the game for J. Hernangómez, ,15-28, , 
3:50.0, , ,15-28, ,J. Green enters the game for P. Millsap
3:36.0,J. Layman misses 3-pt jump shot from 23 ft, ,15-28, , 
3:33.0, , ,15-28, ,Defensive rebound by N. Jokić
3:29.0, , ,15-30,+2,J. Green makes 2-pt dunk from 1 ft (assist by N. Jokić)
3:18.0,A. Edwards misses 3-pt jump shot from 26 ft, ,15-30, , 
3:15.0, , ,15-30, ,Defensive rebound by W. Barton
3:13.0, , ,15-30, ,Personal foul by N. Reid (drawn by N. Jokić)
3:13.0, , ,15-31,+1,N. Jokić makes free throw 1 of 2
3:13.0,E. Davis enters the game for N. Reid, ,15-31, , 
3:13.0, , ,15-31, ,F. Campazzo enters the game for W. Barton
3:13.0, , ,15-31, ,P. Dozier enters the game for G. Harris
3:13.0, , ,15-31, ,N. Jokić misses free throw 2 of 2
3:12.0,Defensive rebound by E. Davis, ,15-31, , 
3:01.0,Personal foul by F. Campazzo (drawn by J. Layman), ,15-31, , 
2:52.0,M. Beasley makes 2-pt layup from 4 ft (assist by R. Rubio),+2,17-31, , 
