time,away_description,away_change,score,home_change,home_description
11:35.0, , ,0-2,+2,R. Holmes makes 2-pt jump shot from 9 ft (assist by M. Bagley)
11:16.0,F. VanVleet misses 2-pt jump shot from 9 ft, ,0-2, , 
11:12.0, , ,0-2, ,Defensive rebound by B. Hield
11:09.0, , ,0-5,+3,B. Hield makes 3-pt jump shot from 25 ft
10:57.0,O. Anunoby misses 3-pt jump shot from 26 ft, ,0-5, , 
10:55.0, , ,0-5, ,Defensive rebound by H. Barnes
10:54.0, , ,0-5, ,Shooting foul by F. VanVleet (drawn by M. Bagley)
10:54.0, , ,0-5, ,M. Bagley misses free throw 1 of 2
10:54.0, , ,0-5, ,Offensive rebound by Team
10:54.0, , ,0-6,+1,M. Bagley makes free throw 2 of 2
10:42.0,F. VanVleet misses 3-pt jump shot from 26 ft, ,0-6, , 
10:38.0, , ,0-6, ,Defensive rebound by M. Bagley
10:31.0, , ,0-8,+2,H. Barnes makes 2-pt layup from 6 ft (assist by D. Fox)
10:21.0,Shooting foul by M. Bagley (drawn by O. Anunoby), ,0-8, , 
10:21.0,O. Anunoby makes free throw 1 of 2,+1,1-8, , 
10:21.0,O. Anunoby makes free throw 2 of 2,+1,2-8, , 
10:01.0, , ,2-8, ,D. Fox misses 2-pt jump shot from 17 ft
9:58.0,Defensive rebound by O. Anunoby, ,2-8, , 
9:48.0,N. Powell makes 3-pt jump shot from 26 ft (assist by O. Anunoby),+3,5-8, , 
9:34.0, , ,5-10,+2,D. Fox makes 2-pt layup from 1 ft
9:23.0,O. Anunoby misses 3-pt jump shot from 23 ft, ,5-10, , 
9:20.0, , ,5-10, ,Defensive rebound by D. Fox
9:14.0, , ,5-12,+2,M. Bagley makes 2-pt hook shot from 5 ft (assist by D. Fox)
8:59.0,P. Siakam makes 2-pt layup from 2 ft,+2,7-12, , 
8:48.0, , ,7-14,+2,R. Holmes makes 2-pt dunk from 1 ft (assist by H. Barnes)
8:37.0,Turnover by F. VanVleet (lost ball; steal by R. Holmes), ,7-14, , 
8:33.0, , ,7-16,+2,D. Fox makes 2-pt layup from 1 ft (assist by H. Barnes)
8:32.0,Toronto full timeout, ,7-16, , 
8:12.0,P. Siakam misses 2-pt layup from 3 ft, ,7-16, , 
8:09.0, , ,7-16, ,Defensive rebound by M. Bagley
7:53.0, , ,7-18,+2,B. Hield makes 2-pt layup from 3 ft (assist by D. Fox)
7:46.0,Turnover by N. Powell (lost ball; steal by D. Fox), ,7-18, , 
7:41.0, , ,7-20,+2,D. Fox makes 2-pt layup at rim (assist by B. Hield)
7:18.0,Shooting foul by R. Holmes (drawn by O. Anunoby), ,7-20, , 
7:18.0,O. Anunoby misses free throw 1 of 2, ,7-20, , 
7:18.0,Offensive rebound by Team, ,7-20, , 
7:18.0,C. Boucher enters the game for A. Len, ,7-20, , 
7:18.0, , ,7-20, ,T. Haliburton enters the game for M. Bagley
7:18.0,O. Anunoby makes free throw 2 of 2,+1,8-20, , 
7:10.0, , ,8-22,+2,D. Fox makes 2-pt layup from 2 ft
7:03.0,F. VanVleet misses 2-pt layup from 3 ft (block by T. Haliburton), ,8-22, , 
7:03.0,Offensive rebound by Team, ,8-22, , 
6:49.0,F. VanVleet misses 2-pt jump shot from 10 ft, ,8-22, , 
6:45.0,Offensive rebound by C. Boucher, ,8-22, , 
6:44.0,C. Boucher misses 2-pt layup from 1 ft, ,8-22, , 
6:44.0,Offensive rebound by F. VanVleet, ,8-22, , 
6:44.0,F. VanVleet makes 2-pt layup at rim,+2,10-22, , 
6:34.0, , ,10-22, ,Shooting foul by C. Boucher (drawn by D. Fox)
6:34.0, , ,10-23,+1,D. Fox makes free throw 1 of 2
6:34.0, , ,10-24,+1,D. Fox makes free throw 2 of 2
6:26.0,C. Boucher makes 2-pt layup from 2 ft (assist by P. Siakam),+2,12-24, , 
6:16.0, , ,12-24, ,H. Barnes misses 2-pt layup from 3 ft (block by C. Boucher)
6:16.0, , ,12-24, ,Offensive rebound by Team
6:16.0, , ,12-24, ,C. Joseph enters the game for D. Fox
6:09.0, , ,12-27,+3,T. Haliburton makes 3-pt jump shot from 23 ft (assist by C. Joseph)
5:52.0,Shooting foul by B. Hield (drawn by N. Powell), ,12-27, , 
5:52.0,N. Powell makes free throw 1 of 2,+1,13-27, , 
5:52.0,N. Powell makes free throw 2 of 2,+1,14-27, , 
5:33.0, , ,14-29,+2,R. Holmes makes 2-pt jump shot from 8 ft (assist by T. Haliburton)
5:22.0,F. VanVleet misses 2-pt layup from 2 ft (block by R. Holmes), ,14-29, , 
5:17.0,Offensive rebound by P. Siakam, ,14-29, , 
5:11.0,N. Powell makes 3-pt jump shot from 25 ft (assist by P. Siakam),+3,17-29, , 
5:02.0, , ,17-29, ,Turnover by B. Hield (lost ball; steal by O. Anunoby)
4:49.0,Turnover by O. Anunoby (traveling), ,17-29, , 
4:35.0, , ,17-32,+3,C. Joseph makes 3-pt jump shot from 25 ft (assist by T. Haliburton)
4:25.0,C. Boucher misses 3-pt jump shot from 26 ft, ,17-32, , 
4:21.0, , ,17-32, ,Defensive rebound by C. Joseph
4:10.0, , ,17-35,+3,H. Barnes makes 3-pt jump shot from 23 ft (assist by C. Joseph)
4:00.0,O. Anunoby makes 2-pt dunk from 2 ft (assist by F. VanVleet),+2,19-35, , 
4:00.0, , ,19-35, ,Sacramento full timeout
4:00.0,T. Davis enters the game for O. Anunoby, ,19-35, , 
4:00.0,Y. Watanabe enters the game for N. Powell, ,19-35, , 
4:00.0, , ,19-35, ,M. Bagley enters the game for H. Barnes
4:00.0, , ,19-35, ,N. Bjelica enters the game for R. Holmes
3:44.0, , ,19-37,+2,M. Bagley makes 2-pt dunk from 2 ft (assist by T. Haliburton)
3:30.0,F. VanVleet makes 2-pt jump shot from 18 ft (assist by P. Siakam),+2,21-37, , 
3:09.0, , ,21-40,+3,B. Hield makes 3-pt jump shot from 25 ft (assist by T. Haliburton)
2:58.0,F. VanVleet makes 3-pt jump shot from 25 ft,+3,24-40, , 
2:37.0, , ,24-40, ,B. Hield misses 3-pt jump shot from 25 ft
2:34.0, , ,24-40, ,Offensive rebound by M. Bagley
2:27.0, , ,24-40, ,M. Bagley misses 3-pt jump shot from 25 ft
2:24.0,Defensive rebound by Y. Watanabe, ,24-40, , 
2:19.0,C. Boucher makes 2-pt layup from 3 ft (assist by T. Davis),+2,26-40, , 
2:00.0, , ,26-40, ,Turnover by N. Bjelica (lost ball; steal by P. Siakam)
1:56.0,F. VanVleet makes 2-pt layup from 1 ft (assist by C. Boucher),+2,28-40, , 
1:56.0, , ,28-40, ,Sacramento full timeout
1:56.0,O. Anunoby enters the game for P. Siakam, ,28-40, , 
1:56.0, , ,28-40, ,D. Fox enters the game for B. Hield
1:34.0, , ,28-40, ,Turnover by D. Fox (bad pass; steal by O. Anunoby)
1:29.0,Offensive foul by O. Anunoby (drawn by C. Joseph), ,28-40, , 
1:29.0,Turnover by O. Anunoby (offensive foul), ,28-40, , 
1:20.0,Instant Replay (Request: Ruling Stands), ,28-40, , 
1:20.0, , ,28-40, ,Turnover by T. Haliburton (step out of bounds)
1:10.0,C. Boucher makes 3-pt jump shot from 26 ft (assist by F. VanVleet),+3,31-40, , 
0:54.0, , ,31-43,+3,T. Haliburton makes 3-pt jump shot from 25 ft
0:30.0,O. Anunoby misses 3-pt jump shot from 26 ft, ,31-43, , 
0:26.0,Offensive rebound by C. Boucher, ,31-43, , 
0:25.0,C. Boucher makes 2-pt dunk from 1 ft,+2,33-43, , 
