time,away_description,away_change,score,home_change,home_description
11:40.0, , ,0-0, ,S. Curry misses 2-pt jump shot from 14 ft
11:38.0, , ,0-0, ,Offensive rebound by K. Looney
11:33.0, , ,0-0, ,A. Wiggins misses 3-pt jump shot from 27 ft
11:31.0,Defensive rebound by M. Beasley, ,0-0, , 
11:20.0,R. Rubio misses 2-pt layup from 5 ft, ,0-0, , 
11:18.0, , ,0-0, ,Defensive rebound by K. Oubre
11:09.0, , ,0-0, ,Offensive foul by K. Oubre (drawn by R. Rubio)
11:09.0, , ,0-0, ,Turnover by K. Oubre (offensive foul)
11:03.0,Personal foul by D. Green (drawn by J. Vanderbilt), ,0-0, , 
10:57.0,N. Reid makes 2-pt layup from 6 ft (assist by R. Rubio),+2,2-0, , 
10:42.0, , ,2-0, ,Offensive foul by K. Oubre (drawn by N. Reid)
10:42.0, , ,2-0, ,Turnover by K. Oubre (offensive foul)
10:42.0, , ,2-0, ,K. Bazemore enters the game for K. Oubre
10:32.0,J. Vanderbilt misses 2-pt layup from 5 ft (block by K. Bazemore), ,2-0, , 
10:30.0,Offensive rebound by Team, ,2-0, , 
10:30.0, , ,2-0, ,Violation by Team (delay of game)
10:24.0,Turnover by N. Reid (lost ball; steal by A. Wiggins), ,2-0, , 
10:05.0, , ,2-0, ,A. Wiggins misses 3-pt jump shot from 26 ft
10:03.0, , ,2-0, ,Offensive rebound by K. Looney
9:59.0, , ,2-0, ,K. Bazemore misses 2-pt jump shot from 5 ft
9:57.0,Defensive rebound by N. Reid, ,2-0, , 
9:46.0,R. Rubio misses 3-pt jump shot from 25 ft, ,2-0, , 
9:43.0, , ,2-0, ,Defensive rebound by K. Bazemore
9:33.0, , ,2-0, ,A. Wiggins misses 2-pt jump shot from 9 ft
9:30.0, , ,2-0, ,Offensive rebound by K. Looney
9:29.0, , ,2-3,+3,K. Bazemore makes 3-pt jump shot from 26 ft (assist by K. Looney)
9:08.0,J. Okogie misses 2-pt jump shot from 20 ft, ,2-3, , 
9:05.0, , ,2-3, ,Defensive rebound by K. Bazemore
8:56.0, , ,2-3, ,Personal foul by J. Vanderbilt (drawn by D. Green)
8:52.0, , ,2-3, ,S. Curry misses 2-pt layup from 4 ft (block by N. Reid)
8:50.0, , ,2-3, ,Offensive rebound by Team
8:47.0, , ,2-3, ,D. Green misses 2-pt jump shot from 11 ft
8:45.0,Defensive rebound by M. Beasley, ,2-3, , 
