time,away_description,away_change,score,home_change,home_description
11:47.0, , ,0-0, ,B. Ingram misses 2-pt jump shot from 13 ft (block by K. Okpala)
11:44.0, , ,0-0, ,Offensive rebound by B. Ingram
11:39.0, , ,0-0, ,L. Ball misses 3-pt jump shot from 24 ft
11:36.0,Defensive rebound by K. Nunn, ,0-0, , 
11:15.0,J. Butler misses 2-pt layup from 2 ft, ,0-0, , 
11:13.0, , ,0-0, ,Defensive rebound by S. Adams
10:57.0, , ,0-2,+2,L. Ball makes 2-pt layup from 2 ft (assist by S. Adams)
10:42.0,K. Olynyk makes 3-pt jump shot from 25 ft (assist by J. Butler),+3,3-2, , 
10:31.0, , ,3-2, ,Personal foul by K. Okpala (drawn by B. Ingram)
10:21.0, , ,3-4,+2,S. Adams makes 2-pt hook shot from 2 ft (assist by E. Bledsoe)
10:10.0,K. Olynyk makes 3-pt jump shot from 27 ft (assist by D. Robinson),+3,6-4, , 
9:57.0, , ,6-4, ,Turnover by L. Ball (bad pass)
9:34.0,K. Olynyk makes 2-pt jump shot from 13 ft (assist by J. Butler),+2,8-4, , 
9:17.0, , ,8-4, ,Turnover by B. Ingram (bad pass)
9:06.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by K. Olynyk),+3,11-4, , 
8:55.0, , ,11-7,+3,B. Ingram makes 3-pt jump shot from 27 ft (assist by E. Bledsoe)
8:41.0,K. Olynyk makes 2-pt layup from 2 ft (assist by J. Butler),+2,13-7, , 
8:34.0, , ,13-7, ,L. Ball misses 3-pt jump shot from 25 ft
8:30.0,Defensive rebound by K. Okpala, ,13-7, , 
8:12.0,D. Robinson misses 3-pt jump shot from 25 ft, ,13-7, , 
8:07.0, , ,13-7, ,Defensive rebound by E. Bledsoe
7:56.0, , ,13-7, ,E. Bledsoe misses 3-pt jump shot from 24 ft
7:52.0,Defensive rebound by D. Robinson, ,13-7, , 
7:33.0,Shooting foul by S. Adams (drawn by K. Nunn), ,13-7, , 
7:33.0,K. Nunn makes free throw 1 of 2,+1,14-7, , 
7:33.0,K. Nunn makes free throw 2 of 2,+1,15-7, , 
7:24.0, , ,15-9,+2,S. Adams makes 2-pt layup from 2 ft (assist by B. Ingram)
7:09.0,Turnover by J. Butler (bad pass; steal by B. Ingram), ,15-9, , 
7:01.0, , ,15-9, ,J. Hart misses 3-pt jump shot from 23 ft
6:56.0, , ,15-9, ,Offensive rebound by S. Adams
6:54.0, , ,15-9, ,L. Ball misses 3-pt jump shot from 26 ft
6:50.0, , ,15-9, ,Offensive rebound by J. Hart
6:48.0, , ,15-9, ,Turnover by L. Ball (lost ball; steal by J. Butler)
6:43.0,J. Butler makes 2-pt layup from 2 ft,+2,17-9, , 
