time,away_description,away_change,score,home_change,home_description
11:47.0,R. Holmes misses 2-pt jump shot from 9 ft, ,0-0, , 
11:41.0, , ,0-0, ,Defensive rebound by K. Towns
11:38.0, , ,0-2,+2,R. Rubio makes 2-pt layup from 1 ft
11:21.0,B. Hield misses 3-pt jump shot from 23 ft, ,0-2, , 
11:18.0, , ,0-2, ,Defensive rebound by A. Edwards
11:03.0, , ,0-2, ,R. Rubio misses 3-pt jump shot from 25 ft
11:00.0,Defensive rebound by D. Fox, ,0-2, , 
10:48.0,B. Hield misses 3-pt jump shot from 25 ft, ,0-2, , 
10:45.0, , ,0-2, ,Defensive rebound by A. Edwards
10:40.0, , ,0-2, ,Turnover by A. Edwards (lost ball; steal by B. Hield)
10:36.0,B. Hield misses 3-pt jump shot from 25 ft, ,0-2, , 
10:32.0,Offensive rebound by H. Barnes, ,0-2, , 
10:31.0,H. Barnes makes 2-pt layup from 1 ft,+2,2-2, , 
10:11.0, , ,2-2, ,K. Towns misses 2-pt jump shot from 10 ft
10:08.0,Defensive rebound by D. Fox, ,2-2, , 
10:06.0,T. Haliburton makes 2-pt layup from 2 ft (assist by D. Fox),+2,4-2, , 
9:52.0, , ,4-4,+2,J. McDaniels makes 2-pt layup at rim (assist by K. Towns)
9:35.0,Turnover by D. Fox (bad pass), ,4-4, , 
9:13.0, , ,4-6,+2,K. Towns makes 2-pt layup from 1 ft
9:01.0,R. Holmes makes 2-pt jump shot from 12 ft (assist by T. Haliburton),+2,6-6, , 
8:56.0, , ,6-6, ,Shooting foul by B. Hield (drawn by J. Okogie)
8:56.0, , ,6-7,+1,J. Okogie makes free throw 1 of 2
8:56.0, , ,6-8,+1,J. Okogie makes free throw 2 of 2
8:47.0,H. Barnes makes 2-pt dunk at rim (assist by D. Fox),+2,8-8, , 
8:37.0, , ,8-11,+3,A. Edwards makes 3-pt jump shot from 25 ft
8:25.0,B. Hield misses 3-pt jump shot from 25 ft, ,8-11, , 
8:23.0, , ,8-11, ,Defensive rebound by K. Towns
8:11.0, , ,8-11, ,Turnover by A. Edwards (bad pass)
8:03.0,Personal foul by J. McDaniels (drawn by R. Holmes), ,8-11, , 
7:56.0,Shooting foul by J. Okogie (drawn by D. Fox), ,8-11, , 
7:56.0,D. Fox makes free throw 1 of 2,+1,9-11, , 
7:56.0,D. Fox makes free throw 2 of 2,+1,10-11, , 
7:45.0, , ,10-13,+2,K. Towns makes 2-pt jump shot from 15 ft (assist by R. Rubio)
7:34.0,D. Fox misses 2-pt jump shot from 16 ft, ,10-13, , 
7:30.0,Offensive rebound by R. Holmes, ,10-13, , 
7:28.0,B. Hield makes 3-pt jump shot from 25 ft (assist by R. Holmes),+3,13-13, , 
7:15.0, , ,13-13, ,K. Towns misses 2-pt layup from 4 ft (block by R. Holmes)
7:15.0, , ,13-13, ,Offensive rebound by Team
7:10.0, , ,13-13, ,Turnover by A. Edwards (bad pass; steal by T. Haliburton)
7:07.0,R. Holmes makes 2-pt dunk at rim (assist by T. Haliburton),+2,15-13, , 
6:56.0, , ,15-13, ,K. Towns misses 3-pt jump shot from 25 ft
6:52.0,Defensive rebound by H. Barnes, ,15-13, , 
6:43.0,H. Barnes makes 2-pt layup from 2 ft (assist by R. Holmes),+2,17-13, , 
6:43.0,Shooting foul by J. Okogie (drawn by H. Barnes), ,17-13, , 
6:43.0, , ,17-13, ,Minnesota full timeout
6:43.0, , ,17-13, ,D. Russell enters the game for J. Okogie
6:43.0,H. Barnes makes free throw 1 of 1,+1,18-13, , 
6:27.0, , ,18-16,+3,A. Edwards makes 3-pt jump shot from 24 ft (assist by D. Russell)
6:06.0,B. Hield makes 3-pt jump shot from 23 ft (assist by H. Barnes),+3,21-16, , 
5:56.0, , ,21-16, ,D. Russell misses 2-pt layup from 4 ft (block by R. Holmes)
5:52.0, , ,21-16, ,Offensive rebound by K. Towns
5:51.0, , ,21-18,+2,K. Towns makes 2-pt jump shot from 1 ft
5:40.0,D. Fox misses 2-pt jump shot from 14 ft, ,21-18, , 
5:37.0, , ,21-18, ,Defensive rebound by K. Towns
5:25.0, , ,21-18, ,A. Edwards misses 3-pt jump shot from 25 ft
5:22.0, , ,21-18, ,Offensive rebound by K. Towns
5:19.0, , ,21-18, ,A. Edwards misses 2-pt layup from 1 ft (block by R. Holmes)
5:16.0, , ,21-18, ,Offensive rebound by J. McDaniels
5:14.0, , ,21-18, ,R. Rubio misses 3-pt jump shot from 25 ft
5:12.0,Defensive rebound by B. Hield, ,21-18, , 
5:01.0,R. Holmes misses 2-pt jump shot from 13 ft, ,21-18, , 
4:58.0, , ,21-18, ,Defensive rebound by J. McDaniels
4:53.0, , ,21-18, ,Shooting foul by D. Fox (drawn by R. Rubio)
4:53.0, , ,21-19,+1,R. Rubio makes free throw 1 of 2
4:53.0,D. Wright enters the game for T. Haliburton, ,21-19, , 
4:53.0, , ,21-20,+1,R. Rubio makes free throw 2 of 2
4:40.0,Shooting foul by A. Edwards (drawn by H. Barnes), ,21-20, , 
4:40.0,H. Barnes makes free throw 1 of 2,+1,22-20, , 
4:40.0, , ,22-20, ,J. McLaughlin enters the game for R. Rubio
4:40.0,H. Barnes misses free throw 2 of 2, ,22-20, , 
4:38.0, , ,22-20, ,Defensive rebound by K. Towns
4:29.0, , ,22-22,+2,J. McDaniels makes 2-pt layup from 1 ft (assist by A. Edwards)
4:10.0,H. Barnes makes 2-pt dunk from 1 ft (assist by D. Wright),+2,24-22, , 
3:56.0, , ,24-22, ,J. McDaniels misses 2-pt jump shot from 17 ft
3:54.0, , ,24-22, ,Offensive rebound by J. McDaniels
3:54.0, , ,24-22, ,Turnover by J. McDaniels (bad pass)
3:54.0, , ,24-22, ,J. Culver enters the game for A. Edwards
3:32.0,D. Fox makes 3-pt jump shot from 25 ft (assist by B. Hield),+3,27-22, , 
3:17.0, , ,27-22, ,D. Russell misses 2-pt jump shot from 16 ft
3:15.0,Defensive rebound by H. Barnes, ,27-22, , 
3:04.0,H. Barnes misses 2-pt jump shot from 6 ft, ,27-22, , 
3:01.0, , ,27-22, ,Defensive rebound by D. Russell
2:58.0, , ,27-22, ,Turnover by D. Russell (bad pass; steal by B. Hield)
2:51.0,B. Hield misses 3-pt jump shot from 25 ft, ,27-22, , 
2:47.0, , ,27-22, ,Defensive rebound by J. McDaniels
2:36.0, , ,27-22, ,J. McDaniels misses 2-pt jump shot from 5 ft
2:36.0, , ,27-22, ,Offensive rebound by Team
2:36.0,Sacramento full timeout, ,27-22, , 
2:36.0,T. Davis enters the game for D. Fox, ,27-22, , 
2:36.0,T. Haliburton enters the game for B. Hield, ,27-22, , 
2:36.0, , ,27-22, ,J. Hernangómez enters the game for J. McDaniels
2:19.0, , ,27-22, ,Turnover by D. Russell (bad pass; steal by R. Holmes)
