time,away_description,away_change,score,home_change,home_description
11:56.0, , ,0-0, ,Turnover by T. Thompson (back court)
11:47.0,D. Theis misses 2-pt jump shot from 5 ft, ,0-0, , 
11:44.0, , ,0-0, ,Defensive rebound by S. Ojeleye
11:28.0, , ,0-2,+2,T. Thompson makes 2-pt hook shot from 9 ft
11:08.0,G. Temple misses 2-pt jump shot from 18 ft, ,0-2, , 
11:05.0, , ,0-2, ,Defensive rebound by J. Tatum
10:57.0, , ,0-4,+2,J. Brown makes 2-pt jump shot from 14 ft
10:37.0,D. Theis misses 2-pt jump shot from 16 ft, ,0-4, , 
10:33.0, , ,0-4, ,Defensive rebound by T. Thompson
10:29.0, , ,0-6,+2,J. Brown makes 2-pt layup from 4 ft (assist by J. Tatum)
10:19.0,C. White misses 3-pt jump shot from 27 ft, ,0-6, , 
10:16.0, , ,0-6, ,Defensive rebound by J. Tatum
9:55.0, , ,0-9,+3,S. Ojeleye makes 3-pt jump shot from 24 ft (assist by J. Tatum)
9:37.0,N. Vučević misses 2-pt jump shot from 15 ft, ,0-9, , 
9:34.0, , ,0-9, ,Defensive rebound by J. Tatum
9:26.0, , ,0-9, ,J. Tatum misses 2-pt layup from 2 ft
9:23.0, , ,0-9, ,Offensive rebound by T. Thompson
9:20.0, , ,0-9, ,Turnover by S. Ojeleye (out of bounds lost ball)
9:07.0,N. Vučević makes 2-pt layup from 6 ft (assist by C. White),+2,2-9, , 
8:59.0, , ,2-11,+2,J. Brown makes 2-pt jump shot from 3 ft
8:46.0,C. White misses 2-pt jump shot from 16 ft, ,2-11, , 
8:43.0,Offensive rebound by D. Theis, ,2-11, , 
8:41.0,C. White makes 3-pt jump shot from 27 ft (assist by D. Theis),+3,5-11, , 
8:18.0, , ,5-13,+2,J. Brown makes 2-pt jump shot from 15 ft
7:57.0,D. Theis makes 2-pt dunk from 4 ft (assist by N. Vučević),+2,7-13, , 
7:44.0, , ,7-13, ,J. Tatum misses 2-pt jump shot from 14 ft
7:41.0,Defensive rebound by C. White, ,7-13, , 
7:28.0,N. Vučević makes 2-pt hook shot from 8 ft (assist by D. Theis),+2,9-13, , 
7:13.0, , ,9-13, ,S. Ojeleye misses 3-pt jump shot from 26 ft
7:09.0,Defensive rebound by D. Theis, ,9-13, , 
7:02.0,N. Vučević misses 2-pt hook shot from 9 ft, ,9-13, , 
6:59.0, , ,9-13, ,Defensive rebound by T. Thompson
6:50.0, , ,9-13, ,Turnover by P. Pritchard (bad pass; steal by D. Theis)
6:46.0,Turnover by P. Williams (lost ball; steal by J. Brown), ,9-13, , 
6:42.0, , ,9-16,+3,S. Ojeleye makes 3-pt jump shot from 24 ft (assist by J. Tatum)
6:25.0,N. Vučević misses 3-pt jump shot from 27 ft, ,9-16, , 
6:22.0, , ,9-16, ,Defensive rebound by S. Ojeleye
6:17.0, , ,9-16, ,Boston full timeout
6:03.0, , ,9-16, ,T. Thompson misses 2-pt hook shot from 5 ft (block by D. Theis)
5:59.0,Defensive rebound by C. White, ,9-16, , 
5:49.0,N. Vučević makes 3-pt jump shot from 27 ft (assist by C. White),+3,12-16, , 
5:28.0, , ,12-16, ,J. Tatum misses 2-pt jump shot from 7 ft
5:23.0,Defensive rebound by D. Theis, ,12-16, , 
5:07.0,G. Temple makes 3-pt jump shot from 26 ft (assist by P. Williams),+3,15-16, , 
4:51.0, , ,15-16, ,Turnover by T. Thompson (bad pass; steal by P. Williams)
4:47.0,G. Temple misses 2-pt layup from 3 ft, ,15-16, , 
4:43.0, , ,15-16, ,Defensive rebound by J. Tatum
4:39.0, , ,15-19,+3,J. Brown makes 3-pt jump shot from 24 ft (assist by J. Tatum)
4:22.0,N. Vučević misses 3-pt jump shot from 27 ft, ,15-19, , 
4:18.0, , ,15-19, ,Defensive rebound by J. Brown
4:13.0, , ,15-21,+2,J. Brown makes 2-pt jump shot from 5 ft
3:59.0,N. Vučević makes 2-pt hook shot from 9 ft (assist by C. White),+2,17-21, , 
3:41.0, , ,17-23,+2,P. Pritchard makes 2-pt layup from 5 ft
3:21.0,D. Theis misses 3-pt jump shot from 27 ft, ,17-23, , 
3:20.0,Offensive rebound by Team, ,17-23, , 
3:20.0,Personal foul by S. Ojeleye (drawn by G. Temple), ,17-23, , 
3:20.0,T. Brown enters the game for G. Temple, ,17-23, , 
3:20.0,L. Markkanen enters the game for D. Theis, ,17-23, , 
3:20.0,T. Satoranský enters the game for N. Vučević, ,17-23, , 
3:20.0,D. Valentine enters the game for C. White, ,17-23, , 
3:20.0,T. Young enters the game for P. Williams, ,17-23, , 
3:20.0, , ,17-23, ,L. Kornet enters the game for S. Ojeleye
3:20.0, , ,17-23, ,R. Langford enters the game for J. Tatum
3:20.0, , ,17-23, ,G. Williams enters the game for T. Thompson
3:07.0,T. Young makes 2-pt jump shot from 20 ft,+2,19-23, , 
2:48.0, , ,19-25,+2,L. Kornet makes 2-pt layup from 6 ft (assist by R. Langford)
2:23.0,D. Valentine misses 2-pt jump shot from 15 ft, ,19-25, , 
2:20.0, , ,19-25, ,Defensive rebound by G. Williams
2:11.0, , ,19-28,+3,G. Williams makes 3-pt jump shot from 25 ft (assist by P. Pritchard)
1:44.0,L. Markkanen makes 3-pt jump shot from 27 ft (assist by T. Young),+3,22-28, , 
1:28.0, , ,22-30,+2,P. Pritchard makes 2-pt layup from 4 ft
1:11.0,T. Young makes 2-pt jump shot from 11 ft (assist by D. Valentine),+2,24-30, , 
1:01.0, , ,24-30, ,Turnover by J. Brown (lost ball; steal by T. Young)
0:57.0,T. Brown misses 3-pt jump shot from 23 ft, ,24-30, , 
0:53.0, , ,24-30, ,Defensive rebound by L. Kornet
0:35.0, , ,24-30, ,G. Williams misses 3-pt jump shot from 24 ft
0:31.0,Defensive rebound by T. Satoranský, ,24-30, , 
0:22.0,T. Young misses 2-pt hook shot from 10 ft, ,24-30, , 
0:19.0, , ,24-30, ,Defensive rebound by R. Langford
0:01.0, , ,24-30, ,Turnover by J. Brown (lost ball; steal by T. Satoranský)
0:01.0,T. Young misses 3-pt jump shot from 55 ft, ,24-30, , 
0:01.0,Offensive rebound by Team, ,24-30, , 
11:49.0,Personal foul by A. Nesmith (drawn by L. Markkanen), ,24-30, , 
11:41.0,T. Young misses 3-pt jump shot from 27 ft, ,24-30, , 
11:37.0, , ,24-30, ,Defensive rebound by R. Langford
11:26.0, , ,24-30, ,Turnover by R. Langford (bad pass; steal by T. Brown)
11:21.0,T. Satoranský makes 3-pt jump shot from 26 ft (assist by T. Young),+3,27-30, , 
10:54.0, , ,27-32,+2,R. Langford makes 2-pt layup from 2 ft
10:41.0,T. Satoranský misses 2-pt jump shot from 7 ft, ,27-32, , 
10:38.0, , ,27-32, ,Defensive rebound by A. Nesmith
10:25.0, , ,27-32, ,A. Nesmith misses 3-pt jump shot from 26 ft
