time,away_description,away_change,score,home_change,home_description
11:43.0, , ,0-3,+3,T. Rozier makes 3-pt jump shot from 23 ft (assist by P. Washington)
11:26.0,M. Wagner misses 3-pt jump shot from 24 ft, ,0-3, , 
11:21.0, , ,0-3, ,Defensive rebound by L. Ball
11:12.0, , ,0-3, ,T. Rozier misses 3-pt jump shot from 27 ft
11:09.0, , ,0-3, ,Offensive rebound by B. Biyombo
11:06.0, , ,0-6,+3,P. Washington makes 3-pt jump shot from 26 ft (assist by J. McDaniels)
10:43.0,G. Harris makes 2-pt layup from 1 ft,+2,2-6, , 
10:34.0, , ,2-6, ,P. Washington misses 3-pt jump shot from 26 ft
10:32.0,Defensive rebound by C. Anthony, ,2-6, , 
10:25.0,M. Bamba misses 2-pt layup from 2 ft, ,2-6, , 
10:22.0, , ,2-6, ,Defensive rebound by T. Rozier
10:18.0, , ,2-6, ,J. McDaniels misses 3-pt jump shot from 26 ft
10:15.0,Defensive rebound by M. Bamba, ,2-6, , 
10:10.0,D. Bacon makes 3-pt jump shot from 26 ft,+3,5-6, , 
9:56.0, , ,5-9,+3,P. Washington makes 3-pt jump shot from 25 ft (assist by T. Rozier)
9:36.0,C. Anthony makes 2-pt jump shot from 8 ft,+2,7-9, , 
9:26.0, , ,7-9, ,L. Ball misses 3-pt jump shot from 26 ft
9:23.0,Defensive rebound by M. Wagner, ,7-9, , 
9:04.0,D. Bacon misses 3-pt jump shot from 25 ft, ,7-9, , 
9:02.0, , ,7-9, ,Defensive rebound by L. Ball
8:53.0, , ,7-9, ,L. Ball misses 2-pt layup from 2 ft (block by M. Bamba)
8:49.0,Defensive rebound by M. Bamba, ,7-9, , 
8:45.0,M. Wagner misses 3-pt jump shot from 25 ft, ,7-9, , 
8:41.0, , ,7-9, ,Defensive rebound by J. McDaniels
8:36.0, , ,7-9, ,Turnover by T. Rozier (traveling)
8:21.0,G. Harris misses 2-pt layup from 1 ft, ,7-9, , 
8:19.0, , ,7-9, ,Defensive rebound by J. McDaniels
8:15.0, , ,7-9, ,Turnover by L. Ball (bad pass)
8:10.0,Turnover by C. Anthony (lost ball; steal by B. Biyombo), ,7-9, , 
8:07.0, , ,7-11,+2,T. Rozier makes 2-pt layup from 2 ft
8:07.0, , ,7-11, ,Shooting foul by M. Wagner (drawn by T. Rozier)
8:07.0,I. Brazdeikis enters the game for M. Wagner, ,7-11, , 
8:07.0, , ,7-12,+1,T. Rozier makes free throw 1 of 1
7:56.0,D. Bacon makes 2-pt layup from 2 ft (assist by M. Bamba),+2,9-12, , 
7:44.0, , ,9-14,+2,B. Biyombo makes 2-pt dunk from 1 ft (assist by T. Rozier)
7:31.0,C. Anthony misses 2-pt jump shot from 7 ft, ,9-14, , 
7:29.0,Offensive rebound by Team, ,9-14, , 
7:22.0,D. Bacon makes 3-pt jump shot from 25 ft,+3,12-14, , 
