time,away_description,away_change,score,home_change,home_description
11:39.0,D. Robinson makes 3-pt jump shot from 27 ft,+3,3-0, , 
11:25.0, , ,3-0, ,Turnover by D. DiVincenzo (bad pass; steal by J. Butler)
11:22.0,T. Ariza misses 2-pt layup from 2 ft, ,3-0, , 
11:22.0,Offensive rebound by Team, ,3-0, , 
11:19.0,B. Adebayo misses 2-pt jump shot from 13 ft, ,3-0, , 
11:16.0, , ,3-0, ,Defensive rebound by D. DiVincenzo
11:08.0, , ,3-0, ,J. Holiday misses 3-pt jump shot from 25 ft
11:05.0,Defensive rebound by K. Nunn, ,3-0, , 
10:59.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Butler),+3,6-0, , 
10:42.0, , ,6-2,+2,K. Middleton makes 2-pt layup from 1 ft
10:33.0,J. Butler misses 3-pt jump shot from 26 ft, ,6-2, , 
10:31.0, , ,6-2, ,Defensive rebound by D. DiVincenzo
10:24.0, , ,6-2, ,G. Antetokounmpo misses 2-pt layup from 10 ft (block by T. Ariza)
10:20.0,Defensive rebound by J. Butler, ,6-2, , 
10:14.0,Turnover by D. Robinson (lost ball; steal by G. Antetokounmpo), ,6-2, , 
10:03.0, , ,6-2, ,G. Antetokounmpo misses 2-pt layup from 5 ft
10:00.0,Defensive rebound by J. Butler, ,6-2, , 
9:57.0,Turnover by J. Butler (bad pass), ,6-2, , 
9:40.0, , ,6-2, ,Offensive foul by B. Lopez (drawn by T. Ariza)
9:40.0, , ,6-2, ,Turnover by B. Lopez (offensive foul)
9:28.0,D. Robinson makes 3-pt jump shot from 28 ft (assist by B. Adebayo),+3,9-2, , 
9:12.0, , ,9-2, ,Turnover by D. DiVincenzo (bad pass; steal by T. Ariza)
9:09.0,Turnover by K. Nunn (lost ball; steal by D. DiVincenzo), ,9-2, , 
9:08.0, , ,9-4,+2,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by D. DiVincenzo)
9:08.0, , ,9-4, ,Shooting foul by B. Adebayo (drawn by G. Antetokounmpo)
9:08.0, , ,9-4, ,G. Antetokounmpo misses free throw 1 of 1
