time,away_description,away_change,score,home_change,home_description
11:41.0,A. Edwards misses 3-pt jump shot from 25 ft, ,0-0, , 
11:38.0, , ,0-0, ,Defensive rebound by J. Nurkić
11:30.0, , ,0-0, ,N. Little misses 3-pt jump shot from 23 ft
11:26.0,Defensive rebound by P. Beverley, ,0-0, , 
11:21.0,Shooting foul by J. Nurkić (drawn by P. Beverley), ,0-0, , 
11:21.0,P. Beverley makes free throw 1 of 2,+1,1-0, , 
11:21.0,P. Beverley makes free throw 2 of 2,+1,2-0, , 
11:13.0, , ,2-0, ,Turnover by D. Lillard (bad pass; steal by J. Vanderbilt)
11:12.0,J. Vanderbilt makes 2-pt layup from 1 ft,+2,4-0, , 
11:12.0,Shooting foul by L. Nance (drawn by J. Vanderbilt), ,4-0, , 
11:12.0,J. Vanderbilt misses free throw 1 of 1, ,4-0, , 
11:07.0, , ,4-0, ,Defensive rebound by L. Nance
10:56.0, , ,4-0, ,Turnover by D. Lillard (out of bounds lost ball)
10:48.0,P. Beverley misses 2-pt jump shot from 22 ft, ,4-0, , 
10:45.0, , ,4-0, ,Defensive rebound by N. Little
10:26.0, , ,4-2,+2,N. Little makes 2-pt dunk from 1 ft (assist by J. Nurkić)
9:59.0,Personal foul by N. Powell (drawn by K. Towns), ,4-2, , 
9:53.0,D. Russell misses 3-pt jump shot from 25 ft, ,4-2, , 
9:51.0, , ,4-2, ,Defensive rebound by J. Nurkić
9:38.0, , ,4-2, ,J. Nurkić misses 2-pt hook shot from 5 ft
9:35.0,Defensive rebound by K. Towns, ,4-2, , 
9:30.0,D. Russell makes 2-pt layup from 1 ft,+2,6-2, , 
9:20.0, , ,6-4,+2,J. Nurkić makes 2-pt layup from 1 ft (assist by N. Powell)
9:07.0,J. Vanderbilt misses 2-pt layup from 3 ft, ,6-4, , 
9:04.0, , ,6-4, ,Defensive rebound by D. Lillard
9:01.0, , ,6-6,+2,N. Powell makes 2-pt layup from 2 ft (assist by D. Lillard)
8:40.0,D. Russell makes 3-pt jump shot from 23 ft (assist by K. Towns),+3,9-6, , 
8:21.0, , ,9-6, ,D. Lillard misses 3-pt jump shot from 26 ft
8:18.0,Defensive rebound by K. Towns, ,9-6, , 
8:03.0,Shooting foul by N. Little (drawn by J. Vanderbilt), ,9-6, , 
8:03.0,J. Vanderbilt makes free throw 1 of 2,+1,10-6, , 
8:03.0,J. Vanderbilt misses free throw 2 of 2, ,10-6, , 
8:01.0, , ,10-6, ,Defensive rebound by L. Nance
7:55.0, , ,10-8,+2,D. Lillard makes 2-pt layup at rim
7:44.0,Shooting foul by L. Nance (drawn by K. Towns), ,10-8, , 
7:44.0,K. Towns makes free throw 1 of 2,+1,11-8, , 
7:44.0, , ,11-8, ,R. Covington enters the game for L. Nance
7:44.0,K. Towns makes free throw 2 of 2,+1,12-8, , 
7:33.0, , ,12-8, ,Turnover by N. Powell (lost ball; steal by P. Beverley)
7:30.0,K. Towns makes 2-pt dunk at rim (assist by P. Beverley),+2,14-8, , 
7:30.0, , ,14-8, ,Portland full timeout
7:10.0, , ,14-10,+2,D. Lillard makes 2-pt jump shot from 19 ft
6:47.0,K. Towns makes 2-pt hook shot from 5 ft,+2,16-10, , 
6:41.0, , ,16-13,+3,N. Powell makes 3-pt jump shot from 25 ft (assist by R. Covington)
6:41.0,M. Beasley enters the game for D. Russell, ,16-13, , 
6:22.0,K. Towns makes 2-pt jump shot from 20 ft (assist by M. Beasley),+2,18-13, , 
6:22.0,Instant Replay (Request: Ruling Stands), ,18-13, , 
6:10.0, , ,18-13, ,Turnover by D. Lillard (out of bounds lost ball)
5:53.0,Turnover by K. Towns (bad pass; steal by J. Nurkić), ,18-13, , 
5:45.0, , ,18-13, ,Shooting foul by K. Towns (drawn by J. Nurkić)
5:45.0, , ,18-14,+1,J. Nurkić makes free throw 1 of 2
5:45.0,J. McDaniels enters the game for J. Vanderbilt, ,18-14, , 
5:45.0, , ,18-14, ,A. Simons enters the game for N. Little
5:45.0, , ,18-15,+1,J. Nurkić makes free throw 2 of 2
5:18.0,P. Beverley misses 2-pt jump shot from 8 ft, ,18-15, , 
5:17.0, , ,18-15, ,Defensive rebound by R. Covington
5:14.0, , ,18-15, ,Turnover by D. Lillard (bad pass; steal by A. Edwards)
5:12.0,Shooting foul by R. Covington (drawn by A. Edwards), ,18-15, , 
5:12.0,A. Edwards makes free throw 1 of 2,+1,19-15, , 
5:12.0,A. Edwards makes free throw 2 of 2,+1,20-15, , 
4:55.0, , ,20-18,+3,N. Powell makes 3-pt jump shot from 22 ft (assist by D. Lillard)
4:40.0,J. McDaniels misses 3-pt jump shot from 24 ft, ,20-18, , 
4:38.0, , ,20-18, ,Defensive rebound by D. Lillard
4:28.0, , ,20-20,+2,A. Simons makes 2-pt layup from 4 ft
4:14.0,A. Edwards makes 3-pt jump shot from 26 ft (assist by P. Beverley),+3,23-20, , 
3:59.0, , ,23-22,+2,J. Nurkić makes 2-pt dunk from 1 ft (assist by D. Lillard)
3:59.0,Minnesota full timeout, ,23-22, , 
3:59.0,L. Bolmaro enters the game for P. Beverley, ,23-22, , 
3:51.0,Turnover by A. Edwards (step out of bounds), ,23-22, , 
3:40.0, , ,23-22, ,D. Lillard misses 3-pt jump shot from 30 ft
3:37.0,Defensive rebound by J. McDaniels, ,23-22, , 
3:31.0,A. Edwards misses 2-pt layup from 2 ft, ,23-22, , 
3:28.0, , ,23-22, ,Defensive rebound by D. Lillard
3:28.0, , ,23-22, ,Personal take foul by L. Bolmaro (drawn by D. Lillard)
3:17.0, , ,23-25,+3,A. Simons makes 3-pt jump shot from 25 ft (assist by N. Powell)
2:58.0,J. McDaniels misses 3-pt jump shot from 23 ft, ,23-25, , 
2:57.0,Offensive rebound by K. Towns, ,23-25, , 
2:56.0,K. Towns makes 2-pt dunk at rim,+2,25-25, , 
2:56.0,Shooting foul by N. Powell (drawn by K. Towns), ,25-25, , 
2:56.0,D. Russell enters the game for A. Edwards, ,25-25, , 
2:56.0,K. Towns makes free throw 1 of 1,+1,26-25, , 
2:46.0, , ,26-25, ,Shooting foul by J. McDaniels (drawn by N. Powell)
2:46.0, , ,26-25, ,N. Powell misses free throw 1 of 2
2:46.0, , ,26-25, ,Offensive rebound by Team
2:46.0, , ,26-25, ,D. Smith enters the game for D. Lillard
2:46.0, , ,26-26,+1,N. Powell makes free throw 2 of 2
2:36.0,J. McDaniels makes 3-pt jump shot from 25 ft (assist by D. Russell),+3,29-26, , 
2:22.0, , ,29-26, ,R. Covington misses 3-pt jump shot from 26 ft
2:20.0,Defensive rebound by D. Russell, ,29-26, , 
2:13.0,M. Beasley misses 3-pt jump shot from 26 ft, ,29-26, , 
2:11.0, , ,29-26, ,Defensive rebound by J. Nurkić
2:00.0, , ,29-26, ,Turnover by N. Powell (bad pass)
1:38.0,L. Bolmaro misses 2-pt layup from 2 ft (block by J. Nurkić), ,29-26, , 
1:35.0, , ,29-26, ,Defensive rebound by J. Nurkić
1:16.0, , ,29-26, ,J. Nurkić misses 2-pt jump shot from 22 ft
1:13.0,Defensive rebound by K. Towns, ,29-26, , 
1:06.0,M. Beasley makes 3-pt jump shot from 23 ft (assist by L. Bolmaro),+3,32-26, , 
0:48.0, , ,32-26, ,A. Simons misses 2-pt jump shot from 17 ft
0:47.0,Defensive rebound by Team, ,32-26, , 
0:34.0,K. Towns misses 2-pt jump shot from 20 ft, ,32-26, , 
0:32.0, , ,32-26, ,Defensive rebound by R. Covington
0:12.0, , ,32-26, ,Turnover by R. Covington (bad pass)
0:03.0,Shooting foul by J. Nurkić (drawn by K. Towns), ,32-26, , 
0:03.0,K. Towns misses free throw 1 of 2, ,32-26, , 
0:03.0,Offensive rebound by Team, ,32-26, , 
0:03.0,K. Towns makes free throw 2 of 2,+1,33-26, , 
0:03.0,Violation by Team (kicked ball), ,33-26, , 
0:00.0, , ,33-26, ,A. Simons misses 3-pt jump shot from 45 ft
0:00.0, , ,33-26, ,Offensive rebound by Team
11:45.0, , ,33-26, ,Turnover by D. Smith (step out of bounds)
11:27.0,D. Russell misses 2-pt layup from 3 ft (block by R. Covington), ,33-26, , 
11:27.0,Offensive rebound by Team, ,33-26, , 
11:26.0,Offensive foul by N. Reid (drawn by L. Nance), ,33-26, , 
11:26.0,Turnover by N. Reid (offensive foul), ,33-26, , 
11:15.0, , ,33-26, ,R. Covington misses 3-pt jump shot from 25 ft
11:11.0,Defensive rebound by J. McDaniels, ,33-26, , 
11:04.0,N. Reid misses 2-pt layup at rim, ,33-26, , 
11:04.0, , ,33-26, ,B. McLemore enters the game for D. Smith
11:04.0,Offensive rebound by Team, ,33-26, , 
11:00.0,Personal foul by T. Snell (drawn by N. Reid), ,33-26, , 
10:56.0,Offensive foul by N. Reid (drawn by A. Simons), ,33-26, , 
10:56.0,Turnover by N. Reid (offensive foul), ,33-26, , 
10:37.0, , ,33-26, ,A. Simons misses 2-pt jump shot from 15 ft
10:35.0,Defensive rebound by M. Beasley, ,33-26, , 
10:32.0,Personal foul by A. Simons (drawn by D. Russell), ,33-26, , 
10:23.0,Turnover by D. Russell (bad pass; steal by R. Covington), ,33-26, , 
10:23.0, , ,33-26, ,Personal take foul by D. Russell (drawn by B. McLemore)
10:15.0, , ,33-29,+3,B. McLemore makes 3-pt jump shot from 26 ft (assist by L. Nance)
9:49.0,Turnover by J. Vanderbilt (bad pass; steal by B. McLemore), ,33-29, , 
9:43.0, , ,33-32,+3,A. Simons makes 3-pt jump shot from 25 ft (assist by T. Snell)
9:41.0,Minnesota full timeout, ,33-32, , 
9:24.0,J. McDaniels makes 3-pt jump shot from 25 ft (assist by N. Reid),+3,36-32, , 
9:08.0, , ,36-35,+3,A. Simons makes 3-pt jump shot from 25 ft (assist by T. Snell)
8:53.0,D. Russell misses 3-pt jump shot from 25 ft, ,36-35, , 
8:51.0,Offensive rebound by Team, ,36-35, , 
8:51.0,P. Beverley enters the game for M. Beasley, ,36-35, , 
8:51.0,A. Edwards enters the game for D. Russell, ,36-35, , 
8:46.0,Turnover by A. Edwards (bad pass; steal by R. Covington), ,36-35, , 
8:34.0, , ,36-35, ,T. Snell misses 3-pt jump shot from 24 ft
8:31.0,Defensive rebound by J. McDaniels, ,36-35, , 
8:18.0,J. McDaniels misses 2-pt layup from 3 ft, ,36-35, , 
8:17.0,Offensive rebound by N. Reid, ,36-35, , 
8:17.0, , ,36-35, ,D. Lillard enters the game for A. Simons
8:09.0,Turnover by N. Reid (lost ball; steal by R. Covington), ,36-35, , 
8:08.0, , ,36-35, ,Personal foul by A. Edwards (drawn by B. McLemore)
7:59.0, , ,36-38,+3,D. Lillard makes 3-pt jump shot from 34 ft (assist by B. McLemore)
7:36.0,A. Edwards makes 3-pt jump shot from 27 ft,+3,39-38, , 
7:23.0, , ,39-38, ,Shooting foul by A. Edwards (drawn by L. Nance)
7:23.0, , ,39-39,+1,L. Nance makes free throw 1 of 2
7:23.0,K. Towns enters the game for N. Reid, ,39-39, , 
7:23.0, , ,39-39, ,N. Powell enters the game for T. Snell
7:23.0, , ,39-39, ,L. Nance misses free throw 2 of 2
7:21.0,Defensive rebound by K. Towns, ,39-39, , 
7:02.0,K. Towns misses 2-pt dunk from 1 ft (block by L. Nance), ,39-39, , 
7:00.0,Offensive rebound by K. Towns, ,39-39, , 
6:59.0,K. Towns misses 2-pt layup from 2 ft, ,39-39, , 
6:57.0,Offensive rebound by J. Vanderbilt, ,39-39, , 
6:56.0,A. Edwards misses 3-pt jump shot from 26 ft, ,39-39, , 
6:56.0, , ,39-39, ,Defensive rebound by B. McLemore
6:44.0, , ,39-42,+3,B. McLemore makes 3-pt jump shot from 24 ft (assist by R. Covington)
6:29.0,A. Edwards makes 2-pt layup from 1 ft,+2,41-42, , 
6:29.0,Shooting foul by L. Nance (drawn by A. Edwards), ,41-42, , 
6:29.0,A. Edwards makes free throw 1 of 1,+1,42-42, , 
6:15.0, , ,42-42, ,D. Lillard misses 3-pt jump shot from 25 ft
6:13.0,Defensive rebound by A. Edwards, ,42-42, , 
6:05.0,A. Edwards misses 3-pt jump shot from 26 ft, ,42-42, , 
6:02.0, , ,42-42, ,Defensive rebound by L. Nance
5:57.0, , ,42-42, ,Turnover by L. Nance (bad pass; steal by J. Vanderbilt)
5:42.0,J. Vanderbilt misses 2-pt jump shot from 11 ft, ,42-42, , 
5:39.0, , ,42-42, ,Defensive rebound by N. Powell
5:32.0, , ,42-42, ,D. Lillard misses 3-pt jump shot from 26 ft
5:31.0,Defensive rebound by J. McDaniels, ,42-42, , 
5:18.0,J. McDaniels misses 3-pt jump shot from 23 ft, ,42-42, , 
5:13.0, , ,42-42, ,Defensive rebound by D. Lillard
5:08.0, , ,42-45,+3,B. McLemore makes 3-pt jump shot from 24 ft (assist by N. Powell)
4:44.0,Turnover by K. Towns (traveling), ,42-45, , 
4:44.0,M. Beasley enters the game for J. Vanderbilt, ,42-45, , 
4:44.0, , ,42-45, ,N. Little enters the game for R. Covington
4:44.0, , ,42-45, ,J. Nurkić enters the game for L. Nance
4:31.0, , ,42-45, ,Shooting foul by A. Edwards (drawn by N. Little)
4:31.0, , ,42-45, ,N. Little misses free throw 1 of 2
4:31.0, , ,42-45, ,Offensive rebound by Team
4:31.0, , ,42-46,+1,N. Little makes free throw 2 of 2
4:20.0,P. Beverley misses 2-pt layup from 2 ft, ,42-46, , 
4:19.0,Offensive rebound by K. Towns, ,42-46, , 
4:18.0,K. Towns misses 2-pt layup from 3 ft, ,42-46, , 
4:16.0,Offensive rebound by K. Towns, ,42-46, , 
4:16.0,Shooting foul by J. Nurkić (drawn by K. Towns), ,42-46, , 
4:16.0,K. Towns makes free throw 1 of 2,+1,43-46, , 
4:16.0,D. Russell enters the game for A. Edwards, ,43-46, , 
4:16.0,K. Towns makes free throw 2 of 2,+1,44-46, , 
4:04.0, , ,44-46, ,Personal foul by P. Beverley (drawn by D. Lillard)
4:04.0, , ,44-47,+1,D. Lillard makes free throw 1 of 2
4:04.0, , ,44-48,+1,D. Lillard makes free throw 2 of 2
3:46.0,D. Russell misses 3-pt jump shot from 25 ft, ,44-48, , 
3:44.0, , ,44-48, ,Defensive rebound by J. Nurkić
3:36.0, , ,44-48, ,Turnover by B. McLemore (bad pass; steal by D. Russell)
3:33.0,K. Towns makes 2-pt layup from 1 ft (assist by D. Russell),+2,46-48, , 
3:33.0,Shooting foul by N. Little (drawn by K. Towns), ,46-48, , 
3:33.0, , ,46-48, ,Portland full timeout
3:33.0, , ,46-48, ,R. Covington enters the game for B. McLemore
3:33.0, , ,46-48, ,A. Simons enters the game for J. Nurkić
