time,away_description,away_change,score,home_change,home_description
11:42.0, , ,0-0, ,T. Young misses 3-pt jump shot from 26 ft
11:39.0,Defensive rebound by M. Robinson, ,0-0, , 
11:23.0,E. Fournier misses 2-pt jump shot from 11 ft, ,0-0, , 
11:20.0, , ,0-0, ,Defensive rebound by G. Dieng
11:17.0, , ,0-0, ,G. Dieng misses 2-pt layup from 1 ft
11:14.0,Defensive rebound by A. Burks, ,0-0, , 
11:11.0,R. Barrett makes 2-pt layup from 5 ft (assist by A. Burks),+2,2-0, , 
10:55.0, , ,2-0, ,Personal foul by A. Burks (drawn by J. Collins)
10:55.0,O. Toppin enters the game for J. Randle, ,2-0, , 
10:49.0, , ,2-0, ,T. Young misses 2-pt jump shot from 21 ft
10:44.0,Defensive rebound by M. Robinson, ,2-0, , 
10:27.0,Turnover by E. Fournier (lost ball; steal by T. Young), ,2-0, , 
10:22.0, , ,2-2,+2,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young)
10:10.0,New York full timeout, ,2-2, , 
10:10.0,J. Randle enters the game for O. Toppin, ,2-2, , 
10:01.0,J. Randle makes 2-pt jump shot from 15 ft,+2,4-2, , 
9:42.0, , ,4-5,+3,G. Dieng makes 3-pt jump shot from 25 ft (assist by D. Hunter)
9:17.0,J. Randle misses 2-pt jump shot from 20 ft, ,4-5, , 
9:14.0, , ,4-5, ,Defensive rebound by K. Huerter
9:07.0, , ,4-5, ,Shooting foul by R. Barrett (drawn by G. Dieng)
9:07.0, , ,4-5, ,G. Dieng misses free throw 1 of 2
9:07.0, , ,4-5, ,Offensive rebound by Team
9:07.0, , ,4-6,+1,G. Dieng makes free throw 2 of 2
8:58.0,M. Robinson makes 2-pt dunk at rim (assist by R. Barrett),+2,6-6, , 
8:47.0, , ,6-8,+2,T. Young makes 2-pt jump shot from 20 ft
8:32.0,E. Fournier makes 3-pt jump shot from 22 ft (assist by R. Barrett),+3,9-8, , 
8:08.0, , ,9-8, ,Offensive foul by T. Young (drawn by J. Randle)
8:08.0, , ,9-8, ,Turnover by T. Young (offensive foul)
7:55.0,R. Barrett misses 2-pt jump shot from 9 ft, ,9-8, , 
7:54.0,Offensive rebound by M. Robinson, ,9-8, , 
7:54.0,Shooting foul by G. Dieng (drawn by M. Robinson), ,9-8, , 
7:54.0,M. Robinson misses free throw 1 of 2, ,9-8, , 
7:54.0,Offensive rebound by Team, ,9-8, , 
7:54.0,M. Robinson makes free throw 2 of 2,+1,10-8, , 
7:41.0, , ,10-10,+2,J. Collins makes 2-pt jump shot from 11 ft (assist by K. Huerter)
7:41.0, , ,10-10, ,Shooting foul by J. Randle (drawn by J. Collins)
7:41.0, , ,10-11,+1,J. Collins makes free throw 1 of 1
7:27.0,Shooting foul by D. Hunter (drawn by R. Barrett), ,10-11, , 
7:27.0,R. Barrett makes free throw 1 of 2,+1,11-11, , 
7:27.0,R. Barrett misses free throw 2 of 2, ,11-11, , 
7:25.0,Offensive rebound by M. Robinson, ,11-11, , 
7:25.0,Shooting foul by G. Dieng (drawn by M. Robinson), ,11-11, , 
7:25.0,M. Robinson misses free throw 1 of 2, ,11-11, , 
7:25.0,Offensive rebound by Team, ,11-11, , 
7:25.0, , ,11-11, ,O. Okongwu enters the game for G. Dieng
7:25.0,M. Robinson makes free throw 2 of 2,+1,12-11, , 
7:19.0, , ,12-11, ,Personal foul by A. Burks (drawn by J. Collins)
7:13.0, , ,12-11, ,Shooting foul by E. Fournier (drawn by K. Huerter)
7:13.0, , ,12-12,+1,K. Huerter makes free throw 1 of 2
7:13.0, , ,12-13,+1,K. Huerter makes free throw 2 of 2
6:58.0,E. Fournier misses 3-pt jump shot from 22 ft, ,12-13, , 
6:55.0, , ,12-13, ,Defensive rebound by D. Hunter
6:47.0, , ,12-13, ,K. Huerter misses 2-pt layup from 2 ft
6:45.0,Defensive rebound by J. Randle, ,12-13, , 
6:40.0,M. Robinson makes 2-pt dunk from 1 ft (assist by J. Randle),+2,14-13, , 
6:22.0, , ,14-13, ,T. Young misses 2-pt jump shot from 10 ft
6:20.0,Defensive rebound by M. Robinson, ,14-13, , 
6:03.0,A. Burks misses 3-pt jump shot from 25 ft, ,14-13, , 
5:59.0, , ,14-13, ,Defensive rebound by T. Young
5:48.0, , ,14-15,+2,O. Okongwu makes 2-pt dunk from 1 ft (assist by T. Young)
5:37.0,New York full timeout, ,14-15, , 
5:37.0,I. Quickley enters the game for A. Burks, ,14-15, , 
5:32.0,Offensive foul by I. Quickley (drawn by T. Young), ,14-15, , 
5:32.0,Turnover by I. Quickley (offensive foul), ,14-15, , 
5:08.0, , ,14-18,+3,T. Young makes 3-pt jump shot from 26 ft (assist by J. Collins)
4:44.0,R. Barrett misses 2-pt jump shot from 6 ft, ,14-18, , 
4:43.0,Offensive rebound by R. Barrett, ,14-18, , 
4:43.0,Shooting foul by O. Okongwu (drawn by R. Barrett), ,14-18, , 
4:43.0,R. Barrett makes free throw 1 of 2,+1,15-18, , 
4:43.0,T. Gibson enters the game for M. Robinson, ,15-18, , 
4:43.0, , ,15-18, ,D. Gallinari enters the game for J. Collins
4:43.0,R. Barrett makes free throw 2 of 2,+1,16-18, , 
4:23.0, , ,16-18, ,Personal foul by I. Quickley (drawn by D. Hunter)
4:23.0, , ,16-18, ,D. Hunter misses free throw 1 of 2
4:23.0, , ,16-18, ,Offensive rebound by Team
4:23.0, , ,16-18, ,D. Wright enters the game for K. Huerter
4:23.0, , ,16-19,+1,D. Hunter makes free throw 2 of 2
4:11.0,R. Barrett makes 2-pt layup from 1 ft,+2,18-19, , 
4:00.0, , ,18-19, ,T. Young misses 3-pt jump shot from 25 ft
3:58.0,Defensive rebound by I. Quickley, ,18-19, , 
3:47.0,J. Randle misses 2-pt jump shot from 6 ft, ,18-19, , 
3:44.0, , ,18-19, ,Defensive rebound by D. Gallinari
3:31.0, , ,18-19, ,D. Hunter misses 2-pt layup from 3 ft
3:29.0,Defensive rebound by E. Fournier, ,18-19, , 
3:20.0,R. Barrett misses 2-pt jump shot from 13 ft, ,18-19, , 
3:15.0, , ,18-19, ,Defensive rebound by T. Young
3:12.0, , ,18-19, ,Shooting foul by E. Fournier (drawn by T. Young)
3:12.0, , ,18-20,+1,T. Young makes free throw 1 of 2
3:12.0,Q. Grimes enters the game for E. Fournier, ,18-20, , 
3:12.0, , ,18-20, ,T. Luwawu-Cabarrot enters the game for D. Hunter
3:12.0, , ,18-21,+1,T. Young makes free throw 2 of 2
3:00.0,Q. Grimes makes 3-pt jump shot from 23 ft (assist by J. Randle),+3,21-21, , 
2:45.0, , ,21-23,+2,T. Young makes 2-pt layup from 1 ft
2:29.0,J. Randle misses 3-pt jump shot from 25 ft, ,21-23, , 
2:25.0, , ,21-23, ,Defensive rebound by O. Okongwu
2:14.0, , ,21-23, ,D. Gallinari misses 2-pt jump shot from 13 ft
2:12.0,Defensive rebound by I. Quickley, ,21-23, , 
1:52.0,R. Barrett misses 2-pt jump shot from 8 ft, ,21-23, , 
1:48.0,Offensive rebound by Q. Grimes, ,21-23, , 
1:47.0,Q. Grimes makes 2-pt jump shot from 20 ft,+2,23-23, , 
1:36.0, , ,23-23, ,T. Young misses 3-pt jump shot from 32 ft
1:33.0,Defensive rebound by T. Gibson, ,23-23, , 
1:23.0,T. Gibson makes 2-pt layup at rim (assist by J. Randle),+2,25-23, , 
1:22.0, , ,25-23, ,Atlanta full timeout
1:22.0,O. Toppin enters the game for J. Randle, ,25-23, , 
1:22.0, , ,25-23, ,L. Williams enters the game for T. Young
1:05.0, , ,25-23, ,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft
1:03.0, , ,25-23, ,Offensive rebound by D. Wright
