time,away_description,away_change,score,home_change,home_description
11:40.0,D. Howard misses 2-pt layup from 4 ft (block by J. Suggs), ,0-0, , 
11:40.0,Offensive rebound by Team, ,0-0, , 
11:36.0,L. James misses 2-pt jump shot from 15 ft, ,0-0, , 
11:34.0,Offensive rebound by R. Westbrook, ,0-0, , 
11:33.0,Shooting foul by M. Bamba (drawn by D. Howard), ,0-0, , 
11:33.0,D. Howard makes free throw 1 of 2,+1,1-0, , 
11:33.0,D. Howard makes free throw 2 of 2,+1,2-0, , 
11:15.0, , ,2-0, ,G. Harris misses 3-pt jump shot from 24 ft
11:13.0, , ,2-0, ,Offensive rebound by M. Bamba
11:11.0, , ,2-2,+2,M. Bamba makes 2-pt dunk from 2 ft
10:56.0,L. James misses 3-pt jump shot from 23 ft, ,2-2, , 
10:52.0,Offensive rebound by D. Howard, ,2-2, , 
10:51.0,D. Howard misses 2-pt layup from 5 ft (block by C. Anthony), ,2-2, , 
10:48.0, , ,2-2, ,Defensive rebound by M. Bamba
10:44.0, , ,2-2, ,J. Suggs misses 3-pt jump shot from 28 ft
10:39.0,Defensive rebound by R. Westbrook, ,2-2, , 
10:25.0,L. James makes 2-pt jump shot from 20 ft,+2,4-2, , 
10:08.0, , ,4-4,+2,J. Suggs makes 2-pt jump shot from 17 ft
10:04.0,Turnover by L. James (bad pass), ,4-4, , 
9:50.0, , ,4-4, ,G. Harris misses 3-pt jump shot from 24 ft
9:46.0,Defensive rebound by L. James, ,4-4, , 
9:38.0,Def 3 sec tech foul by Team, ,4-4, , 
9:38.0,A. Bradley makes technical free throw,+1,5-4, , 
9:34.0,Offensive foul by D. Howard (drawn by J. Suggs), ,5-4, , 
9:34.0,Turnover by D. Howard (offensive foul), ,5-4, , 
9:21.0, , ,5-4, ,Turnover by J. Suggs (lost ball; steal by R. Westbrook)
9:15.0,L. James makes 2-pt layup from 4 ft,+2,7-4, , 
9:08.0, , ,7-7,+3,M. Bamba makes 3-pt jump shot from 25 ft (assist by J. Suggs)
8:55.0,R. Westbrook makes 2-pt layup from 3 ft,+2,9-7, , 
8:41.0, , ,9-7, ,Personal foul by L. James (drawn by F. Wagner)
8:26.0, , ,9-7, ,M. Bamba misses 3-pt jump shot from 26 ft
8:23.0,Defensive rebound by D. Howard, ,9-7, , 
8:13.0,L. James misses 2-pt layup from 7 ft (block by C. Anthony), ,9-7, , 
8:09.0, , ,9-7, ,Defensive rebound by C. Anthony
8:08.0, , ,9-7, ,Turnover by C. Anthony (bad pass; steal by R. Westbrook)
8:05.0,A. Bradley makes 3-pt jump shot from 25 ft (assist by R. Westbrook),+3,12-7, , 
7:52.0, , ,12-7, ,C. Anthony misses 3-pt jump shot from 26 ft
7:50.0,Defensive rebound by T. Ariza, ,12-7, , 
7:38.0,D. Howard makes 2-pt dunk from 3 ft (assist by T. Ariza),+2,14-7, , 
7:37.0, , ,14-7, ,Orlando full timeout
7:37.0, , ,14-7, ,C. Okeke enters the game for J. Suggs
7:37.0, , ,14-7, ,T. Ross enters the game for F. Wagner
7:20.0, , ,14-9,+2,G. Harris makes 2-pt layup from 3 ft (assist by T. Ross)
