time,away_description,away_change,score,home_change,home_description
11:39.0,D. Mitchell makes 3-pt jump shot from 26 ft (assist by H. Barnes),+3,3-0, , 
11:24.0, , ,3-0, ,Shooting foul by H. Barnes (drawn by J. Embiid)
11:24.0, , ,3-1,+1,J. Embiid makes free throw 1 of 2
11:24.0, , ,3-2,+1,J. Embiid makes free throw 2 of 2
11:04.0,H. Barnes misses 2-pt jump shot from 7 ft, ,3-2, , 
11:02.0, , ,3-2, ,Defensive rebound by J. Embiid
10:47.0, , ,3-2, ,Turnover by S. Curry (bad pass; steal by T. Haliburton)
10:40.0,M. Bagley misses 2-pt hook shot from 5 ft, ,3-2, , 
10:38.0,Offensive rebound by M. Bagley, ,3-2, , 
10:36.0,M. Bagley misses 2-pt layup from 5 ft, ,3-2, , 
10:32.0,Offensive rebound by M. Bagley, ,3-2, , 
10:32.0,M. Bagley misses 2-pt layup at rim, ,3-2, , 
10:31.0, , ,3-2, ,Defensive rebound by J. Embiid
10:29.0, , ,3-4,+2,T. Harris makes 2-pt layup from 4 ft (assist by J. Embiid)
10:18.0,D. Mitchell misses 2-pt jump shot from 6 ft, ,3-4, , 
10:15.0, , ,3-4, ,Defensive rebound by J. Embiid
10:02.0, , ,3-4, ,J. Embiid misses 2-pt jump shot from 11 ft
10:00.0,Defensive rebound by H. Barnes, ,3-4, , 
9:53.0,H. Barnes makes 3-pt jump shot from 28 ft (assist by T. Haliburton),+3,6-4, , 
9:34.0, , ,6-4, ,Turnover by M. Thybulle (bad pass; steal by D. Mitchell)
9:28.0,H. Barnes makes 3-pt jump shot from 30 ft (assist by D. Mitchell),+3,9-4, , 
8:59.0, , ,9-7,+3,M. Thybulle makes 3-pt jump shot from 26 ft (assist by T. Maxey)
8:42.0,D. Mitchell makes 2-pt jump shot from 15 ft (assist by R. Holmes),+2,11-7, , 
8:25.0, , ,11-10,+3,T. Harris makes 3-pt jump shot from 26 ft (assist by S. Curry)
8:14.0,T. Haliburton makes 2-pt jump shot from 17 ft,+2,13-10, , 
8:00.0, , ,13-10, ,J. Embiid misses 2-pt layup from 4 ft (block by M. Bagley)
7:59.0, , ,13-10, ,Offensive rebound by Team
7:53.0, , ,13-10, ,S. Curry misses 2-pt jump shot from 13 ft
7:50.0,Defensive rebound by R. Holmes, ,13-10, , 
7:38.0,T. Haliburton misses 3-pt jump shot from 27 ft, ,13-10, , 
7:36.0, , ,13-10, ,Defensive rebound by T. Maxey
7:31.0, , ,13-10, ,T. Maxey misses 2-pt layup from 6 ft
7:29.0,Defensive rebound by T. Haliburton, ,13-10, , 
7:23.0,R. Holmes misses 2-pt jump shot from 18 ft, ,13-10, , 
7:18.0,Offensive rebound by H. Barnes, ,13-10, , 
7:18.0,H. Barnes misses 2-pt layup at rim, ,13-10, , 
7:17.0, , ,13-10, ,Defensive rebound by T. Harris
7:12.0, , ,13-13,+3,S. Curry makes 3-pt jump shot from 27 ft (assist by T. Harris)
6:51.0,H. Barnes makes 2-pt jump shot from 10 ft,+2,15-13, , 
6:33.0, , ,15-15,+2,S. Curry makes 2-pt jump shot from 12 ft (assist by T. Maxey)
6:24.0,Shooting foul by S. Curry (drawn by T. Haliburton), ,15-15, , 
6:24.0, , ,15-15, ,Philadelphia full timeout
6:24.0,M. Harkless enters the game for M. Bagley, ,15-15, , 
6:24.0,D. Jones enters the game for R. Holmes, ,15-15, , 
6:24.0,T. Haliburton makes free throw 1 of 2,+1,16-15, , 
6:24.0,T. Haliburton makes free throw 2 of 2,+1,17-15, , 
6:24.0,B. Hield enters the game for T. Haliburton, ,17-15, , 
6:01.0, , ,17-15, ,T. Harris misses 2-pt layup from 4 ft (block by D. Jones)
5:58.0,Defensive rebound by B. Hield, ,17-15, , 
5:48.0,H. Barnes makes 2-pt jump shot from 11 ft (assist by B. Hield),+2,19-15, , 
5:24.0, , ,19-15, ,Turnover by J. Embiid (lost ball; steal by D. Jones)
5:01.0,M. Harkless misses 3-pt jump shot from 24 ft, ,19-15, , 
4:59.0, , ,19-15, ,Defensive rebound by T. Harris
4:49.0, , ,19-17,+2,T. Harris makes 2-pt jump shot from 9 ft
4:31.0,D. Mitchell makes 3-pt jump shot from 23 ft (assist by D. Jones),+3,22-17, , 
4:10.0, , ,22-17, ,Turnover by J. Embiid (lost ball; steal by B. Hield)
4:03.0,H. Barnes misses 3-pt jump shot from 29 ft, ,22-17, , 
3:59.0, , ,22-17, ,Defensive rebound by T. Harris
3:58.0, , ,22-17, ,Personal foul by M. Harkless (drawn by J. Embiid)
3:58.0,C. Metu enters the game for H. Barnes, ,22-17, , 
3:58.0, , ,22-17, ,D. Green enters the game for S. Curry
