time,away_description,away_change,score,home_change,home_description
11:48.0, , ,0-2,+2,J. Allen makes 2-pt layup from 1 ft (assist by D. Garland)
11:48.0, , ,0-2, ,Shooting foul by L. Ball (drawn by J. Allen)
11:48.0, , ,0-3,+1,J. Allen makes free throw 1 of 1
11:34.0,T. Rozier misses 3-pt jump shot from 24 ft, ,0-3, , 
11:31.0, , ,0-3, ,Defensive rebound by I. Okoro
11:19.0, , ,0-3, ,D. Garland misses 2-pt jump shot from 22 ft
11:15.0,Defensive rebound by M. Plumlee, ,0-3, , 
11:06.0,L. Ball misses 3-pt jump shot from 28 ft, ,0-3, , 
11:02.0, , ,0-3, ,Defensive rebound by L. Markkanen
10:53.0, , ,0-5,+2,D. Garland makes 2-pt jump shot from 7 ft
10:39.0,T. Rozier makes 3-pt jump shot from 23 ft (assist by L. Ball),+3,3-5, , 
10:24.0, , ,3-5, ,I. Okoro misses 3-pt jump shot from 23 ft
10:21.0,Defensive rebound by T. Rozier, ,3-5, , 
10:11.0,M. Plumlee makes 2-pt dunk from 1 ft (assist by L. Ball),+2,5-5, , 
10:01.0, , ,5-5, ,Turnover by D. Garland (bad pass; steal by L. Ball)
9:57.0,Shooting foul by D. Garland (drawn by T. Rozier), ,5-5, , 
9:57.0,T. Rozier makes free throw 1 of 2,+1,6-5, , 
9:57.0,T. Rozier makes free throw 2 of 2,+1,7-5, , 
9:47.0, , ,7-7,+2,D. Garland makes 2-pt jump shot from 9 ft (assist by L. Markkanen)
9:17.0,T. Rozier misses 2-pt jump shot from 7 ft, ,7-7, , 
9:15.0, , ,7-7, ,Defensive rebound by E. Mobley
9:06.0, , ,7-9,+2,E. Mobley makes 2-pt jump shot from 17 ft (assist by D. Garland)
8:52.0,L. Ball misses 2-pt layup from 1 ft, ,7-9, , 
8:49.0, , ,7-9, ,Defensive rebound by J. Allen
8:47.0, , ,7-9, ,Shooting foul by P. Washington (drawn by L. Markkanen)
8:47.0, , ,7-10,+1,L. Markkanen makes free throw 1 of 2
8:47.0, , ,7-11,+1,L. Markkanen makes free throw 2 of 2
8:36.0,P. Washington makes 3-pt jump shot from 24 ft (assist by M. Bridges),+3,10-11, , 
8:08.0, , ,10-13,+2,E. Mobley makes 2-pt layup from 1 ft
7:56.0,Shooting foul by E. Mobley (drawn by L. Ball), ,10-13, , 
7:56.0,L. Ball makes free throw 1 of 2,+1,11-13, , 
7:56.0,L. Ball makes free throw 2 of 2,+1,12-13, , 
7:45.0, , ,12-13, ,J. Allen misses 2-pt layup from 5 ft
7:44.0, , ,12-13, ,Offensive rebound by Team
7:34.0, , ,12-13, ,Personal foul by L. Ball (drawn by L. Markkanen)
7:34.0,C. Martin enters the game for L. Ball, ,12-13, , 
7:29.0, , ,12-13, ,L. Markkanen misses 3-pt jump shot from 27 ft
7:26.0,Defensive rebound by T. Rozier, ,12-13, , 
7:11.0,M. Bridges makes 2-pt layup at rim,+2,14-13, , 
6:55.0, , ,14-15,+2,D. Garland makes 2-pt layup from 1 ft
6:38.0,Turnover by C. Martin (bad pass; steal by L. Markkanen), ,14-15, , 
6:37.0, , ,14-15, ,Personal take foul by M. Plumlee (drawn by L. Markkanen)
6:37.0, , ,14-15, ,Cleveland full timeout
6:16.0, , ,14-15, ,L. Markkanen misses 2-pt jump shot from 8 ft
6:14.0,Defensive rebound by P. Washington, ,14-15, , 
6:04.0,Shooting foul by I. Okoro (drawn by C. Martin), ,14-15, , 
6:04.0,C. Martin makes free throw 1 of 2,+1,15-15, , 
6:04.0,M. Harrell enters the game for M. Plumlee, ,15-15, , 
6:04.0,K. Oubre enters the game for P. Washington, ,15-15, , 
6:04.0, , ,15-15, ,B. Goodwin enters the game for D. Garland
6:04.0, , ,15-15, ,K. Love enters the game for E. Mobley
6:04.0,C. Martin makes free throw 2 of 2,+1,16-15, , 
5:54.0, , ,16-18,+3,K. Love makes 3-pt jump shot from 27 ft (assist by B. Goodwin)
5:32.0,M. Bridges makes 2-pt dunk from 1 ft,+2,18-18, , 
5:06.0, , ,18-20,+2,J. Allen makes 2-pt hook shot from 5 ft (assist by K. Love)
4:58.0,K. Oubre makes 3-pt jump shot from 26 ft (assist by M. Bridges),+3,21-20, , 
4:41.0, , ,21-20, ,K. Love misses 3-pt jump shot from 26 ft
4:38.0,Defensive rebound by M. Harrell, ,21-20, , 
4:22.0,K. Oubre makes 2-pt jump shot from 6 ft (assist by M. Bridges),+2,23-20, , 
3:59.0, , ,23-20, ,K. Love misses 2-pt layup from 2 ft (block by M. Bridges)
3:57.0,Defensive rebound by M. Harrell, ,23-20, , 
3:51.0,T. Rozier misses 3-pt jump shot from 23 ft, ,23-20, , 
3:49.0, , ,23-20, ,Defensive rebound by J. Allen
3:43.0, , ,23-20, ,K. Love misses 3-pt jump shot from 23 ft
3:40.0,Defensive rebound by K. Oubre, ,23-20, , 
3:33.0,M. Harrell misses 2-pt layup from 1 ft (block by J. Allen), ,23-20, , 
3:30.0, , ,23-20, ,Defensive rebound by K. Love
3:26.0, , ,23-20, ,Shooting foul by C. Martin (drawn by J. Allen)
3:26.0, , ,23-21,+1,J. Allen makes free throw 1 of 2
3:26.0, , ,23-21, ,C. Osman enters the game for L. Markkanen
3:26.0, , ,23-21, ,L. Stevens enters the game for I. Okoro
3:26.0, , ,23-21, ,J. Allen misses free throw 2 of 2
3:23.0,Defensive rebound by M. Harrell, ,23-21, , 
3:09.0,K. Oubre makes 3-pt jump shot from 28 ft (assist by M. Bridges),+3,26-21, , 
2:49.0, , ,26-23,+2,J. Allen makes 2-pt dunk at rim (assist by C. Osman)
2:48.0,Charlotte full timeout, ,26-23, , 
2:48.0,L. Ball enters the game for T. Rozier, ,26-23, , 
2:48.0, , ,26-23, ,E. Mobley enters the game for J. Allen
2:34.0,L. Ball misses 2-pt layup from 1 ft, ,26-23, , 
2:33.0,Offensive rebound by M. Harrell, ,26-23, , 
2:33.0,Shooting foul by E. Mobley (drawn by M. Harrell), ,26-23, , 
2:33.0,M. Harrell makes free throw 1 of 2,+1,27-23, , 
2:33.0,P. Washington enters the game for M. Bridges, ,27-23, , 
2:33.0,M. Harrell makes free throw 2 of 2,+1,28-23, , 
2:23.0, , ,28-23, ,Personal foul by C. Martin (drawn by K. Love)
2:23.0, , ,28-24,+1,K. Love makes free throw 1 of 2
2:23.0, , ,28-24, ,D. Garland enters the game for B. Goodwin
2:23.0, , ,28-25,+1,K. Love makes free throw 2 of 2
2:09.0,K. Oubre makes 3-pt jump shot from 27 ft,+3,31-25, , 
