time,away_description,away_change,score,home_change,home_description
11:45.0,D. Russell makes 2-pt jump shot from 9 ft,+2,2-0, , 
11:28.0, , ,2-2,+2,D. Powell makes 2-pt dunk from 1 ft (assist by L. Dončić)
11:16.0,P. Beverley makes 2-pt jump shot from 13 ft,+2,4-2, , 
10:58.0, , ,4-2, ,Turnover by L. Dončić (bad pass; steal by J. Vanderbilt)
10:54.0,D. Russell misses 2-pt layup from 4 ft, ,4-2, , 
10:51.0, , ,4-2, ,Defensive rebound by D. Finney-Smith
10:41.0, , ,4-2, ,J. Brunson misses 2-pt layup from 2 ft
10:39.0,Defensive rebound by K. Towns, ,4-2, , 
10:32.0,D. Russell makes 3-pt jump shot from 25 ft (assist by P. Beverley),+3,7-2, , 
10:17.0, , ,7-5,+3,R. Bullock makes 3-pt jump shot from 25 ft (assist by L. Dončić)
10:03.0,K. Towns misses 2-pt layup from 3 ft (block by D. Powell), ,7-5, , 
10:01.0, , ,7-5, ,Defensive rebound by D. Powell
9:55.0, , ,7-8,+3,R. Bullock makes 3-pt jump shot from 23 ft (assist by L. Dončić)
9:36.0,A. Edwards misses 2-pt jump shot from 19 ft, ,7-8, , 
9:34.0, , ,7-8, ,Defensive rebound by J. Brunson
9:24.0, , ,7-10,+2,D. Powell makes 2-pt layup from 1 ft (assist by D. Finney-Smith)
9:07.0,A. Edwards misses 2-pt jump shot from 10 ft, ,7-10, , 
9:05.0, , ,7-10, ,Defensive rebound by D. Powell
8:59.0, , ,7-12,+2,D. Powell makes 2-pt layup from 1 ft (assist by D. Finney-Smith)
8:36.0,K. Towns misses 2-pt jump shot from 7 ft, ,7-12, , 
8:34.0, , ,7-12, ,Defensive rebound by R. Bullock
8:23.0, , ,7-12, ,L. Dončić misses 2-pt jump shot from 15 ft
8:21.0,Defensive rebound by P. Beverley, ,7-12, , 
8:18.0,Shooting foul by D. Powell (drawn by A. Edwards), ,7-12, , 
8:18.0,A. Edwards makes free throw 1 of 2,+1,8-12, , 
8:18.0,A. Edwards makes free throw 2 of 2,+1,9-12, , 
8:05.0, , ,9-12, ,R. Bullock misses 3-pt jump shot from 26 ft
8:01.0,Defensive rebound by A. Edwards, ,9-12, , 
7:50.0,K. Towns makes 2-pt layup from 4 ft,+2,11-12, , 
7:40.0, , ,11-12, ,Personal foul by J. Vanderbilt (drawn by L. Dončić)
7:29.0, , ,11-12, ,Turnover by L. Dončić (bad pass)
7:24.0,K. Towns misses 3-pt jump shot from 25 ft, ,11-12, , 
