time,away_description,away_change,score,home_change,home_description
11:46.0, , ,0-0, ,A. Davis misses 2-pt hook shot from 8 ft
11:44.0,Defensive rebound by N. Jokić, ,0-0, , 
11:42.0,Turnover by N. Jokić (bad pass), ,0-0, , 
11:32.0, , ,0-0, ,R. Westbrook misses 2-pt jump shot from 11 ft
11:30.0,Defensive rebound by N. Jokić, ,0-0, , 
11:25.0,Turnover by N. Jokić (bad pass), ,0-0, , 
11:08.0, , ,0-2,+2,D. Howard makes 2-pt layup from 2 ft (assist by M. Monk)
10:51.0,Shooting foul by D. Howard (drawn by N. Jokić), ,0-2, , 
10:51.0,N. Jokić makes free throw 1 of 2,+1,1-2, , 
10:51.0,N. Jokić misses free throw 2 of 2, ,1-2, , 
10:49.0, , ,1-2, ,Defensive rebound by D. Howard
10:35.0, , ,1-4,+2,A. Davis makes 2-pt dunk from 4 ft (assist by M. Monk)
10:19.0,Turnover by M. Morris (bad pass; steal by R. Westbrook), ,1-4, , 
10:15.0, , ,1-6,+2,M. Monk makes 2-pt layup from 1 ft (assist by R. Westbrook)
9:57.0,W. Barton misses 2-pt jump shot from 15 ft, ,1-6, , 
9:53.0,Offensive rebound by A. Gordon, ,1-6, , 
9:48.0,A. Gordon misses 3-pt jump shot from 26 ft, ,1-6, , 
9:45.0, , ,1-6, ,Defensive rebound by A. Davis
9:33.0, , ,1-6, ,A. Davis misses 2-pt jump shot from 16 ft
9:31.0,Defensive rebound by N. Jokić, ,1-6, , 
9:18.0,N. Jokić makes 2-pt layup from 3 ft,+2,3-6, , 
8:58.0, , ,3-8,+2,A. Bradley makes 2-pt jump shot from 17 ft (assist by A. Davis)
8:45.0,N. Jokić makes 2-pt jump shot from 5 ft (assist by M. Morris),+2,5-8, , 
8:29.0, , ,5-10,+2,A. Davis makes 2-pt layup from 3 ft (assist by M. Monk)
8:11.0,N. Jokić misses 2-pt layup from 2 ft (block by A. Davis), ,5-10, , 
8:09.0, , ,5-10, ,Defensive rebound by A. Davis
7:59.0, , ,5-10, ,R. Westbrook misses 3-pt jump shot from 26 ft
7:56.0,Defensive rebound by N. Jokić, ,5-10, , 
7:39.0,N. Jokić misses 3-pt jump shot from 26 ft, ,5-10, , 
7:37.0, , ,5-10, ,Defensive rebound by M. Monk
7:33.0, , ,5-12,+2,A. Davis makes 2-pt dunk from 2 ft (assist by M. Monk)
7:32.0,Denver full timeout, ,5-12, , 
7:17.0,N. Jokić makes 2-pt jump shot from 15 ft (assist by A. Gordon),+2,7-12, , 
6:59.0, , ,7-12, ,A. Davis misses 2-pt jump shot from 10 ft
6:57.0,Defensive rebound by A. Gordon, ,7-12, , 
6:53.0,J. Green misses 2-pt layup from 3 ft, ,7-12, , 
6:50.0,Offensive rebound by J. Green, ,7-12, , 
6:50.0,J. Green makes 2-pt layup from 1 ft,+2,9-12, , 
6:39.0, , ,9-14,+2,R. Westbrook makes 2-pt layup from 3 ft (assist by A. Bradley)
6:32.0,Shooting foul by R. Westbrook (drawn by A. Gordon), ,9-14, , 
6:32.0,A. Gordon makes free throw 1 of 2,+1,10-14, , 
6:32.0,A. Gordon makes free throw 2 of 2,+1,11-14, , 
6:19.0, , ,11-14, ,Shooting foul by J. Green (drawn by D. Howard)
6:19.0, , ,11-14, ,D. Howard misses free throw 1 of 2
6:19.0, , ,11-14, ,Offensive rebound by Team
6:19.0, , ,11-15,+1,D. Howard makes free throw 2 of 2
6:02.0,Turnover by N. Jokić (bad pass; steal by A. Davis), ,11-15, , 
5:59.0, , ,11-15, ,Turnover by D. Howard (bad pass; steal by N. Jokić)
5:56.0,M. Morris misses 3-pt jump shot from 25 ft, ,11-15, , 
5:56.0, , ,11-15, ,Defensive rebound by M. Monk
5:56.0, , ,11-15, ,Personal foul by N. Jokić (drawn by A. Davis)
5:56.0, , ,11-15, ,C. Anthony enters the game for D. Howard
5:56.0, , ,11-15, ,D. Augustin enters the game for R. Westbrook
5:44.0, , ,11-17,+2,A. Davis makes 2-pt layup from 2 ft
5:35.0,Turnover by N. Jokić (bad pass), ,11-17, , 
5:35.0,A. Rivers enters the game for A. Gordon, ,11-17, , 
5:20.0, , ,11-17, ,D. Augustin misses 3-pt jump shot from 26 ft
