Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Arena,Notes,url,home_abb,away_abb
1,1:00p,Milwaukee Bucks,101,Boston Celtics,89,Box Score,,"19,156",TD Garden,,https://www.basketball-reference.com/boxscores/shot-chart/202205010BOS.html,BOS,MIL
1,3:30p,Golden State Warriors,117,Memphis Grizzlies,116,Box Score,,"17,794",FedEx Forum,,https://www.basketball-reference.com/boxscores/shot-chart/202205010MEM.html,MEM,GSW
2,7:30p,Philadelphia 76ers,92,Miami Heat,106,Box Score,,"19,620",FTX Arena,,https://www.basketball-reference.com/boxscores/shot-chart/202205020MIA.html,MIA,PHI
2,10:00p,Dallas Mavericks,114,Phoenix Suns,121,Box Score,,"17,071",Phoenix Suns Arena,,https://www.basketball-reference.com/boxscores/shot-chart/202205020PHO.html,PHO,DAL
3,7:00p,Milwaukee Bucks,86,Boston Celtics,109,Box Score,,"19,156",TD Garden,,https://www.basketball-reference.com/boxscores/shot-chart/202205030BOS.html,BOS,MIL
3,9:30p,Golden State Warriors,101,Memphis Grizzlies,106,Box Score,,"17,794",FedEx Forum,,https://www.basketball-reference.com/boxscores/shot-chart/202205030MEM.html,MEM,GSW
4,7:30p,Philadelphia 76ers,103,Miami Heat,119,Box Score,,"19,759",FTX Arena,,https://www.basketball-reference.com/boxscores/shot-chart/202205040MIA.html,MIA,PHI
4,10:00p,Dallas Mavericks,109,Phoenix Suns,129,Box Score,,"17,071",Phoenix Suns Arena,,https://www.basketball-reference.com/boxscores/shot-chart/202205040PHO.html,PHO,DAL
6,7:00p,Miami Heat,79,Philadelphia 76ers,99,Box Score,,"21,033",Wells Fargo Center,,https://www.basketball-reference.com/boxscores/shot-chart/202205060PHI.html,PHI,MIA
6,9:30p,Phoenix Suns,94,Dallas Mavericks,103,Box Score,,"20,777",American Airlines Center,,https://www.basketball-reference.com/boxscores/shot-chart/202205060DAL.html,DAL,PHO
7,3:30p,Boston Celtics,101,Milwaukee Bucks,103,Box Score,,"17,736",Fiserv Forum,,https://www.basketball-reference.com/boxscores/shot-chart/202205070MIL.html,MIL,BOS
7,8:30p,Memphis Grizzlies,112,Golden State Warriors,142,Box Score,,"18,064",Chase Center,,https://www.basketball-reference.com/boxscores/shot-chart/202205070GSW.html,GSW,MEM
8,3:30p,Phoenix Suns,101,Dallas Mavericks,111,Box Score,,"20,610",American Airlines Center,,https://www.basketball-reference.com/boxscores/shot-chart/202205080DAL.html,DAL,PHO
8,8:00p,Miami Heat,108,Philadelphia 76ers,116,Box Score,,"21,194",Wells Fargo Center,,https://www.basketball-reference.com/boxscores/shot-chart/202205080PHI.html,PHI,MIA
9,7:30p,Boston Celtics,116,Milwaukee Bucks,108,Box Score,,"17,505",Fiserv Forum,,https://www.basketball-reference.com/boxscores/shot-chart/202205090MIL.html,MIL,BOS
9,10:00p,Memphis Grizzlies,98,Golden State Warriors,101,Box Score,,"18,064",Chase Center,,https://www.basketball-reference.com/boxscores/shot-chart/202205090GSW.html,GSW,MEM
10,7:30p,Philadelphia 76ers,85,Miami Heat,120,Box Score,,"19,868",FTX Arena,,https://www.basketball-reference.com/boxscores/shot-chart/202205100MIA.html,MIA,PHI
10,10:00p,Dallas Mavericks,80,Phoenix Suns,110,Box Score,,"17,071",Phoenix Suns Arena,,https://www.basketball-reference.com/boxscores/shot-chart/202205100PHO.html,PHO,DAL
11,7:00p,Milwaukee Bucks,110,Boston Celtics,107,Box Score,,"19,156",TD Garden,,https://www.basketball-reference.com/boxscores/shot-chart/202205110BOS.html,BOS,MIL
11,9:30p,Golden State Warriors,95,Memphis Grizzlies,134,Box Score,,"17,794",FedEx Forum,,https://www.basketball-reference.com/boxscores/shot-chart/202205110MEM.html,MEM,GSW
12,7:00p,Miami Heat,99,Philadelphia 76ers,90,Box Score,,"21,082",Wells Fargo Center,,https://www.basketball-reference.com/boxscores/shot-chart/202205120PHI.html,PHI,MIA
12,9:30p,Phoenix Suns,86,Dallas Mavericks,113,Box Score,,"20,777",American Airlines Center,,https://www.basketball-reference.com/boxscores/shot-chart/202205120DAL.html,DAL,PHO
13,7:30p,Boston Celtics,108,Milwaukee Bucks,95,Box Score,,"17,681",Fiserv Forum,,https://www.basketball-reference.com/boxscores/shot-chart/202205130MIL.html,MIL,BOS
13,10:00p,Memphis Grizzlies,96,Golden State Warriors,110,Box Score,,"18,064",Chase Center,,https://www.basketball-reference.com/boxscores/shot-chart/202205130GSW.html,GSW,MEM
15,3:30p,Milwaukee Bucks,81,Boston Celtics,109,Box Score,,"19,156",TD Garden,,https://www.basketball-reference.com/boxscores/shot-chart/202205150BOS.html,BOS,MIL
15,8:00p,Dallas Mavericks,123,Phoenix Suns,90,Box Score,,"17,071",Phoenix Suns Arena,,https://www.basketball-reference.com/boxscores/shot-chart/202205150PHO.html,PHO,DAL
17,8:30p,Boston Celtics,107,Miami Heat,118,Box Score,,"19,774",FTX Arena,,https://www.basketball-reference.com/boxscores/shot-chart/202205170MIA.html,MIA,BOS
18,9:00p,Dallas Mavericks,87,Golden State Warriors,112,Box Score,,"18,064",Chase Center,,https://www.basketball-reference.com/boxscores/shot-chart/202205180GSW.html,GSW,DAL
19,8:30p,Boston Celtics,127,Miami Heat,102,Box Score,,"20,100",FTX Arena,,https://www.basketball-reference.com/boxscores/shot-chart/202205190MIA.html,MIA,BOS
20,9:00p,Dallas Mavericks,117,Golden State Warriors,126,Box Score,,"18,064",Chase Center,,https://www.basketball-reference.com/boxscores/shot-chart/202205200GSW.html,GSW,DAL
21,8:30p,Miami Heat,109,Boston Celtics,103,Box Score,,"19,156",TD Garden,,https://www.basketball-reference.com/boxscores/shot-chart/202205210BOS.html,BOS,MIA
22,9:00p,Golden State Warriors,109,Dallas Mavericks,100,Box Score,,"20,813",American Airlines Center,,https://www.basketball-reference.com/boxscores/shot-chart/202205220DAL.html,DAL,GSW
23,8:30p,Miami Heat,82,Boston Celtics,102,Box Score,,"19,156",TD Garden,,https://www.basketball-reference.com/boxscores/shot-chart/202205230BOS.html,BOS,MIA
24,9:00p,Golden State Warriors,109,Dallas Mavericks,119,Box Score,,"20,810",American Airlines Center,,https://www.basketball-reference.com/boxscores/shot-chart/202205240DAL.html,DAL,GSW
25,8:30p,Boston Celtics,93,Miami Heat,80,Box Score,,"19,819",FTX Arena,,https://www.basketball-reference.com/boxscores/shot-chart/202205250MIA.html,MIA,BOS
26,9:00p,Dallas Mavericks,110,Golden State Warriors,120,Box Score,,"18,064",Chase Center,,https://www.basketball-reference.com/boxscores/shot-chart/202205260GSW.html,GSW,DAL
27,8:30p,Miami Heat,111,Boston Celtics,103,Box Score,,"19,156",TD Garden,,https://www.basketball-reference.com/boxscores/shot-chart/202205270BOS.html,BOS,MIA
29,8:30p,Boston Celtics,100,Miami Heat,96,Box Score,,"20,200",FTX Arena,,https://www.basketball-reference.com/boxscores/shot-chart/202205290MIA.html,MIA,BOS
